sample_name,parents,group,hpf,embryonic_stage,leachate,leachate_mgL
101112C9,101112,C9,9,prawnchip,control,0
101112H9,101112,H9,9,prawnchip,high,1
101112L9,101112,L9,9,prawnchip,low,0.01
101112M9,101112,M9,9,prawnchip,mid,0.1
123C9,123,C9,9,prawnchip,control,0
123H9,123,H9,9,prawnchip,high,1
123L9,123,L9,9,prawnchip,low,0.01
123M9,123,M9,9,prawnchip,mid,0.1
131415C9,131415,C9,9,prawnchip,control,0
131415H9,131415,H9,9,prawnchip,high,1
131415L9,131415,L9,9,prawnchip,low,0.01
131415M9,131415,M9,9,prawnchip,mid,0.1
456H9,456,H9,9,prawnchip,high,1
456L9,456,L9,9,prawnchip,low,0.01
456M9,456,M9,9,prawnchip,mid,0.1
45C9,45,C9,9,prawnchip,control,0
67C9,67,C9,9,prawnchip,control,0
789H9,789,H9,9,prawnchip,high,1
789L9,789,L9,9,prawnchip,low,0.01
89C9,89,C9,9,prawnchip,control,0
89M9,89,M9,9,prawnchip,mid,0.1
