sample_name,parents,group,hpf,embryonic_stage,leachate,leachate_mgL
101112C14,101112,C14,14,earlygastrula,control,0
101112H14,101112,H14,14,earlygastrula,high,1
101112L14,101112,L14,14,earlygastrula,low,0.01
101112M14,101112,M14,14,earlygastrula,mid,0.1
123C14,123,C14,14,earlygastrula,control,0
123H14,123,H14,14,earlygastrula,high,1
123L14,123,L14,14,earlygastrula,low,0.01
131415C14,131415,C14,14,earlygastrula,control,0
131415H14,131415,H14,14,earlygastrula,high,1
131415L14,131415,L14,14,earlygastrula,low,0.01
131415M14,131415,M14,14,earlygastrula,mid,0.1
13M14,13,M14,14,earlygastrula,mid,0.1
456L14,456,L14,14,earlygastrula,low,0.01
456M14,456,M14,14,earlygastrula,mid,0.1
45C14,45,C14,14,earlygastrula,control,0
45H14,45,H14,14,earlygastrula,high,1
6C14,6,C14,14,earlygastrula,control,0
789H14,789,H14,14,earlygastrula,high,1
789L14,789,L14,14,earlygastrula,low,0.01
789M14,789,M14,14,earlygastrula,mid,0.1
7C14,7,C14,14,earlygastrula,control,0
89C14,89,C14,14,earlygastrula,control,0
