gene_id,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
Montipora_capitata_HIv3___RNAseq.g4581.t1,7.594797243469994,9.75982173145681,8.479356619256574,7.814438071994897,8.563593124244886,8.334494818432473,7.475945895056121,8.734586148122899,8.261903104930372,7.772520490163351,8.427630561869911,8.248966326641474,7.106192039546521,9.869761877802969,8.24818850458801,7.412951519106694,9.978133535458642,8.14346914825039,7.813314558673228,9.7642743478491,8.459655227494299,9.977315033255328,8.102642247846992,7.742706280563501,8.904126129062943,8.441064047142262,7.742386490250548,9.433633554645906,8.696595956981865,7.534495576232781,8.337221561178026,7.892590893359984,8.637122364057864,8.581686907636465,7.344972925077536,9.288294739656742,9.588199755306114,8.021318637518426,7.433909802562594,8.463076089885512,8.190090145253071,7.628616942416499,9.521553777725694,8.325499385300667,7.484719959215674,8.440560534632416,9.303174001919107,8.476011936397384,7.58228522231644,7.575887407095918,9.619706790211385,8.114492383783421,7.577513558021801,8.615657674297875,8.423894625549819,7.403661512413821,9.489245519118773,7.871919919507926,7.626490321659768,8.119012346782409,8.243464396127496
Montipora_capitata_HIv3___RNAseq.g4583.t1,10.45641889714071,10.669006561159199,10.411523566789175,10.501690366088095,10.975710543201961,10.55830597616195,10.129129480040417,10.951187428300473,10.603661256618015,10.330837627248137,10.665491911024638,10.411921439394412,10.47061968462323,10.949414414706279,10.033451319584069,9.973705561649673,10.681182050933357,11.392492923108746,10.648355983980805,10.896426771084828,10.523096327673318,10.634424605595852,10.228460211705485,10.600351072706665,11.05630731642838,10.680506701409497,10.45292660472794,10.998730813561757,10.870063355528297,10.253647874428776,10.529534454313074,10.248908279899425,10.730630823783638,10.837917716161154,10.996701107427985,10.873694490195259,10.97070797850502,10.552569185661707,10.558191717904677,11.946536250999547,10.963385647185516,10.42467865980946,10.480958203783164,10.95661202689731,10.546207195193746,10.792205032717668,11.278079377735946,10.933468579071311,10.833009458888512,10.341283801949727,10.658961405559724,10.558883970572104,10.177866033619525,10.804060590020233,10.619081338370094,10.17157255321742,10.6528270044022,10.514419056967542,10.451025411772484,10.922444837924104,10.695721577862255
Montipora_capitata_HIv3___RNAseq.g4584.t1,10.806204186206916,9.742696001749213,9.163123761630827,10.552161181639663,9.296773550002932,8.998307788050447,10.597449133320952,9.561391283600814,8.966952933011909,10.392604775094155,10.145781110016104,8.93513905234454,11.43835320986466,9.84944419984375,8.94545090574474,11.1071964327408,10.321680209781858,9.421985735080396,10.54995524583435,10.022585838537879,8.670181889874016,9.806812529340007,9.183465011392764,10.149176810282258,9.475249463471924,8.717172687793372,10.670183093403146,9.967573938613903,8.436519477156363,10.826811539200065,8.7771866137981025,10.363644235017707,9.111300411821661,8.833560033765284,11.4014971303599,9.792751889887404,10.169111248045343,8.821235688566286,10.448740856468833,9.468505280374918,8.854345952793143,10.464264921999666,9.700859499047798,9.345599563602178,11.49887882070931,9.602372014090973,10.493447846568015,8.551012640059179,10.547257014335132,11.069345438980015,10.444176815463154,9.088255803251974,10.794819977869006,9.525310073909775,9.02453182280817,10.856732712051123,10.37624785443717,10.03143838209943,10.21149904369839,9.32780387710456,9.414580702220901
Montipora_capitata_HIv3___RNAseq.g4585.t1,8.718630582687787,6.624744789407548,7.57517979163251,8.266094743431253,7.164475498730286,7.9509947566466,8.531091240157464,6.754192192543965,7.62887369043865,8.265356697298532,7.751334428487798,7.59235494381471,9.491059586204749,6.638697765557483,7.410341741424768,8.526217419954031,6.477521013857526,8.528136607370804,8.503109723988315,7.3898912204789,7.264153039483029,6.393184605538742,7.584604854780526,8.19024413581338,6.4875531666016375,7.839134950337475,8.61874244639006,5.500616366509256,7.349739210429355,8.472292280553381,7.3507683910835615,8.149687095793267,7.024558465322876,7.377154567968268,9.483609883268137,7.295542738216196,6.47322875345663,7.143163884791845,8.548892116711487,7.709575048741592,7.860553451250445,8.148015232916473,6.80986855977287,7.828436157036733,9.378324341669742,7.51399521948431,8.646376057666798,7.895786487697607,7.954249960860461,8.806714360986883,6.616040187530441,7.416789231104717,8.598930227863317,7.20093497961596,7.322066936742311,8.602983151421867,6.827334266170932,8.123590201959747,8.02271828982506,8.11138219231208,7.908559343727614
Montipora_capitata_HIv3___RNAseq.g4589.t1,7.810012966431207,7.246677563973986,8.355120174193582,8.002365174550553,7.333872825038404,8.447536119419611,7.987570367860248,7.185948496111096,8.084176538260015,7.902601018888652,6.7567358372210355,8.223815552041344,8.352198507535986,7.156114906271185,8.454337128320553,8.213059436787015,6.6653770158575565,7.83119748219037,8.166534023465008,6.446868662762651,8.695184597953299,6.906599671858801,8.313949757607586,7.674562741889561,6.989051016621235,8.289465292649133,7.73276868211021,7.422156195603866,7.8151133448315395,8.1098490919033015,8.050895597900295,8.269798390609377,7.714512135963577,7.799539813533582,8.381725989823241,7.425855941424154,6.6290294641965,8.324666382758869,8.22903653000805,7.270650873915335,7.927594286926479,8.110902322888057,6.299909312251507,7.883585802193085,7.599846276004022,8.048693762838427,7.42045278079306,7.860039840711382,7.881507462650318,7.838189300711083,6.820719399878735,8.236984878808821,7.823021481636706,7.2664991308092075,7.662343924995236,7.682159222423952,6.906965006811345,7.500731724168907,7.918770969184479,7.764452705822825,8.238814515656113
Montipora_capitata_HIv3___RNAseq.g4591.t1b,11.584166637796326,7.380851303900224,8.669596883742686,11.031153032605616,7.534321118850148,9.053282820131505,11.760567479786175,7.5161460741435615,8.506899561999521,11.010907932309065,9.970731976007666,8.262743400561726,12.448890984331653,7.029323967941098,8.275323707407853,11.727493327822378,6.477521013857526,8.56557618478084,11.9993747816956,7.1867017252040455,8.676474314169557,7.119066110185497,8.733751217707182,10.533760480585014,7.559107874275713,8.69237994533374,11.233076174797889,7.176939868742793,8.535035956767043,11.455274308959307,8.522722644324856,10.896807861341882,7.787281983979736,8.799513555953755,12.193246973157049,6.946445275642365,7.036367538331853,8.140603532190598,11.514087631593673,8.266615298348981,8.617608359078458,11.283661964224514,6.562607680893295,8.473673916023355,12.323770416849042,8.296159069693806,9.458604854756777,8.479859060317409,11.194234060736486,11.684267110986458,6.508749464270135,8.325554936516404,11.267854868242402,7.78260205657715,8.548077004021865,11.28593419544515,6.944675929161766,9.367665441751555,10.553495080502568,9.158760517189123,9.165290663331339
Montipora_capitata_HIv3___RNAseq.g4604.t1,7.048698822989734,8.436677415045143,7.29169786919297,7.187202554522594,8.440146603130826,7.430225516213305,6.781169438205894,8.058638560231797,7.341524143565687,6.899966541238942,7.8397450839331215,7.1010465366672175,6.4584887139037725,8.323222906832758,6.794202778625286,6.830727174918691,8.140345627030715,7.114844896472694,6.900359976184621,8.15588967908188,7.368053634387731,8.051441454431641,7.032705397213649,7.365481225995785,8.726054781314158,7.7378003259843045,6.822796180493148,9.320482156427301,7.600131020454982,6.572550286639235,7.331640325560754,7.073917904291412,7.564946536411724,7.21935283693647,6.986847853411948,9.030815882247047,8.79869781471408,7.396244444755794,7.010325784697759,6.759771776235142,7.508012753055625,6.483224293251072,8.629911307440294,7.495615431675165,5.500616366509256,7.277143011756767,6.976514162178021,7.079618115581661,7.180525325465245,6.752066616275503,8.891459029343485,7.683855662462801,7.083958284149315,8.29566002038618,7.704359810186167,6.838499600171166,9.098254208860514,7.125527260443493,7.501242261017545,7.388227923685583,7.610416491312636
Montipora_capitata_HIv3___RNAseq.g4605.t1,7.569112577041864,7.487426213249321,7.85720116985476,7.560113683849771,7.615937608625964,7.747703765892427,7.513860134064746,7.14534823902844,7.985824455418722,7.628243091265184,7.359375303693412,7.815997239509077,7.419916114114837,7.386232206298494,7.8230237593357375,7.828921926799514,8.2256642041070691,7.83119748219037,7.777496066012479,7.676096492801198,7.85853346473546,7.433885084260776,7.892337978607595,7.6845168847384615,6.778977232477307,7.583639584260372,7.56841556296483,7.943614693378673,7.777041780119576,7.42697445886368,7.682699302924834,7.0344919922249485,7.174371423390434,7.5297021312905335,7.185971208337595,7.450360395499793,7.060345647123312,7.697178494207559,7.633471114130533,6.973415710114993,7.8156117047546205,7.213904444232863,6.933710417332763,7.737829785609734,5.500616366509256,7.442157235563192,7.619827764324535,8.051103190268577,7.59008012727649,7.404847341430108,7.155053287170565,7.976481061969138,7.33939466889945,7.308315555320239,8.081905029833772,7.760309253394266,6.621733990579372,7.857777815885604,7.526456497374826,7.508282873823307,7.689760396614385
Montipora_capitata_HIv3___RNAseq.g4607.t1,7.6446861856939385,5.982636648061715,7.57517979163251,7.338703770284593,5.500616366509256,7.281184597654368,7.4814319697569625,7.03720248963222,7.855899228320208,7.837047783112388,7.522080785939812,7.574158324973849,7.480919582472915,6.571383177438585,7.81047217543561,7.442918829910788,7.569679802056421,8.11455032633906,7.713743135257286,7.248303135723309,7.782535293551711,6.906599671858801,7.91567492296586,7.996736543886027,6.739484674691668,7.638881898262591,7.512459847060516,7.397200442272374,7.720681287182771,7.192916165791077,7.77223516074093,7.636910320077157,7.095064772403274,7.425567518957684,8.545111651347517,6.543444112814958,5.500616366509256,7.463688633935689,7.1376590374932745,6.759771776235142,7.482031416270821,7.238702658772818,7.079697983202344,7.676116844033338,7.259011571188357,7.475316333138325,7.3075431872492675,7.045404975649553,6.927960223678922,7.949914487552351,6.1551389819116675,7.838181860324154,7.659601028427134,6.3611490037572205,7.553537572954267,7.96324278603468,5.500616366509256,7.6860078225756885,7.733632233072286,8.137903663763987,7.841630824246149
Montipora_capitata_HIv3___RNAseq.g4594.t1,9.182579158662243,10.317197744898781,8.774332920759111,9.326664629022646,9.249031476840004,8.949145258728395,9.317719723633218,9.71967471005389,8.747206986107841,9.231841851564589,9.775671793792299,9.177959691383512,10.281084186966757,10.335615384270193,9.346253846878746,10.100981794248733,10.04522697750225,8.662432907614233,9.70302362114323,9.961186152596452,9.308987121759728,10.775678829318789,8.840589626163553,9.193672608103823,10.107409043947076,9.322077001631593,9.402050569770495,10.036897383876855,9.343379279047333,9.549634744852337,9.428101080818708,9.612883945677913,9.701174602024683,9.22938724449431,9.53105298814185,9.779260136013685,10.003954082793976,8.847590818845834,9.769609246182258,9.29290762387086,8.892158783628563,9.37571007647687,9.668270228804893,8.742849755984698,9.599839577475967,8.820953419671264,9.558666615792895,8.816415543062003,9.097241586276754,9.529275646673785,10.561404817990992,8.910746447284875,9.553966408147499,9.815761791488828,9.019221990951515,9.268591398338325,10.59394630626062,9.176967291694424,9.0834907912421,8.70315590437293,8.82360112500782
