list,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cluster
int,Montipora_capitata_HIv3___TS.g28558.t3a,589.7783688969695,-0.18551539649385707,0.22798762462833508,31.462817915024743,2.0678524665640707e-5,0.02296256170825466,1
int,Montipora_capitata_HIv3___TS.g9507.t1,51.55930887546119,-3.288010902870104,0.7105402250531082,39.206301866000445,6.521070698369922e-7,0.001593097571611772,2
int,Montipora_capitata_HIv3___TS.g9699.t2,96.61334612713073,-0.09146260416849446,0.6161092569364474,34.72450474414961,4.872789522056023e-6,0.006613458223546035,1
int,Montipora_capitata_HIv3___RNAseq.g40764.t1,118.06980750851817,0.6186444401958783,0.633341113567963,52.89499784940767,1.231824407878006e-9,7.523367571114922e-6,1
int,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,-0.9770427257055834,0.4590028999409376,39.74472210325416,5.112721636886361e-7,0.0015612973698641724,2
int,Montipora_capitata_HIv3___TS.g45793.t1b,95.2368243200642,-0.2931672934531358,0.5617898449164493,55.164844663507324,4.293441290939037e-10,5.244438536882033e-6,2
int,Montipora_capitata_HIv3___RNAseq.g20824.t1a,133.6896607233492,1.2309337211649893,0.679007502119324,38.102844973871925,1.072535201014984e-6,0.0018957936916281874,2
int,Montipora_capitata_HIv3___RNAseq.g28195.t1,63.77604695408109,2.0655226366734905,0.5544596203072271,31.550429619782108,1.989564385816878e-5,0.02296256170825466,1
int,Montipora_capitata_HIv3___TS.g15697.t1,60.97840454804061,-0.2941501468300384,0.6484789559659052,43.03791972467775,1.1464542057963584e-7,4.6679793746008387e-4,1
int,Montipora_capitata_HIv3___RNAseq.g47569.t1,8856.063412420037,0.3714053801112505,1.0411082766600532,30.355095466095236,3.364545630009792e-5,0.031613788361976626,1
int,Montipora_capitata_HIv3___RNAseq.g39262.t1,65.14238914230668,0.5187662835449783,0.4559769197877378,37.777571805709954,1.2416168262812526e-6,0.0018957936916281874,1
int,Montipora_capitata_HIv3___RNAseq.g18178.t1,79.51776000415508,-0.13022038268797453,0.7094687974968811,37.87294086909958,1.1894692754784633e-6,0.0018957936916281874,2
int,Montipora_capitata_HIv3___RNAseq.g35580.t1,3971.050026652453,0.5519602911965288,0.9546818642746059,30.56416417585183,3.069736302250863e-5,0.03124735744332857,1
joint,Montipora_capitata_HIv3___RNAseq.g5198.t1,153.28514282476524,2.3829583695426884,0.7247320647944527,45.22397324379904,8.386867688812837e-7,8.537132401570732e-4,1
joint,Montipora_capitata_HIv3___TS.g28558.t3a,589.7783688969695,-0.18551539649385707,0.22798762462833508,49.0510225123362,1.6236576627079798e-7,2.1508367453411202e-4,1
joint,Montipora_capitata_HIv3___RNAseq.g6962.t1,607.8106340523815,-0.13697305773605578,0.33847077727363323,33.059463537753686,1.304055198406038e-4,0.038851303045194525,3
joint,Montipora_capitata_HIv3___RNAseq.g8767.t1,836.6925786201228,0.16126087213148252,1.1146807965223098,33.659190216231536,1.0247726908237451e-4,0.032096406201056533,1
joint,Montipora_capitata_HIv3___RNAseq.g11410.t1,784.8442303246196,-2.022576685615434,0.791226806271575,37.006611341128405,2.6246890783961675e-5,0.010847823927820069,1
joint,Montipora_capitata_HIv3___RNAseq.g11828.t1,3199.2417119928723,0.8894516440889735,1.0281586290572733,52.95245138639825,2.984208868973824e-8,6.236445340792201e-5,1
joint,Montipora_capitata_HIv3___RNAseq.g516.t1,64.252535224741,0.0675050638919432,0.6953203267811507,34.25830201366102,8.04726180326872e-5,0.028084943693407832,2
joint,Montipora_capitata_HIv3___RNAseq.g24243.t1,443.92917925923115,0.21980778574574056,0.28163011327943854,37.16595235992372,2.4582767386128762e-5,0.010847823927820069,2
joint,Montipora_capitata_HIv3___TS.g9507.t1,51.55930887546119,-3.288010902870104,0.7105402250531082,44.81166920171597,9.996887994449414e-7,8.722284775157114e-4,2
joint,Montipora_capitata_HIv3___TS.g9699.t2,96.61334612713073,-0.09146260416849446,0.6161092569364474,37.54018003034889,2.107286367094316e-5,0.01072520957252378,1
joint,Montipora_capitata_HIv3___RNAseq.g40764.t1,118.06980750851817,0.6186444401958783,0.633341113567963,70.15444929703824,1.4201194393082343e-11,1.7346758951150082e-7,1
