gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___TS.g29264.t2,2730.2506921354156,1.2181209616171844,0.3459758306230597,3.52082675666534,4.3020358598772204e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g1190.t1,2572.453699007528,1.332734013501384,0.3271516255263686,4.073750241519019,4.626209310606617e-5,0.01656182933197169
Montipora_capitata_HIv3___RNAseq.g27062.t1,2861.473246063146,0.9028634555746586,0.2556611106464824,3.5314853060428923,0.00041323282031575313,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g27120.t1,1749.3000649884707,1.051473746118172,0.30264847282060103,3.474241043804795,5.123005922077992e-4,0.04910474516579965
Montipora_capitata_HIv3___RNAseq.g43906.t1,1776.7013179736948,1.195246389438418,0.34025566832854753,3.5127890603847334,4.43429367956161e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g44004.t1,3526.683987494885,2.335086827591665,0.459129228628567,5.085903231573038,3.6588058025711254e-7,9.16896734124324e-4
Montipora_capitata_HIv3___RNAseq.g15018.t1,3920.6098810134013,1.1067947274243666,0.31124460252147423,3.5560286618882126,3.765030208771339e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g44669.t1,4570.174003463525,2.152440106125538,0.5089600718175408,4.229094236093976,2.3463405504164368e-5,0.01175985883868718
Montipora_capitata_HIv3___RNAseq.g44974.t1,1832.3829276023357,1.1837830153886215,0.33942457748467203,3.4876172614285115,4.8734516691719055e-4,0.04885147953177918
Montipora_capitata_HIv3___RNAseq.g45032.t2,2963.3163042014357,1.0821238947579481,0.2944233198983947,3.6754014428320025,2.3747570507184912e-4,0.04250815120786099
Montipora_capitata_HIv3___RNAseq.g21605.t1,7286.433570991806,1.4916435557661665,0.3989179055274635,3.739224374483422,1.845889159162546e-4,0.03611227093492613
Montipora_capitata_HIv3___RNAseq.g22595.t1,6583.03663607355,1.3528826753088845,0.36079777659769086,3.7496979279265967,1.770477097122054e-4,0.03611227093492613
Montipora_capitata_HIv3___TS.g37202.t2a,2748.343399050667,0.6856519092553716,0.19784542119291315,3.465594023461442,5.290615001901798e-4,0.04910474516579965
Montipora_capitata_HIv3___RNAseq.g28322.t1,6677.871007703974,1.990376990212911,0.41575099989475556,4.787425624272126,1.689343127983494e-6,0.0018388955242349511
Montipora_capitata_HIv3___RNAseq.g29121.t1,1707.7194949299305,1.863723676134105,0.46942122903093503,3.9702586096959087,7.179466208320026e-5,0.022489677897562482
Montipora_capitata_HIv3___RNAseq.g33482.t1,5005.099010036542,1.099320649568968,0.26706173753134604,4.116353992641632,3.849129767952359e-5,0.01607653199748102
Montipora_capitata_HIv3___RNAseq.g33790.t1,2819.291144968345,1.0511196020454767,0.2952721852978273,3.559832772549373,3.7109102636119685e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g34110.t1,3173.94744840429,1.1141489170110561,0.29825875056438245,3.735511246200821,1.8733420676537895e-4,0.03611227093492613
Montipora_capitata_HIv3___RNAseq.g34187.t2,4414.704703406541,0.7789268755365014,0.2066455416303452,3.769386309479994,1.636494306680884e-4,0.03611227093492613
Montipora_capitata_HIv3___RNAseq.g46220.t1,3245.4232966982463,1.1780891722192133,0.3256757320591095,3.6173686162326413,2.97613314214766e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g47022.t1,1761.6316095659483,1.0405613653025718,0.2916629617082661,3.567684286026644,3.6015007379679837e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g48479.t1,5057.446510649275,1.098564806891252,0.3058683890014675,3.5916258312197837,3.286214403917476e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g38474.t1,3380.452551339978,1.1991894905404341,0.3151148125066039,3.805563695979232,1.414815968387675e-4,0.03611227093492613
Montipora_capitata_HIv3___RNAseq.g38999.t1,1929.7196957385652,0.9898134515912772,0.28290958875209277,3.4986917762572842,4.675467212809525e-4,0.048819670147086124
Montipora_capitata_HIv3___TS.g5110.t1,3655.0483062905964,1.5498012750305485,0.36600939018941625,4.2343210763759345,2.2924321963791656e-5,0.01175985883868718
Montipora_capitata_HIv3___RNAseq.g36323.t1,2620.8948744904724,1.1078652079715854,0.31655023022057305,3.499808568136633,4.655923885745311e-4,0.048819670147086124
Montipora_capitata_HIv3___RNAseq.g36979.t1,1831.33703713617,2.3451807721389164,0.4953910884861677,4.733998706568172,2.201391289985975e-6,0.0018388955242349511
