gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g6455.t1,266.95093531687394,1.0290880274355285,0.27349768122685447,3.7626937925734905,1.6809296339170566e-4,0.0405105783517489
Montipora_capitata_HIv3___RNAseq.g6929.t1,836.3953610214435,0.6929986743604502,0.15496073080149744,4.472092192493412,7.745801834958971e-6,0.005947313596813549
Montipora_capitata_HIv3___RNAseq.g7364.t1,267.0490114383503,1.0476489591773293,0.2577051789260503,4.065300369760737,4.7970640236647284e-5,0.018901979693246664
Montipora_capitata_HIv3___RNAseq.g8767.t1,836.6925786201228,3.2974924368608893,0.8316769138010682,3.964871913770145,7.343536850194654e-5,0.023605605953980976
Montipora_capitata_HIv3___RNAseq.g9870.t1,154.38006857893188,1.5023179021171968,0.39630962531973923,3.7907681422199615,1.501821005602654e-4,0.03766912189690923
Montipora_capitata_HIv3___RNAseq.g11410.t1,784.8442303246196,3.621127688466884,0.6053167776473991,5.982202744388847,2.2014001526795183e-9,2.6890102864980316e-5
Montipora_capitata_HIv3___RNAseq.g11828.t1,3199.2417119928723,3.5458566902689803,0.7654672173991226,4.632277659541014,3.616646560024948e-6,0.003398256748515749
Montipora_capitata_HIv3___RNAseq.g467.t1,2891.3227741835326,3.6580595383835157,0.9526470949254087,3.839889459453963,1.2308972028189346e-4,0.03268567246181149
Montipora_capitata_HIv3___RNAseq.g516.t1,64.252535224741,2.4818999157548824,0.5295239956192596,4.687039560600815,2.7718540233326517e-6,0.002821516407917362
Montipora_capitata_HIv3___RNAseq.g527.t1b,1519.6465394071695,2.060188041451326,0.49729085169590875,4.142823127402155,3.430565192294069e-5,0.014965840651382876
Montipora_capitata_HIv3___RNAseq.g648.t1,458.7527556340499,1.2850630367877796,0.3494904655161196,3.6769616444043116,2.3602851347190838e-4,0.04970841882860967
Montipora_capitata_HIv3___TS.g40145.t1,118.74328934082504,1.9042347853548467,0.48983990276992523,3.8874635867491873,1.0129717774145368e-4,0.0293359872953323
Montipora_capitata_HIv3___RNAseq.g3338.t1,1720.2054275242306,2.4755127878963963,0.5967253770168872,4.148495913265542,3.3466682038988046e-5,0.014965840651382876
Montipora_capitata_HIv3___RNAseq.g24646.t1,1360.1994232985496,2.9770747695292568,0.6891675182198429,4.31981294942513,1.561615087046264e-5,0.008670512858304598
Montipora_capitata_HIv3___TS.g7987.t1,359.6412965759875,2.426417182203217,0.5533938946975959,4.384611405098969,1.1619300777694502e-5,0.0067585599523589685
Montipora_capitata_HIv3___TS.g8488.t1b,141.56803719301635,-1.0144378237369678,0.26771530406314686,-3.7892410644469137,1.5110822537442098e-4,0.03766912189690923
Montipora_capitata_HIv3___RNAseq.g26524.t1,1914.1600008676328,3.452912638735255,0.7806867601497275,4.422916866264035,9.737721812220302e-6,0.005947313596813549
Montipora_capitata_HIv3___RNAseq.g26744.t1,377.97398667818754,1.6988971824429893,0.4094477201044341,4.149240791986013,3.3357977732520014e-5,0.014965840651382876
Montipora_capitata_HIv3___RNAseq.g26803.t1,1487.4741636110343,3.027755652221859,0.7690306381163478,3.9371066666966597,8.246995460141093e-5,0.02518426238640586
Montipora_capitata_HIv3___RNAseq.g41271.t2,118.71345884883706,2.5667371924722127,0.6256168560289123,4.102730237744096,4.083032121748948e-5,0.016973818665466323
Montipora_capitata_HIv3___RNAseq.g41261.t1,5104.007767600421,1.8286143074288972,0.49722165277193386,3.6776642715269037,2.3537948587968457e-4,0.04970841882860967
Montipora_capitata_HIv3___RNAseq.g41393.t1,445.2287126915064,1.3157617512268218,0.29735419948184605,4.424897154705062,9.648823946690596e-6,0.005947313596813549
Montipora_capitata_HIv3___RNAseq.g41524.t1,498.3815433849644,1.9425892647099405,0.5218276334826063,3.7226646119627,1.9713130390356447e-4,0.04543318636192528
Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,1.697936228747964,0.3508296110306392,4.8397745668043886,1.2998649225546936e-6,0.001764205558778398
Montipora_capitata_HIv3___TS.g50653.t2,93.46203375388207,3.4338490483698094,0.712801391535946,4.817399473604483,1.4544132388647965e-6,0.001776565771273349
Montipora_capitata_HIv3___RNAseq.g13110.t1,388.94434550565893,2.0879270055710606,0.5551311663776464,3.7611417481660165,1.6913954121483373e-4,0.0405105783517489
Montipora_capitata_HIv3___RNAseq.g13590.t1,127.18325863727848,2.4665850456306844,0.6117346000843863,4.032116289139815,5.52768212704534e-5,0.020460799146017825
Montipora_capitata_HIv3___RNAseq.g19868.t1,164.13112226485305,2.490084500932376,0.6210223543043565,4.009653571523469,6.080789469844394e-5,0.021555903284832787
Montipora_capitata_HIv3___TS.g33656.t1,1089.160510923791,3.2081260824297004,0.8125168556863921,3.9483809597027535,7.868152435526842e-5,0.024643456923066766
Montipora_capitata_HIv3___RNAseq.g23104.t1,1450.801826446449,5.077631738805312,1.0337734148354598,4.911745326332939,9.026925169154789e-7,0.0015751984420175108
Montipora_capitata_HIv3___TS.g37159.t1,168.01863106563403,1.7844223115759628,0.36809461539283006,4.847727287919248,1.2488391411598358e-6,0.001764205558778398
Montipora_capitata_HIv3___RNAseq.g27612.t1,1451.3507408830085,2.8488813958875667,0.7030422533750708,4.052219311443999,5.07340733195338e-5,0.01936614704994079
Montipora_capitata_HIv3___RNAseq.g27935.t1,1807.4900592154743,0.9022633814263962,0.24220541608735116,3.7251990314741588,1.951611771451559e-4,0.04543318636192528
Montipora_capitata_HIv3___RNAseq.27502_t,1026.7004856048584,2.6919600584525463,0.7083822619179303,3.8001517022237685,1.4460753538115433e-4,0.03758257541874043
Montipora_capitata_HIv3___RNAseq.g30106.t1a,1207.1405503741983,1.6252667239967449,0.4093090043239683,3.9707573173991197,7.16445296948172e-5,0.023605605953980976
Montipora_capitata_HIv3___RNAseq.g30158.t1,3098.699849513831,3.089061753154332,0.6468061534303802,4.7758694575975875,1.7893244575982721e-6,0.0019869634772329905
Montipora_capitata_HIv3___TS.g14781.t1,1574.3703045448553,1.2544060647214845,0.3230693223553812,3.8827767847967274,1.032703605157011e-4,0.0293359872953323
Montipora_capitata_HIv3___RNAseq.g33355.t1,298.89874416497537,2.9202471944797774,0.7358107991917233,3.968747397683784,7.225142092232969e-5,0.023605605953980976
Montipora_capitata_HIv3___RNAseq.g33365.t1,201.263637322019,2.290578035506033,0.6191959091243355,3.699278373375172,2.162133515843587e-4,0.04803060883133874
Montipora_capitata_HIv3___RNAseq.g46103.t2,101.89292331028629,2.5323128394363055,0.5967609370320752,4.24342929017855,2.2012975561142054e-5,0.011680078854876848
Montipora_capitata_HIv3___RNAseq.g47569.t1,8856.063412420037,3.8636424680515784,0.7796380575558747,4.955687361086373,7.207503019045482e-7,0.0014673274896273426
Montipora_capitata_HIv3___RNAseq.g48712.t1,373.86713604377815,1.9510983075690214,0.4608081556176224,4.234079375079547,2.294898833541092e-5,0.011680078854876848
Montipora_capitata_HIv3___RNAseq.g49798.t1,1940.1682987167262,3.892465652668204,0.7751766193903529,5.0213919709413855,5.129835286442125e-7,0.0014673274896273426
Montipora_capitata_HIv3___RNAseq.g37643.t1,104.55525526940612,2.270076619488087,0.5459926591275375,4.1577053858480975,3.2146022284357614e-5,0.014965840651382876
Montipora_capitata_HIv3___RNAseq.g39019.t1,6718.277255700332,4.729518361722943,0.8508985953227175,5.558263214583395,2.7247227565554716e-8,1.6641244235662543e-4
Montipora_capitata_HIv3___RNAseq.g39730.t1,899.5663768872142,1.2117350506221092,0.31316451198990186,3.869324282379678,1.091374045811649e-4,0.029624742154642874
