GO,GO:0009987,GO:0006508,GO:0006807,GO:0008152,GO:0019538,GO:0043170,GO:0044237,GO:0044238,GO:0071704,GO:1901564,GO:0000209,GO:0006511,GO:0009056,GO:0009057,GO:0010498,GO:0016567,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043412,GO:0043632,GO:0044248,GO:0044260,GO:0044265,GO:0051603,GO:0051865,GO:0070647,GO:1901565,GO:1901575,GO:0006996,GO:0016043,GO:0071840,GO:0003341,GO:0007017,GO:0007018,GO:0030030,GO:0044782,GO:0120036,GO:0006810,GO:0006892,GO:0006895,GO:0007010,GO:0008582,GO:0010033,GO:0010941,GO:0016192,GO:0016482,GO:0034097,GO:0040008,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043687,GO:0044087,GO:0045926,GO:0046907,GO:0048193,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051641,GO:0051649,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060548,GO:0065007,GO:0065008,GO:1904396,GO:1905809,GO:2000026,GO:0006518,GO:0034641,GO:0043603
GO:0009057,0,0.285,0.243,0.258,0.347,0.395,0.245,0.248,0.298,0.259,0.206,0.882,0.865,0.978,0.853,0.238,0.884,0.929,0.243,0.315,0.836,0.319,0.889,0.837,0.319,0.946,0.911,0.165,0.25,0.835,0.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.22,0.168
GO:0010498,0,0.784,0.299,0.209,0.522,0.325,0.2,0.269,0.242,0.457,0.333,0.902,0.745,0.853,0.993,0.378,0.904,0.908,0.384,0.481,0.976,0.272,0.784,0.724,0.271,0.828,0.928,0.272,0.394,0.857,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0.275,0.219
GO:0016567,0,0.451,0.307,0.215,0.535,0.333,0.206,0.277,0.249,0.468,0.87,0.39,0.156,0.238,0.378,0.992,0.39,0.408,0.973,0.673,0.371,0.653,0.219,0.152,0.277,0.231,0.401,0.709,0.945,0.359,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0.282,0.223
GO:0019941,0.055,0.814,0.314,0.22,0.546,0.341,0.302,0.283,0.255,0.479,0.342,0.988,0.774,0.884,0.904,0.39,0.991,0.94,0.397,0.501,0.941,0.283,0.984,0.815,0.669,0.921,0.96,0.278,0.408,0.889,0.805,0.037,0.04,0.041,0.021,0.032,0.028,0.033,0.028,0.032,0,0,0.02,0.033,0.023,0,0.028,0,0.025,0,0,0,0.027,0.025,0.027,0.025,0.286,0.028,0,0.033,0,0,0.033,0,0,0,0,0.044,0,0.025,0,0,0.032,0.027,0,0,0,0,0.036,0.034,0,0,0.024,0.02,0.025,0,0,0.023,0.02,0,0.371,0.288,0.227
GO:0030163,0,0.484,0.338,0.238,0.582,0.366,0.226,0.305,0.275,0.511,0.356,0.938,0.817,0.929,0.908,0.408,0.94,0.986,0.416,0.531,0.891,0.3,0.848,0.792,0.3,0.9,0.968,0.287,0.427,0.934,0.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.308,0.239
GO:0032446,0,0.46,0.315,0.221,0.548,0.342,0.211,0.284,0.256,0.48,0.853,0.396,0.16,0.243,0.384,0.973,0.397,0.416,0.99,0.687,0.377,0.668,0.223,0.155,0.284,0.236,0.408,0.693,0.961,0.366,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0.289,0.227
GO:0036211,0,0.606,0.468,0.337,0.768,0.504,0.314,0.425,0.386,0.684,0.571,0.5,0.212,0.315,0.481,0.673,0.501,0.531,0.687,0.933,0.47,0.91,0.282,0.204,0.386,0.303,0.519,0.446,0.711,0.474,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0.412,0.297
GO:0043161,0.05,0.768,0.291,0.203,0.51,0.316,0.279,0.262,0.235,0.445,0.327,0.944,0.729,0.836,0.976,0.371,0.941,0.891,0.377,0.47,0.994,0.266,0.935,0.768,0.627,0.872,0.911,0.268,0.387,0.841,0.759,0.035,0.037,0.038,0.021,0.03,0.026,0.031,0.027,0.031,0,0,0.019,0.031,0.022,0,0.026,0,0.024,0,0,0,0.025,0.024,0.026,0.024,0.275,0.026,0,0.031,0,0,0.032,0,0,0,0,0.041,0,0.024,0,0,0.031,0.026,0,0,0,0,0.034,0.032,0,0,0.023,0.019,0.024,0,0,0.022,0.019,0,0.351,0.268,0.214
GO:0043412,0,0.343,0.319,0.345,0.437,0.516,0.322,0.327,0.396,0.33,0.553,0.283,0.216,0.319,0.272,0.653,0.283,0.3,0.668,0.91,0.266,0.927,0.285,0.207,0.393,0.307,0.294,0.431,0.69,0.227,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.28,0.201
GO:0043632,0.055,0.258,0.211,0.222,0.307,0.344,0.305,0.215,0.258,0.228,0.192,0.982,0.779,0.889,0.784,0.219,0.984,0.848,0.223,0.282,0.935,0.285,0.99,0.82,0.674,0.926,0.833,0.156,0.229,0.759,0.81,0.037,0.04,0.041,0.021,0.032,0.028,0.033,0.028,0.032,0,0,0.02,0.033,0.023,0,0.028,0,0.026,0,0,0,0.027,0.025,0.027,0.025,0.16,0.028,0,0.033,0,0,0.034,0,0,0,0,0.045,0,0.026,0,0,0.032,0.027,0,0,0,0,0.037,0.034,0,0,0.025,0.02,0.026,0,0,0.023,0.02,0,0.214,0.278,0.218
GO:0044248,0.073,0.183,0.266,0.284,0.226,0.261,0.385,0.271,0.277,0.237,0.131,0.813,0.924,0.837,0.724,0.152,0.815,0.792,0.155,0.204,0.768,0.207,0.82,0.966,0.297,0.875,0.776,0.104,0.16,0.833,0.899,0.045,0.049,0.05,0.024,0.037,0.032,0.038,0.032,0.038,0,0,0.022,0.038,0.026,0,0.032,0,0.029,0,0,0,0.03,0.028,0.031,0.028,0.107,0.032,0,0.039,0,0,0.039,0,0,0,0,0.055,0,0.029,0,0,0.038,0.031,0,0,0,0,0.044,0.04,0,0,0.027,0.022,0.029,0,0,0.026,0.022,0,0.251,0.342,0.256
GO:0044260,0.091,0.342,0.318,0.344,0.436,0.515,0.461,0.326,0.395,0.329,0.235,0.667,0.215,0.319,0.271,0.277,0.669,0.3,0.284,0.386,0.627,0.393,0.674,0.297,0.928,0.724,0.293,0.183,0.293,0.226,0.247,0.051,0.057,0.058,0.025,0.041,0.035,0.043,0.035,0.042,0,0,0.023,0.043,0.028,0,0.035,0,0.031,0,0,0,0.033,0.03,0.034,0.031,0.189,0.035,0,0.043,0,0,0.044,0,0,0,0,0.066,0,0.031,0,0,0.042,0.034,0,0,0,0,0.05,0.045,0,0,0.03,0.023,0.031,0,0,0.028,0.023,0,0.281,0.401,0.288
GO:0044265,0.061,0.275,0.231,0.244,0.332,0.376,0.334,0.235,0.283,0.247,0.201,0.919,0.833,0.946,0.828,0.231,0.921,0.9,0.236,0.303,0.872,0.307,0.926,0.875,0.724,0.983,0.883,0.162,0.242,0.807,0.865,0.04,0.044,0.044,0.022,0.034,0.029,0.035,0.03,0.034,0,0,0.02,0.035,0.024,0,0.029,0,0.027,0,0,0,0.028,0.026,0.029,0.026,0.167,0.029,0,0.035,0,0,0.036,0,0,0,0,0.049,0,0.027,0,0,0.035,0.029,0,0,0,0,0.039,0.036,0,0,0.026,0.02,0.027,0,0,0.024,0.02,0,0.228,0.301,0.232
GO:0051603,0,0.841,0.328,0.231,0.568,0.356,0.22,0.296,0.267,0.498,0.35,0.958,0.8,0.911,0.928,0.401,0.96,0.968,0.408,0.519,0.911,0.294,0.833,0.776,0.293,0.883,0.988,0.283,0.42,0.916,0.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0.3,0.234
GO:0051865,0,0.307,0.189,0.129,0.344,0.206,0.126,0.169,0.151,0.297,0.645,0.278,0.106,0.165,0.272,0.709,0.278,0.287,0.693,0.446,0.268,0.431,0.156,0.104,0.183,0.162,0.283,1,0.667,0.249,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.179,0.153
GO:0070647,0,0.474,0.329,0.231,0.568,0.357,0.22,0.296,0.267,0.498,0.825,0.407,0.165,0.25,0.394,0.945,0.408,0.427,0.961,0.711,0.387,0.69,0.229,0.16,0.293,0.242,0.42,0.667,0.988,0.377,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0.3,0.234
GO:1901565,0,0.429,0.362,0.256,0.521,0.28,0.243,0.246,0.296,0.545,0.311,0.887,0.861,0.835,0.857,0.359,0.889,0.934,0.366,0.474,0.841,0.227,0.759,0.833,0.226,0.807,0.916,0.249,0.377,0.979,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.328,0.251
GO:1901575,0,0.219,0.269,0.288,0.27,0.312,0.271,0.275,0.331,0.284,0.155,0.803,0.932,0.897,0.775,0.181,0.805,0.849,0.184,0.243,0.759,0.247,0.81,0.899,0.247,0.865,0.831,0.123,0.19,0.893,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0.241,0.18
GO:0006996,0.087,0,0,0,0,0,0.069,0,0,0,0,0.037,0,0,0,0,0.037,0,0,0,0.035,0,0.037,0.045,0.051,0.04,0,0,0,0,0,0.939,0.801,0.778,0.025,0.04,0.034,0.607,0.655,0.6,0,0,0.023,0.788,0.401,0,0.034,0,0.031,0,0,0,0.032,0.03,0.033,0.03,0,0.475,0,0.042,0,0,0.043,0,0,0,0,0.063,0,0.449,0,0,0.602,0.483,0,0,0,0,0.048,0.044,0,0,0.426,0.33,0.031,0,0,0.401,0.33,0,0.042,0.06,0.043
GO:0016043,0.104,0,0,0,0,0,0.079,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0.037,0,0.04,0.049,0.057,0.044,0,0,0,0,0,0.801,0.896,0.871,0.026,0.044,0.037,0.66,0.542,0.652,0,0,0.024,0.662,0.423,0,0.036,0,0.033,0,0,0,0.035,0.032,0.035,0.032,0,0.509,0,0.046,0,0,0.047,0,0,0,0,0.072,0,0.477,0,0,0.653,0.516,0,0,0,0,0.053,0.048,0,0,0.452,0.345,0.033,0,0,0.423,0.345,0,0.046,0.068,0.047
GO:0071840,0.107,0,0,0,0,0,0.081,0,0,0,0,0.04,0,0,0,0,0.041,0,0,0,0.038,0,0.041,0.05,0.058,0.044,0,0,0,0,0,0.778,0.871,0.887,0.026,0.044,0.037,0.639,0.523,0.631,0,0,0.024,0.64,0.407,0,0.037,0,0.033,0,0,0,0.035,0.032,0.036,0.032,0,0.514,0,0.047,0,0,0.048,0,0,0,0,0.073,0,0.46,0,0,0.632,0.498,0,0,0,0,0.054,0.049,0,0,0.435,0.332,0.033,0,0,0.407,0.332,0,0.047,0.069,0.048
GO:0003341,0.032,0,0,0,0,0,0.029,0,0,0,0,0.021,0,0,0,0,0.021,0,0,0,0.021,0,0.021,0.024,0.025,0.022,0,0,0,0,0,0.025,0.026,0.026,1,0.643,0.774,0.023,0.02,0.023,0,0,0.016,0.023,0.018,0,0.02,0,0.019,0,0,0,0.02,0.019,0.02,0.019,0,0.02,0,0.023,0,0,0.023,0,0,0,0,0.028,0,0.019,0,0,0.023,0.02,0,0,0,0,0.024,0.023,0,0,0.018,0.016,0.019,0,0,0.018,0.016,0,0.023,0.027,0.023
GO:0007017,0.062,0,0,0,0,0,0.052,0,0,0,0,0.032,0,0,0,0,0.032,0,0,0,0.03,0,0.032,0.037,0.041,0.034,0,0,0,0,0,0.04,0.044,0.044,0.643,0.983,0.852,0.035,0.03,0.035,0,0,0.02,0.035,0.024,0,0.029,0,0.027,0,0,0,0.028,0.026,0.029,0.026,0,0.029,0,0.035,0,0,0.036,0,0,0,0,0.049,0,0.027,0,0,0.035,0.029,0,0,0,0,0.039,0.037,0,0,0.026,0.02,0.027,0,0,0.024,0.02,0,0.036,0.047,0.036
GO:0007018,0.048,0,0,0,0,0,0.042,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0.026,0,0.028,0.032,0.035,0.029,0,0,0,0,0,0.034,0.037,0.037,0.774,0.852,0.995,0.03,0.026,0.03,0,0,0.019,0.03,0.022,0,0.026,0,0.024,0,0,0,0.025,0.023,0.025,0.024,0,0.026,0,0.03,0,0,0.031,0,0,0,0,0.04,0,0.024,0,0,0.03,0.025,0,0,0,0,0.033,0.031,0,0,0.023,0.019,0.024,0,0,0.022,0.019,0,0.031,0.039,0.031
GO:0030030,0.065,0,0,0,0,0,0.054,0,0,0,0,0.032,0,0,0,0,0.033,0,0,0,0.031,0,0.033,0.038,0.043,0.035,0,0,0,0,0,0.607,0.66,0.639,0.023,0.035,0.03,0.979,0.835,0.97,0,0,0.021,0.523,0.362,0,0.03,0,0.027,0,0,0,0.029,0.027,0.029,0.027,0,0.42,0,0.036,0,0,0.037,0,0,0,0,0.051,0,0.401,0,0,0.518,0.428,0,0,0,0,0.04,0.038,0,0,0.383,0.303,0.027,0,0,0.362,0.303,0,0.036,0.049,0.037
GO:0044782,0.049,0,0,0,0,0,0.043,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0.027,0,0.028,0.032,0.035,0.03,0,0,0,0,0,0.655,0.542,0.523,0.02,0.03,0.026,0.835,0.995,0.845,0,0,0.019,0.578,0.323,0,0.026,0,0.024,0,0,0,0.025,0.024,0.026,0.024,0,0.366,0,0.031,0,0,0.031,0,0,0,0,0.041,0,0.354,0,0,0.442,0.375,0,0,0,0,0.034,0.032,0,0,0.34,0.276,0.024,0,0,0.323,0.276,0,0.031,0.039,0.032
GO:0120036,0.064,0,0,0,0,0,0.053,0,0,0,0,0.032,0,0,0,0,0.032,0,0,0,0.031,0,0.032,0.038,0.042,0.034,0,0,0,0,0,0.6,0.652,0.631,0.023,0.035,0.03,0.97,0.845,0.981,0,0,0.021,0.519,0.359,0,0.03,0,0.027,0,0,0,0.029,0.027,0.029,0.027,0,0.416,0,0.036,0,0,0.037,0,0,0,0,0.05,0,0.398,0,0,0.513,0.424,0,0,0,0,0.04,0.037,0,0,0.38,0.302,0.027,0,0,0.359,0.302,0,0.036,0.048,0.037
GO:0006810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.389,0.31,0,0,0,0,0.628,0.43,0,0,0,0,0,0,0,0,0,0,0.613,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0.861,0,0,0.643,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389,0.999,0.859,0,0,0,0,0.658,0.267,0,0,0,0,0,0,0,0,0,0,0.327,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0.383,0,0,0.32,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0006895,0.028,0,0,0,0,0,0.026,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0.019,0,0.02,0.022,0.023,0.02,0,0,0,0,0,0.023,0.024,0.024,0.016,0.02,0.019,0.021,0.019,0.021,0.31,0.859,1,0.021,0.017,0,0.019,0.541,0.794,0,0,0,0.018,0.017,0.018,0.017,0,0.019,0,0.558,0.725,0,0.021,0,0,0,0,0.025,0,0.018,0,0,0.021,0.018,0.284,0.305,0,0,0.453,0.523,0,0,0.017,0.015,0.018,0,0,0.017,0.015,0,0.021,0.025,0.021
GO:0007010,0.065,0,0,0,0,0,0.054,0,0,0,0,0.032,0,0,0,0,0.033,0,0,0,0.031,0,0.033,0.038,0.043,0.035,0,0,0,0,0,0.788,0.662,0.64,0.023,0.035,0.03,0.523,0.578,0.519,0,0,0.021,0.979,0.362,0,0.03,0,0.027,0,0,0,0.029,0.027,0.029,0.027,0,0.42,0,0.036,0,0,0.037,0,0,0,0,0.051,0,0.401,0,0,0.519,0.429,0,0,0,0,0.041,0.038,0,0,0.383,0.304,0.027,0,0,0.362,0.304,0,0.037,0.049,0.037
GO:0008582,0.036,0,0,0,0,0,0.032,0,0,0,0,0.023,0,0,0,0,0.023,0,0,0,0.022,0,0.023,0.026,0.028,0.024,0,0,0,0,0,0.401,0.423,0.407,0.018,0.024,0.022,0.362,0.323,0.359,0,0,0.017,0.362,0.999,0,0.202,0,0.02,0,0.802,0,0.196,0.186,0.198,0.187,0,0.84,0.69,0.025,0,0.194,0.234,0.823,0.717,0.234,0.66,0.287,0.911,0.918,0,0.569,0.686,0.598,0,0,0.281,0.243,0.027,0.026,0.546,0.5,0.955,0.797,0.189,0.211,0.633,0.999,0.74,0.596,0.025,0.03,0.025
GO:0010033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983,0,0,0,0.626,0,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0010941,0.048,0,0,0,0,0,0.042,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0.026,0,0.028,0.032,0.035,0.029,0,0,0,0,0,0.034,0.036,0.037,0.02,0.029,0.026,0.03,0.026,0.03,0,0,0.019,0.03,0.202,0,0.995,0,0.024,0,0.196,0,0.961,0.902,0.974,0.906,0,0.239,0.165,0.03,0,0.239,0.284,0.192,0.164,0.301,0.223,0.368,0.157,0.221,0,0.186,0.276,0.234,0,0,0.222,0.186,0.033,0.031,0.177,0.16,0.212,0.173,0.92,0.272,0.203,0.202,0.173,0.197,0.03,0.039,0.031
GO:0016192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0.658,0.541,0,0,0,0,0.974,0.361,0,0,0,0,0,0,0,0,0,0,0.482,0.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.619,0,0,0.489,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016482,0.042,0,0,0,0,0,0.037,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0.024,0,0.026,0.029,0.031,0.027,0,0,0,0,0,0.031,0.033,0.033,0.019,0.027,0.024,0.027,0.024,0.027,0.43,0.267,0.794,0.027,0.02,0,0.024,0.361,0.998,0,0,0,0.023,0.022,0.023,0.022,0,0.024,0,0.737,0.306,0,0.028,0,0,0,0,0.035,0,0.022,0,0,0.027,0.023,0.397,0.424,0,0,0.612,0.696,0,0,0.021,0.018,0.022,0,0,0.02,0.018,0,0.028,0.034,0.028
GO:0034097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626,0,0,0,1,0,0.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0040008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802,0,0.196,0,0,0,0.993,0,0.189,0.177,0.192,0.178,0,0.197,0.827,0,0,0.251,0.236,0.972,0.821,0.321,0.233,0.309,0.163,0.181,0,0.194,0.228,0.192,0,0,0.232,0.194,0,0,0.184,0.166,0.174,0.141,0.181,0.291,0.213,0.165,0.141,0.205,0,0,0
GO:0042221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,0,0,0,0.479,0,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0042981,0.045,0,0,0,0,0,0.04,0,0,0,0,0.027,0,0,0,0,0.027,0,0,0,0.025,0,0.027,0.03,0.033,0.028,0,0,0,0,0,0.032,0.035,0.035,0.02,0.028,0.025,0.029,0.025,0.029,0,0,0.018,0.029,0.196,0,0.961,0,0.023,0,0.189,0,0.997,0.938,0.983,0.916,0,0.231,0.16,0.029,0,0.228,0.273,0.186,0.159,0.285,0.214,0.348,0.152,0.214,0,0.18,0.265,0.226,0,0,0.213,0.18,0.032,0.03,0.172,0.156,0.206,0.168,0.891,0.258,0.194,0.196,0.168,0.19,0.029,0.037,0.03
GO:0043066,0.04,0,0,0,0,0,0.036,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0.024,0,0.025,0.028,0.03,0.026,0,0,0,0,0,0.03,0.032,0.032,0.019,0.026,0.023,0.027,0.024,0.027,0,0,0.017,0.027,0.186,0,0.902,0,0.022,0,0.177,0,0.938,0.998,0.924,0.995,0,0.217,0.447,0.027,0,0.624,0.702,0.174,0.444,0.259,0.198,0.317,0.143,0.202,0,0.5,0.246,0.589,0,0,0.198,0.5,0.029,0.028,0.162,0.436,0.195,0.445,0.979,0.233,0.18,0.186,0.445,0.178,0.027,0.033,0.028
GO:0043067,0.046,0,0,0,0,0,0.04,0,0,0,0,0.027,0,0,0,0,0.027,0,0,0,0.026,0,0.027,0.031,0.034,0.029,0,0,0,0,0,0.033,0.035,0.036,0.02,0.029,0.025,0.029,0.026,0.029,0,0,0.018,0.029,0.198,0,0.974,0,0.023,0,0.192,0,0.983,0.924,0.996,0.928,0,0.234,0.162,0.03,0,0.232,0.277,0.188,0.161,0.291,0.217,0.356,0.154,0.217,0,0.182,0.269,0.229,0,0,0.216,0.182,0.032,0.03,0.174,0.157,0.208,0.17,0.902,0.263,0.198,0.198,0.17,0.193,0.03,0.037,0.03
GO:0043069,0.041,0,0,0,0,0,0.036,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0.024,0,0.025,0.028,0.031,0.026,0,0,0,0,0,0.03,0.032,0.032,0.019,0.026,0.024,0.027,0.024,0.027,0,0,0.017,0.027,0.187,0,0.906,0,0.022,0,0.178,0,0.916,0.995,0.928,0.998,0,0.218,0.448,0.027,0,0.627,0.705,0.175,0.446,0.26,0.199,0.319,0.144,0.203,0,0.502,0.247,0.591,0,0,0.199,0.502,0.03,0.028,0.162,0.437,0.195,0.447,0.983,0.235,0.181,0.187,0.447,0.179,0.027,0.034,0.028
GO:0043687,0,0.317,0.196,0.134,0.356,0.214,0.131,0.175,0.157,0.308,0.351,0.285,0.109,0.17,0.279,0.386,0.286,0.295,0.391,0.46,0.275,0.445,0.16,0.107,0.189,0.167,0.291,0.299,0.399,0.257,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.185,0.158
GO:0044087,0.048,0,0,0,0,0,0.042,0,0,0,0,0.028,0,0,0,0,0.028,0,0,0,0.026,0,0.028,0.032,0.035,0.029,0,0,0,0,0,0.475,0.509,0.514,0.02,0.029,0.026,0.42,0.366,0.416,0,0,0.019,0.42,0.84,0,0.239,0,0.024,0,0.197,0,0.231,0.217,0.234,0.218,0,0.995,0.165,0.03,0,0.239,0.285,0.193,0.164,0.302,0.223,0.369,0.157,0.334,0,0.187,0.417,0.354,0,0,0.222,0.187,0.033,0.031,0.178,0.161,0.883,0.717,0.221,0.274,0.203,0.306,0.261,0.197,0.031,0.039,0.031
GO:0045926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0.165,0,0,0,0.827,0,0.16,0.447,0.162,0.448,0,0.165,0.999,0,0,0.595,0.566,0.812,0.993,0.244,0.19,0.237,0.138,0.154,0,0.481,0.186,0.479,0,0,0.189,0.482,0,0,0.156,0.422,0.149,0.365,0.455,0.22,0.172,0.142,0.365,0.171,0,0,0
GO:0046907,0.066,0,0,0,0,0,0.055,0,0,0,0,0.033,0,0,0,0,0.033,0,0,0,0.031,0,0.033,0.039,0.043,0.035,0,0,0,0,0,0.042,0.046,0.047,0.023,0.035,0.03,0.036,0.031,0.036,0.613,0.327,0.558,0.036,0.025,0,0.03,0.482,0.737,0,0,0,0.029,0.027,0.03,0.027,0,0.03,0,0.977,0.388,0,0.037,0,0,0,0,0.051,0,0.028,0,0,0.036,0.03,0.569,0.604,0,0,0.835,0.932,0,0,0.026,0.021,0.028,0,0,0.025,0.021,0,0.037,0.049,0.038
GO:0048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0.86,0.725,0,0,0,0,0.782,0.306,0,0,0,0,0,0,0,0,0,0,0.388,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,0.471,0,0,0.385,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0
