GO,GO:0009987,GO:0006508,GO:0006807,GO:0008152,GO:0019538,GO:0043170,GO:0044237,GO:0044238,GO:0071704,GO:1901564,GO:0000209,GO:0006511,GO:0009056,GO:0009057,GO:0010498,GO:0016567,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043412,GO:0043632,GO:0044248,GO:0044260,GO:0044265,GO:0051603,GO:0051865,GO:0070647,GO:1901565,GO:1901575,GO:0006996,GO:0016043,GO:0071840,GO:0003341,GO:0007017,GO:0007018,GO:0030030,GO:0044782,GO:0120036,GO:0006810,GO:0006892,GO:0006895,GO:0007010,GO:0008582,GO:0010033,GO:0010941,GO:0016192,GO:0016482,GO:0034097,GO:0040008,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043687,GO:0044087,GO:0045926,GO:0046907,GO:0048193,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051641,GO:0051649,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060548,GO:0065007,GO:0065008,GO:1904396,GO:1905809,GO:2000026,GO:0006518,GO:0034641,GO:0043603
GO:0051179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0.358,0.284,0,0,0,0,0.583,0.397,0,0,0,0,0,0,0,0,0,0,0.569,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.825,0,0,0.663,0.599,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0051234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,0.383,0.305,0,0,0,0,0.619,0.424,0,0,0,0,0,0,0,0,0,0,0.604,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0.867,0,0,0.647,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0051239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0.222,0,0,0,0.232,0,0.213,0.198,0.216,0.199,0,0.222,0.189,0,0,0.293,0.273,0.227,0.188,0.394,0.27,0.376,0.182,0.203,0,0.218,0.263,0.216,0,0,0.977,0.796,0,0,0.751,0.668,0.298,0.558,0.202,0.358,0.247,0.183,0.153,0.849,0,0,0
GO:0051241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243,0,0.186,0,0,0,0.194,0,0.18,0.5,0.182,0.502,0,0.187,0.482,0,0,0.693,0.654,0.19,0.478,0.295,0.219,0.285,0.155,0.173,0,0.544,0.215,0.54,0,0,0.796,0.996,0,0,0.639,0.858,0.255,0.732,0.51,0.267,0.2,0.158,0.4,0.708,0,0,0
GO:0051641,0.082,0,0,0,0,0,0.066,0,0,0,0,0.036,0,0,0,0,0.036,0,0,0,0.034,0,0.037,0.044,0.05,0.039,0,0,0,0,0,0.048,0.053,0.054,0.024,0.039,0.033,0.04,0.034,0.04,0.643,0.32,0.453,0.041,0.027,0,0.033,0.489,0.612,0,0,0,0.032,0.029,0.032,0.03,0,0.033,0,0.835,0.385,0,0.042,0,0,0,0,0.061,0,0.03,0,0,0.04,0.032,0.663,0.647,0,0,0.949,0.872,0,0,0.029,0.022,0.03,0,0,0.027,0.022,0,0.041,0.058,0.042
GO:0051649,0.071,0,0,0,0,0,0.058,0,0,0,0,0.034,0,0,0,0,0.034,0,0,0,0.032,0,0.034,0.04,0.045,0.036,0,0,0,0,0,0.044,0.048,0.049,0.023,0.037,0.031,0.038,0.032,0.037,0.631,0.329,0.523,0.038,0.026,0,0.031,0.491,0.696,0,0,0,0.03,0.028,0.03,0.028,0,0.031,0,0.932,0.393,0,0.039,0,0,0,0,0.054,0,0.029,0,0,0.037,0.031,0.599,0.635,0,0,0.872,0.97,0,0,0.027,0.021,0.028,0,0,0.026,0.021,0,0.038,0.052,0.039
GO:0051960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0.177,0,0,0,0.184,0,0.172,0.162,0.174,0.162,0,0.178,0.156,0,0,0.221,0.209,0.65,0.558,0.273,0.745,0.264,0.148,0.165,0,0.631,0.203,0.174,0,0,0.751,0.639,0,0,0.998,0.907,0.552,0.778,0.165,0.247,0.188,0.152,0.131,0.89,0,0,0
GO:0051961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.16,0,0,0,0.166,0,0.156,0.436,0.157,0.437,0,0.161,0.422,0,0,0.576,0.549,0.587,0.769,0.235,0.663,0.228,0.135,0.15,0,0.859,0.181,0.466,0,0,0.668,0.858,0,0,0.907,0.999,0.504,0.868,0.443,0.212,0.167,0.139,0.358,0.801,0,0,0
GO:0051963,0.039,0,0,0,0,0,0.035,0,0,0,0,0.024,0,0,0,0,0.024,0,0,0,0.023,0,0.025,0.027,0.03,0.026,0,0,0,0,0,0.426,0.452,0.435,0.018,0.026,0.023,0.383,0.34,0.38,0,0,0.017,0.383,0.955,0,0.212,0,0.021,0,0.174,0,0.206,0.195,0.208,0.195,0,0.883,0.149,0.026,0,0.206,0.248,0.298,0.258,0.251,0.339,0.309,0.954,0.962,0,0.289,0.726,0.628,0,0,0.298,0.255,0.029,0.027,0.552,0.504,0.999,0.827,0.198,0.227,0.671,0.887,0.769,0.39,0.027,0.033,0.027
GO:0051964,0.028,0,0,0,0,0,0.026,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0.019,0,0.02,0.022,0.023,0.02,0,0,0,0,0,0.33,0.345,0.332,0.016,0.02,0.019,0.303,0.276,0.302,0,0,0.015,0.304,0.797,0,0.173,0,0.018,0,0.141,0,0.168,0.445,0.17,0.447,0,0.717,0.365,0.021,0,0.475,0.542,0.499,0.666,0.187,0.552,0.231,0.785,0.792,0,0.733,0.576,0.739,0,0,0.558,0.732,0.022,0.021,0.778,0.868,0.827,1,0.452,0.168,0.528,0.74,1,0.679,0.021,0.025,0.021
GO:0060548,0.042,0,0,0,0,0,0.037,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0.024,0,0.026,0.029,0.031,0.027,0,0,0,0,0,0.031,0.033,0.033,0.019,0.027,0.024,0.027,0.024,0.027,0,0,0.018,0.027,0.189,0,0.92,0,0.022,0,0.181,0,0.891,0.979,0.902,0.983,0,0.221,0.455,0.028,0,0.639,0.719,0.178,0.452,0.267,0.203,0.327,0.146,0.206,0,0.51,0.252,0.601,0,0,0.202,0.51,0.03,0.028,0.165,0.443,0.198,0.452,0.998,0.241,0.185,0.189,0.452,0.182,0.028,0.034,0.028
GO:0065007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0.272,0,0,0,0.291,0,0.258,0.233,0.263,0.235,0,0.274,0.22,0,0,0.411,0.368,0.281,0.218,0.688,0.361,0.63,0.244,0.241,0,0.267,0.347,0.264,0,0,0.358,0.267,0,0,0.247,0.212,0.227,0.168,0.241,0.716,0.376,0.211,0.168,0.292,0,0,0
GO:0065008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0,0.203,0,0,0,0.213,0,0.194,0.18,0.198,0.181,0,0.203,0.172,0,0,0.271,0.251,0.207,0.171,0.369,0.248,0.351,0.71,0.703,0,0.199,0.242,0.198,0,0,0.247,0.2,0,0,0.188,0.167,0.671,0.528,0.185,0.376,0.971,0.633,0.528,0.213,0,0,0
GO:1904396,0.036,0,0,0,0,0,0.032,0,0,0,0,0.023,0,0,0,0,0.023,0,0,0,0.022,0,0.023,0.026,0.028,0.024,0,0,0,0,0,0.401,0.423,0.407,0.018,0.024,0.022,0.362,0.323,0.359,0,0,0.017,0.362,0.999,0,0.202,0,0.02,0,0.165,0,0.196,0.186,0.198,0.187,0,0.306,0.142,0.025,0,0.194,0.234,0.162,0.141,0.234,0.183,0.287,0.911,0.918,0,0.158,0.686,0.598,0,0,0.183,0.158,0.027,0.026,0.152,0.139,0.887,0.74,0.189,0.211,0.633,0.999,0.74,0.166,0.025,0.03,0.025
GO:1905809,0.028,0,0,0,0,0,0.026,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0.019,0,0.02,0.022,0.023,0.02,0,0,0,0,0,0.33,0.345,0.332,0.016,0.02,0.019,0.303,0.276,0.302,0,0,0.015,0.304,0.74,0,0.173,0,0.018,0,0.141,0,0.168,0.445,0.17,0.447,0,0.261,0.365,0.021,0,0.475,0.542,0.138,0.363,0.187,0.153,0.231,0.785,0.792,0,0.4,0.576,0.739,0,0,0.153,0.4,0.022,0.021,0.131,0.358,0.769,1,0.452,0.168,0.528,0.74,1,0.141,0.021,0.025,0.021
GO:2000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0,0.197,0,0,0,0.205,0,0.19,0.178,0.193,0.179,0,0.197,0.171,0,0,0.252,0.236,0.723,0.611,0.322,0.843,0.31,0.163,0.182,0,0.699,0.229,0.193,0,0,0.849,0.708,0,0,0.89,0.801,0.39,0.679,0.182,0.292,0.213,0.166,0.141,0.993,0,0,0
GO:0006518,0.067,0.437,0.372,0.263,0.533,0.288,0.358,0.253,0.304,0.558,0.315,0.37,0.181,0.194,0.358,0.365,0.371,0.39,0.372,0.484,0.351,0.232,0.214,0.251,0.281,0.228,0.383,0.252,0.383,0.41,0.208,0.042,0.046,0.047,0.023,0.036,0.031,0.036,0.031,0.036,0,0,0.021,0.037,0.025,0,0.03,0,0.028,0,0,0,0.029,0.027,0.03,0.027,0.259,0.031,0,0.037,0,0,0.038,0,0,0,0,0.052,0,0.028,0,0,0.036,0.03,0,0,0,0,0.041,0.038,0,0,0.027,0.021,0.028,0,0,0.025,0.021,0,0.976,0.553,0.952
GO:0034641,0.124,0.358,0.599,0.441,0.475,0.388,0.58,0.412,0.424,0.508,0.235,0.287,0.249,0.22,0.275,0.282,0.288,0.308,0.289,0.412,0.268,0.28,0.278,0.342,0.401,0.301,0.3,0.179,0.3,0.328,0.241,0.06,0.068,0.069,0.027,0.047,0.039,0.049,0.039,0.048,0,0,0.025,0.049,0.03,0,0.039,0,0.034,0,0,0,0.037,0.033,0.037,0.034,0.185,0.039,0,0.049,0,0,0.051,0,0,0,0,0.081,0,0.034,0,0,0.048,0.037,0,0,0,0,0.058,0.052,0,0,0.033,0.025,0.034,0,0,0.03,0.025,0,0.553,0.84,0.568
GO:0043603,0.069,0.268,0.384,0.272,0.329,0.251,0.369,0.261,0.266,0.344,0.192,0.226,0.184,0.168,0.219,0.223,0.227,0.239,0.227,0.297,0.214,0.201,0.218,0.256,0.288,0.232,0.234,0.153,0.234,0.251,0.18,0.043,0.047,0.048,0.023,0.036,0.031,0.037,0.032,0.037,0,0,0.021,0.037,0.025,0,0.031,0,0.028,0,0,0,0.03,0.028,0.03,0.028,0.158,0.031,0,0.038,0,0,0.038,0,0,0,0,0.053,0,0.028,0,0,0.037,0.03,0,0,0,0,0.042,0.039,0,0,0.027,0.021,0.028,0,0,0.025,0.021,0,0.952,0.568,0.972
