category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0030855,0,1,6,6,epithelial cell differentiation,BP,0
GO:0031323,0,1,21,21,regulation of cellular metabolic process,BP,0
GO:0031324,0,1,15,15,negative regulation of cellular metabolic process,BP,0
GO:0031325,0,1,14,14,positive regulation of cellular metabolic process,BP,0
GO:0031326,0,1,16,16,regulation of cellular biosynthetic process,BP,0
GO:0031327,0,1,7,7,negative regulation of cellular biosynthetic process,BP,0
GO:0031328,0,1,11,11,positive regulation of cellular biosynthetic process,BP,0
GO:0031399,0,1,7,7,regulation of protein modification process,BP,0
GO:0031400,0,1,6,6,negative regulation of protein modification process,BP,0
GO:0032268,0,1,7,7,regulation of cellular protein metabolic process,BP,0
GO:0032501,0,1,23,23,multicellular organismal process,BP,0
GO:0032502,0,1,21,21,developmental process,BP,0
GO:0032504,0,1,8,8,multicellular organism reproduction,BP,0
GO:0032774,0,1,8,8,RNA biosynthetic process,BP,0
GO:0032879,0,1,11,11,regulation of localization,BP,0
GO:0032880,0,1,7,7,regulation of protein localization,BP,0
GO:0032940,0,1,6,6,secretion by cell,BP,0
GO:0033036,0,1,6,6,macromolecule localization,BP,0
GO:0033554,0,1,10,10,cellular response to stress,BP,0
GO:0034641,0,1,19,19,cellular nitrogen compound metabolic process,BP,0
GO:0034645,0,1,12,12,cellular macromolecule biosynthetic process,BP,0
GO:0034654,0,1,8,8,nucleobase-containing compound biosynthetic process,BP,0
GO:0035107,0,1,6,6,appendage morphogenesis,BP,0
GO:0035239,0,1,7,7,tube morphogenesis,BP,0
GO:0035295,0,1,7,7,tube development,BP,0
GO:0035556,0,1,6,6,intracellular signal transduction,BP,0
GO:0036211,0,1,10,10,protein modification process,BP,0
GO:0040008,0,1,7,7,regulation of growth,BP,0
GO:0042127,0,1,13,13,regulation of cell population proliferation,BP,0
GO:0042221,0,1,15,15,response to chemical,BP,0
GO:0042592,0,1,7,7,homeostatic process,BP,0
GO:0042981,0,1,9,9,regulation of apoptotic process,BP,0
GO:0043009,0,1,6,6,chordate embryonic development,BP,0
GO:0043067,0,1,9,9,regulation of programmed cell death,BP,0
GO:0043170,0,1,25,25,macromolecule metabolic process,BP,0
GO:0043412,0,1,11,11,macromolecule modification,BP,0
GO:0043933,0,1,7,7,protein-containing complex organization,BP,0
GO:0044085,0,1,8,8,cellular component biogenesis,BP,0
GO:0044093,0,1,7,7,positive regulation of molecular function,BP,0
GO:0044237,0,1,31,31,cellular metabolic process,BP,0
GO:0044238,0,1,28,28,primary metabolic process,BP,0
GO:0044248,0,1,8,8,cellular catabolic process,BP,0
GO:0044249,0,1,14,14,cellular biosynthetic process,BP,0
GO:0044260,0,1,23,23,cellular macromolecule metabolic process,BP,0
GO:0044271,0,1,12,12,cellular nitrogen compound biosynthetic process,BP,0
GO:0044703,0,1,8,8,multi-organism reproductive process,BP,0
GO:0045165,0,1,6,6,cell fate commitment,BP,0
GO:0045321,0,1,8,8,leukocyte activation,BP,0
GO:0045595,0,1,12,12,regulation of cell differentiation,BP,0
GO:0045597,0,1,7,7,positive regulation of cell differentiation,BP,0
GO:0045786,0,1,6,6,negative regulation of cell cycle,BP,0
GO:0045892,0,1,6,6,negative regulation of DNA-templated transcription,BP,0
GO:0045893,0,1,9,9,positive regulation of DNA-templated transcription,BP,0
GO:0045934,0,1,8,8,negative regulation of nucleobase-containing compound metabolic process,BP,0
GO:0045935,0,1,11,11,positive regulation of nucleobase-containing compound metabolic process,BP,0
GO:0045944,0,1,9,9,positive regulation of transcription by RNA polymerase II,BP,0
GO:0046483,0,1,15,15,heterocycle metabolic process,BP,0
GO:0046903,0,1,7,7,secretion,BP,0
GO:0048468,0,1,10,10,cell development,BP,0
GO:0048513,0,1,12,12,animal organ development,BP,0
GO:0048518,0,1,19,19,positive regulation of biological process,BP,0
GO:0048519,0,1,21,21,negative regulation of biological process,BP,0
GO:0048522,0,1,18,18,positive regulation of cellular process,BP,0
GO:0048523,0,1,20,20,negative regulation of cellular process,BP,0
GO:0048583,0,1,11,11,regulation of response to stimulus,BP,0
GO:0048584,0,1,6,6,positive regulation of response to stimulus,BP,0
GO:0048598,0,1,7,7,embryonic morphogenesis,BP,0
GO:0048609,0,1,8,8,multicellular organismal reproductive process,BP,0
GO:0048646,0,1,8,8,anatomical structure formation involved in morphogenesis,BP,0
GO:0048699,0,1,11,11,generation of neurons,BP,0
GO:0048731,0,1,18,18,system development,BP,0
GO:0048736,0,1,6,6,appendage development,BP,0
GO:0048856,0,1,21,21,anatomical structure development,BP,0
GO:0048869,0,1,16,16,cellular developmental process,BP,0
GO:0050767,0,1,6,6,regulation of neurogenesis,BP,0
GO:0050789,0,1,26,26,regulation of biological process,BP,0
GO:0050790,0,1,9,9,regulation of catalytic activity,BP,0
GO:0050793,0,1,13,13,regulation of developmental process,BP,0
GO:0050794,0,1,24,24,regulation of cellular process,BP,0
GO:0050896,0,1,23,23,response to stimulus,BP,0
GO:0051049,0,1,9,9,regulation of transport,BP,0
GO:0051094,0,1,9,9,positive regulation of developmental process,BP,0
GO:0051128,0,1,10,10,regulation of cellular component organization,BP,0
GO:0051171,0,1,21,21,regulation of nitrogen compound metabolic process,BP,0
GO:0051172,0,1,14,14,negative regulation of nitrogen compound metabolic process,BP,0
GO:0051173,0,1,15,15,positive regulation of nitrogen compound metabolic process,BP,0
GO:0051179,0,1,15,15,localization,BP,0
GO:0051223,0,1,6,6,regulation of protein transport,BP,0
GO:0051234,0,1,12,12,establishment of localization,BP,0
GO:0051239,0,1,13,13,regulation of multicellular organismal process,BP,0
GO:0051240,0,1,9,9,positive regulation of multicellular organismal process,BP,0
GO:0051246,0,1,8,8,regulation of protein metabolic process,BP,0
GO:0051247,0,1,7,7,positive regulation of protein metabolic process,BP,0
GO:0051248,0,1,6,6,negative regulation of protein metabolic process,BP,0
