GO,GO:0000003,GO:0000280,GO:0003006,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007276,GO:0007281,GO:0007283,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032504,GO:0034248,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044703,GO:0048137,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051301,GO:0051321,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0140013,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:2000112
GO:0043043,0,0.033,0,0.979,0.796,0.835,0.949,0.357,0.041,0.038,0.023,0,0.031,0,0.252,0.028,0.627,0.6,0.556,0.064,0.243,0.222,0.559,0.166,0.045,0.195,0.515,0,0.036,0.032,0,0.04,0.268,0.568,0,0,0,0.754,0.532,0.525,0.981,0.276,0.926,0.968,0.344,0.242,0.637,0.272,0.703,0,0.019,0,0.033,0.036,0.024,0,0,0.04,0,0.05,0.282,0.387,0.032,0.033,0.229,0,0.291,0.045,0.188,0.03,0.538,0.838,0.631,0.031,0.424
GO:0043170,0,0,0,0.386,0.288,0.308,0.288,0.466,0,0,0,0,0,0,0.526,0,0.351,0.532,0.288,0,0.589,0.509,0.474,0.329,0,0.326,0.592,0,0,0,0,0,0.303,0.287,0,0,0,0.186,0.388,0.421,0.276,0.748,0.251,0.238,0.473,0.485,0.348,0.515,0.324,0,0,0,0,0,0,0,0,0,0,0,0.306,0.377,0,0,0.533,0,0.593,0,0.307,0,0.456,0.329,0.414,0,0.309
GO:0043603,0,0.034,0,0.924,0.745,0.783,0.952,0.384,0.043,0.04,0.023,0,0.032,0,0.272,0.029,0.216,0.205,0.19,0.069,0.218,0.199,0.19,0.147,0.047,0.207,0.329,0,0.038,0.033,0,0.042,0.283,0.273,0,0,0,0.784,0.568,0.252,0.926,0.251,0.972,0.936,0.369,0.261,0.309,0.288,0.509,0,0.02,0,0.035,0.038,0.025,0,0,0.042,0,0.053,0.298,0.244,0.034,0.034,0.205,0,0.266,0.048,0.199,0.032,0.344,0.28,0.216,0.033,0.201
GO:0043604,0,0.033,0,0.966,0.785,0.824,0.918,0.363,0.042,0.039,0.023,0,0.031,0,0.257,0.028,0.636,0.603,0.563,0.065,0.208,0.191,0.561,0.142,0.045,0.198,0.314,0,0.037,0.032,0,0.04,0.271,0.575,0,0,0,0.76,0.54,0.531,0.968,0.238,0.936,0.979,0.349,0.246,0.646,0.275,0.712,0,0.019,0,0.033,0.037,0.024,0,0,0.04,0,0.051,0.285,0.235,0.033,0.033,0.196,0,0.251,0.046,0.19,0.031,0.328,0.552,0.635,0.032,0.428
GO:0044237,0,0.048,0,0.343,0.254,0.272,0.358,0.49,0.069,0.061,0.029,0,0.044,0,0.555,0.038,0.364,0.332,0.296,0.167,0.369,0.318,0.295,0.203,0.079,0.337,0.371,0,0.056,0.046,0,0.065,0.448,0.425,0,0,0,0.272,0.58,0.375,0.344,0.473,0.369,0.349,0.714,0.51,0.517,0.461,0.481,0,0.023,0,0.049,0.056,0.031,0,0,0.065,0,0.097,0.316,0.233,0.047,0.048,0.333,0,0.529,0.081,0.317,0.043,0.401,0.287,0.363,0.045,0.273
GO:0044238,0,0,0,0.322,0.238,0.255,0.253,0.502,0,0,0,0,0,0,0.571,0,0.371,0.338,0.301,0,0.376,0.323,0.3,0.205,0,0.343,0.503,0,0,0,0,0,0.317,0.3,0,0,0,0.192,0.412,0.265,0.242,0.485,0.261,0.246,0.51,0.696,0.367,0.326,0.341,0,0,0,0,0,0,0,0,0,0,0,0.32,0.314,0,0,0.338,0,0.543,0,0.428,0,0.41,0.291,0.369,0,0.192
GO:0044249,0,0.041,0,0.635,0.491,0.521,0.301,0.356,0.056,0.05,0.026,0,0.038,0,0.39,0.033,0.878,0.816,0.744,0.106,0.288,0.256,0.742,0.176,0.062,0.268,0.289,0,0.047,0.04,0,0.053,0.362,0.76,0,0,0,0.238,0.443,0.685,0.637,0.348,0.309,0.646,0.517,0.367,0.889,0.37,0.84,0,0.022,0,0.042,0.047,0.028,0,0,0.053,0,0.073,0.254,0.198,0.04,0.041,0.265,0,0.377,0.063,0.255,0.037,0.307,0.725,0.875,0.039,0.522
GO:0044260,0,0.039,0,0.739,0.58,0.613,0.281,0.318,0.051,0.047,0.025,0,0.036,0,0.344,0.032,0.26,0.402,0.223,0.091,0.434,0.389,0.369,0.274,0.057,0.246,0.436,0,0.044,0.037,0,0.049,0.333,0.32,0,0,0,0.225,0.401,0.793,0.272,0.515,0.288,0.275,0.461,0.326,0.37,0.928,0.351,0,0.021,0,0.039,0.044,0.027,0,0,0.049,0,0.066,0.234,0.307,0.038,0.039,0.403,0,0.395,0.058,0.235,0.035,0.329,0.258,0.306,0.037,0.615
GO:0044271,0,0.04,0,0.701,0.547,0.579,0.496,0.498,0.053,0.048,0.026,0,0.037,0,0.36,0.032,0.828,0.773,0.708,0.097,0.272,0.243,0.706,0.169,0.059,0.254,0.41,0,0.045,0.038,0,0.05,0.344,0.723,0,0,0,0.396,0.716,0.655,0.703,0.324,0.509,0.712,0.481,0.341,0.84,0.351,0.915,0,0.021,0,0.04,0.045,0.027,0,0,0.051,0,0.068,0.363,0.285,0.039,0.04,0.251,0,0.349,0.06,0.242,0.036,0.434,0.691,0.826,0.038,0.505
GO:0044703,0.537,0,0.515,0,0,0,0,0,0,0,0.376,0.491,0.47,0.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482,0,0.479,0.549,0,0,0,0,0,0.498,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0.439,0,0,0.391,0.494,0,0,0,0,0,0,0,0.489,0,0,0,0,0,0.464,0,0,0,0.475,0
