go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0051641,1,GO:0051641,0.949,307.6526555685888,0,cellular localization,cellular localization
GO:0051179,2,GO:0051179,0.85,307.6526555685888,7,localization,localization
GO:1901360,3,GO:1901360,0.859,307.6526555685888,0,organic cyclic compound metabolic process,organic cyclic compound metabolic process
GO:0048519,4,GO:0048519,0.956,307.6526555685888,0,negative regulation of biological process,negative regulation of biological process
GO:0070727,1,GO:0051641,0.864,307.6526555685888,0,cellular macromolecule localization,cellular localization
GO:0000003,5,GO:0000003,0.955,307.6526555685888,107,reproduction,reproduction
GO:0051716,6,GO:0051716,0.889,307.6526555685888,1,cellular response to stimulus,cellular response to stimulus
GO:0044260,7,GO:0044260,0.928,307.6526555685888,3,cellular macromolecule metabolic process,cellular macromolecule metabolic process
GO:0048856,8,GO:0048856,0.892,307.6526555685888,191,anatomical structure development,anatomical structure development
GO:0050896,6,GO:0051716,0.727,307.6526555685888,29,response to stimulus,cellular response to stimulus
GO:0009987,9,GO:0009987,0.337,307.6526555685888,0,cellular process,cellular process
GO:0080090,10,GO:0080090,0.931,307.6526555685888,3,regulation of primary metabolic process,regulation of primary metabolic process
GO:0065007,4,GO:0048519,0.411,307.6526555685888,0,biological regulation,negative regulation of biological process
GO:0008152,11,GO:0008152,0.628,307.6526555685888,82,metabolic process,metabolic process
GO:0044085,12,GO:0044085,0.964,307.6526555685888,0,cellular component biogenesis,cellular component biogenesis
GO:0051171,10,GO:0080090,0.828,307.6526555685888,3,regulation of nitrogen compound metabolic process,regulation of primary metabolic process
GO:0048609,5,GO:0000003,0.788,307.6526555685888,9,multicellular organismal reproductive process,reproduction
GO:0000278,13,GO:0000278,0.985,307.6526555685888,54,mitotic cell cycle,mitotic cell cycle
GO:0044237,11,GO:0008152,0.555,307.6526555685888,12,cellular metabolic process,metabolic process
GO:0033036,1,GO:0051641,0.515,307.6526555685888,4,macromolecule localization,cellular localization
GO:0050789,4,GO:0048519,0.451,307.6526555685888,0,regulation of biological process,negative regulation of biological process
GO:0032504,5,GO:0000003,0.839,307.6526555685888,24,multicellular organism reproduction,reproduction
GO:0019222,10,GO:0080090,0.869,307.6526555685888,1,regulation of metabolic process,regulation of primary metabolic process
GO:0022414,5,GO:0000003,0.943,307.6526555685888,11,reproductive process,reproduction
GO:0060255,10,GO:0080090,0.861,307.6526555685888,4,regulation of macromolecule metabolic process,regulation of primary metabolic process
GO:0032502,8,GO:0048856,0.83,307.6526555685888,13,developmental process,anatomical structure development
GO:0006725,11,GO:0008152,0.419,307.6526555685888,0,cellular aromatic compound metabolic process,metabolic process
GO:0048523,4,GO:0048519,0.884,307.6526555685888,0,negative regulation of cellular process,negative regulation of biological process
GO:0006139,3,GO:1901360,0.848,307.6526555685888,24,nucleobase-containing compound metabolic process,organic cyclic compound metabolic process
GO:0071704,11,GO:0008152,0.595,307.6526555685888,30,organic substance metabolic process,metabolic process
GO:0022607,12,GO:0044085,0.925,307.6526555685888,0,cellular component assembly,cellular component biogenesis
