Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
101112C14_R1_001	54.44979966207638	43.0	138.2918485618632	140	9.090909090909092	17500004.0
101112C14_R2_001	52.927511523284245	43.0	138.29212570465697	140	9.090909090909092	17500004.0
101112C4_R1_001	54.27055379004482	47.0	138.25222834754905	140	18.181818181818183	17970379.0
101112C4_R2_001	53.220119982318806	47.0	138.25366827266137	140	18.181818181818183	17970379.0
101112C9_R1_001	43.448137198221495	45.0	138.31021502817458	140	0.0	17564768.0
101112C9_R2_001	41.893008136199306	45.0	138.3230872733417	140	0.0	17564768.0
101112H14_R1_001	43.014904346383766	44.0	137.56164712837895	140	0.0	17614389.0
101112H14_R2_001	41.73292427843823	44.0	137.57430535910157	140	0.0	17614389.0
101112H4_R1_001	41.89273891315328	48.0	137.48546197898926	140	9.090909090909092	18033266.0
101112H4_R2_001	40.67630680073102	48.0	137.50276843917237	140	9.090909090909092	18033266.0
101112H9_R1_001	45.54436332219433	45.0	138.69116629941402	140	0.0	18414208.0
101112H9_R2_001	43.92114337452534	45.0	138.70323013620788	140	0.0	18414208.0
101112L14_R1_001	50.42838344394679	45.0	138.12767981425986	140	9.090909090909092	18334433.0
101112L14_R2_001	49.04760469891515	45.0	138.12987284635417	140	0.0	18334433.0
101112L4_R1_001	55.10309678950821	47.0	138.10712070463418	140	18.181818181818183	17834162.0
101112L4_R2_001	54.170402148688666	47.0	138.1081243963131	140	18.181818181818183	17834162.0
101112L9_R1_001	45.48813815905491	44.0	137.9416418835381	140	0.0	18370024.0
101112L9_R2_001	44.02328678035917	44.0	137.95351584733913	140	0.0	18370024.0
101112M14_R1_001	51.40791502329151	44.0	138.24772619494067	140	9.090909090909092	17639265.0
101112M14_R2_001	49.891552502308954	44.0	138.24787041863706	140	0.0	17639265.0
101112M4_R1_001	39.78158875913936	47.0	137.8811282502275	140	9.090909090909092	17452086.0
101112M4_R2_001	38.50404792544527	47.0	137.89929261178293	140	9.090909090909092	17452086.0
101112M9_R1_001	44.779130585031766	44.0	136.348595477107	140	0.0	18157803.0
101112M9_R2_001	43.87563978603081	44.0	136.3663927844134	140	0.0	18157803.0
123C14_R1_001	43.41225713433633	45.0	137.88751192874332	140	0.0	17205291.0
123C14_R2_001	42.58085698304821	45.0	137.89981825939475	140	0.0	17205291.0
123C4_R1_001	52.74666523282613	43.0	136.70413846772593	140	9.090909090909092	18036434.0
123C4_R2_001	51.47078526817812	43.0	136.71687746036716	140	9.090909090909092	18036434.0
