go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0044271,5,GO:0044249,0.84,307.6526555685888,0,cellular nitrogen compound biosynthetic process,cellular biosynthetic process
GO:0080090,4,GO:0051252,0.879,307.6526555685888,3,regulation of primary metabolic process,regulation of RNA metabolic process
GO:0051173,4,GO:0051252,0.708,307.6526555685888,0,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process
GO:0050794,4,GO:0051252,0.557,307.6526555685888,0,regulation of cellular process,regulation of RNA metabolic process
GO:0019222,4,GO:0051252,0.819,307.6526555685888,1,regulation of metabolic process,regulation of RNA metabolic process
GO:2001141,5,GO:0044249,0.742,307.6526555685888,0,regulation of RNA biosynthetic process,cellular biosynthetic process
GO:0051172,6,GO:0048523,0.753,307.6526555685888,0,negative regulation of nitrogen compound metabolic process,negative regulation of cellular process
GO:0019438,5,GO:0044249,0.79,307.6526555685888,0,aromatic compound biosynthetic process,cellular biosynthetic process
GO:0010556,4,GO:0051252,0.765,307.6526555685888,0,regulation of macromolecule biosynthetic process,regulation of RNA metabolic process
GO:0090304,3,GO:0046483,0.829,307.6526555685888,2,nucleic acid metabolic process,heterocycle metabolic process
GO:0051171,4,GO:0051252,0.883,307.6526555685888,3,regulation of nitrogen compound metabolic process,regulation of RNA metabolic process
GO:0050789,4,GO:0051252,0.465,307.6526555685888,0,regulation of biological process,regulation of RNA metabolic process
GO:0048518,4,GO:0051252,0.348,307.6526555685888,0,positive regulation of biological process,regulation of RNA metabolic process
GO:0044237,9,GO:0006725,0.553,307.6526555685888,12,cellular metabolic process,cellular aromatic compound metabolic process
GO:0023052,12,GO:0007165,0.879,307.6526555685888,4,signaling,signal transduction
GO:0010557,4,GO:0051252,0.599,307.6526555685888,0,positive regulation of macromolecule biosynthetic process,regulation of RNA metabolic process
GO:0009987,19,GO:0009987,0.337,307.6526555685888,0,cellular process,cellular process
GO:0009653,20,GO:0009653,0.967,307.6526555685888,31,anatomical structure morphogenesis,anatomical structure morphogenesis
GO:0009605,21,GO:0009605,0.965,307.6526555685888,5,response to external stimulus,response to external stimulus
GO:0009058,5,GO:0044249,0.878,307.6526555685888,31,biosynthetic process,cellular biosynthetic process
GO:0007275,1,GO:0032502,0.784,307.6526555685888,57,multicellular organism development,developmental process
GO:0048731,22,GO:0048731,0.965,307.6526555685888,1,system development,system development
GO:0048583,23,GO:0048583,0.981,307.6526555685888,0,regulation of response to stimulus,regulation of response to stimulus
GO:0010467,3,GO:0046483,0.303,307.6526555685888,1,gene expression,heterocycle metabolic process
GO:0009893,4,GO:0051252,0.652,307.6526555685888,0,positive regulation of metabolic process,regulation of RNA metabolic process
GO:0006807,9,GO:0006725,0.381,307.6526555685888,14,nitrogen compound metabolic process,cellular aromatic compound metabolic process
GO:0045893,4,GO:0051252,0.736,9.759254564516596,50,positive regulation of DNA-templated transcription,regulation of RNA metabolic process
GO:0033554,14,GO:0006950,0.841,9.759254564516596,1,cellular response to stress,response to stress
GO:0045892,6,GO:0048523,0.796,9.759254564516596,62,negative regulation of DNA-templated transcription,negative regulation of cellular process
GO:0042592,15,GO:0065008,0.83,9.759254564516596,1,homeostatic process,regulation of biological quality
GO:0010941,24,GO:0010941,0.995,9.759254564516596,1,regulation of cell death,regulation of cell death
GO:0051254,4,GO:0051252,0.751,9.759254564516596,0,positive regulation of RNA metabolic process,regulation of RNA metabolic process
GO:0050793,1,GO:0032502,0.612,9.759254564516596,4,regulation of developmental process,developmental process
GO:0009725,14,GO:0006950,0.299,9.759254564516596,1,response to hormone,response to stress
GO:1902680,4,GO:0051252,0.736,9.759254564516596,0,positive regulation of RNA biosynthetic process,regulation of RNA metabolic process
GO:0009888,25,GO:0009888,0.993,9.759254564516596,30,tissue development,tissue development
GO:0018130,5,GO:0044249,0.792,9.759254564516596,0,heterocycle biosynthetic process,cellular biosynthetic process
GO:0009719,14,GO:0006950,0.355,9.759254564516596,0,response to endogenous stimulus,response to stress
GO:0010629,6,GO:0048523,0.743,9.759254564516596,66,negative regulation of gene expression,negative regulation of cellular process
GO:0006996,17,GO:0016043,0.801,9.759254564516596,11,organelle organization,cellular component organization
GO:0010628,4,GO:0051252,0.541,9.759254564516596,104,positive regulation of gene expression,regulation of RNA metabolic process
GO:0009966,12,GO:0007165,0.649,9.759254564516596,14,regulation of signal transduction,signal transduction
GO:1903508,4,GO:0051252,0.736,9.759254564516596,0,positive regulation of nucleic acid-templated transcription,regulation of RNA metabolic process
GO:0034654,5,GO:0044249,0.786,9.759254564516596,1,nucleobase-containing compound biosynthetic process,cellular biosynthetic process
GO:0060548,24,GO:0010941,0.92,9.759254564516596,2,negative regulation of cell death,regulation of cell death
GO:0023051,12,GO:0007165,0.631,9.759254564516596,2,regulation of signaling,signal transduction
GO:0010646,13,GO:0007154,0.64,9.759254564516596,1,regulation of cell communication,cell communication
GO:0000122,6,GO:0048523,0.759,9.759254564516596,128,negative regulation of transcription by RNA polymerase II,negative regulation of cellular process
GO:0006357,5,GO:0044249,0.676,9.759254564516596,643,regulation of transcription by RNA polymerase II,cellular biosynthetic process
GO:0045935,4,GO:0051252,0.746,9.759254564516596,0,positive regulation of nucleobase-containing compound metabolic process,regulation of RNA metabolic process
GO:0051093,1,GO:0032502,0.468,9.759254564516596,3,negative regulation of developmental process,developmental process
GO:0045934,6,GO:0048523,0.815,9.759254564516596,0,negative regulation of nucleobase-containing compound metabolic process,negative regulation of cellular process
GO:0032774,5,GO:0044249,0.757,9.759254564516596,0,RNA biosynthetic process,cellular biosynthetic process
GO:0009890,6,GO:0048523,0.704,9.759254564516596,1,negative regulation of biosynthetic process,negative regulation of cellular process
GO:1903507,6,GO:0048523,0.796,9.759254564516596,0,negative regulation of nucleic acid-templated transcription,negative regulation of cellular process
GO:0031327,6,GO:0048523,0.834,9.759254564516596,0,negative regulation of cellular biosynthetic process,negative regulation of cellular process
GO:0097659,5,GO:0044249,0.757,9.759254564516596,0,nucleic acid-templated transcription,cellular biosynthetic process
GO:0006351,5,GO:0044249,0.756,9.759254564516596,38,DNA-templated transcription,cellular biosynthetic process
GO:0051179,26,GO:0051179,0.85,9.759254564516596,7,localization,localization
GO:0030154,1,GO:0032502,0.697,9.759254564516596,305,cell differentiation,developmental process
GO:2000113,11,GO:2000112,0.924,9.759254564516596,0,negative regulation of cellular macromolecule biosynthetic process,regulation of cellular macromolecule biosynthetic process
GO:0009790,1,GO:0032502,0.595,9.759254564516596,62,embryo development,developmental process
GO:0051253,6,GO:0048523,0.803,9.759254564516596,0,negative regulation of RNA metabolic process,negative regulation of cellular process
