category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0010646,1.9093027103132832e-10,1,4,4,regulation of cell communication,BP,1.590546240879625e-9
GO:0023051,1.9093027103132832e-10,1,4,4,regulation of signaling,BP,1.590546240879625e-9
GO:0048583,2.0671161638732823e-10,1,4,4,regulation of response to stimulus,BP,1.7075421757037284e-9
GO:0009628,2.581387366304019e-10,1,4,4,response to abiotic stimulus,BP,2.0799211320302055e-9
GO:0009892,2.799224529082427e-10,1,4,4,negative regulation of metabolic process,BP,2.183839454038116e-9
GO:0010605,2.799224529082427e-10,1,4,4,negative regulation of macromolecule metabolic process,BP,2.183839454038116e-9
GO:0031324,2.799224529082427e-10,1,4,4,negative regulation of cellular metabolic process,BP,2.183839454038116e-9
GO:0051172,2.799224529082427e-10,1,4,4,negative regulation of nitrogen compound metabolic process,BP,2.183839454038116e-9
GO:0007059,1.3954620424973962e-8,1,3,3,chromosome segregation,BP,1.0198661568684753e-7
GO:0009719,1.4044363358109562e-8,1,3,3,response to endogenous stimulus,BP,1.0198661568684753e-7
GO:0043933,1.4055107265952975e-8,1,3,3,protein-containing complex organization,BP,1.0198661568684753e-7
GO:0065003,1.4055107265952975e-8,1,3,3,protein-containing complex assembly,BP,1.0198661568684753e-7
GO:0009059,1.7289145173614103e-8,1,3,3,macromolecule biosynthetic process,BP,1.2053354401179194e-7
GO:0034645,1.7289145173614103e-8,1,3,3,cellular macromolecule biosynthetic process,BP,1.2053354401179194e-7
GO:0007346,2.411516535305085e-8,1,3,3,regulation of mitotic cell cycle,BP,1.6505552632531875e-7
GO:0044770,2.4259757712112453e-8,1,3,3,cell cycle phase transition,BP,1.6505552632531875e-7
GO:0044772,2.4259757712112453e-8,1,3,3,mitotic cell cycle phase transition,BP,1.6505552632531875e-7
GO:0033365,2.434694945795648e-8,1,3,3,protein localization to organelle,BP,1.6505552632531875e-7
GO:0006259,2.485624750172581e-8,1,3,3,DNA metabolic process,BP,1.6621558703535015e-7
GO:0010033,2.7771371830856812e-8,1,3,3,response to organic substance,BP,1.7434943974624823e-7
GO:0042221,2.7771371830856812e-8,1,3,3,response to chemical,BP,1.7434943974624823e-7
GO:0006886,2.8198875561121247e-8,1,3,3,intracellular protein transport,BP,1.7434943974624823e-7
GO:0015031,2.8198875561121247e-8,1,3,3,protein transport,BP,1.7434943974624823e-7
GO:0015833,2.8198875561121247e-8,1,3,3,peptide transport,BP,1.7434943974624823e-7
GO:0042886,2.8198875561121247e-8,1,3,3,amide transport,BP,1.7434943974624823e-7
GO:0045184,2.8198875561121247e-8,1,3,3,establishment of protein localization,BP,1.7434943974624823e-7
GO:0071702,2.8198875561121247e-8,1,3,3,organic substance transport,BP,1.7434943974624823e-7
GO:0071705,2.8198875561121247e-8,1,3,3,nitrogen compound transport,BP,1.7434943974624823e-7
GO:0006325,2.8200977537796003e-8,1,3,3,chromatin organization,BP,1.7434943974624823e-7
GO:0006338,2.8200977537796003e-8,1,3,3,chromatin remodeling,BP,1.7434943974624823e-7
GO:0006950,3.263133169132483e-8,1,3,3,response to stress,BP,2.0047874407857692e-7
GO:0007154,3.702850772811505e-8,1,3,3,cell communication,BP,2.2060013998022483e-7
GO:0007165,3.702850772811505e-8,1,3,3,signal transduction,BP,2.2060013998022483e-7
GO:0023052,3.702850772811505e-8,1,3,3,signaling,BP,2.2060013998022483e-7
GO:0030030,3.9563791139601266e-8,1,3,3,cell projection organization,BP,2.2942247450423257e-7
GO:0030031,3.9563791139601266e-8,1,3,3,cell projection assembly,BP,2.2942247450423257e-7
GO:0120031,3.9563791139601266e-8,1,3,3,plasma membrane bounded cell projection assembly,BP,2.2942247450423257e-7
GO:0120036,3.9563791139601266e-8,1,3,3,plasma membrane bounded cell projection organization,BP,2.2942247450423257e-7
GO:0010467,4.014309828558291e-8,1,3,3,gene expression,BP,2.2942247450423257e-7
GO:0016070,4.014309828558291e-8,1,3,3,RNA metabolic process,BP,2.2942247450423257e-7
GO:0007283,4.160846598719942e-8,1,3,3,spermatogenesis,BP,2.3506391991618982e-7
GO:0048232,4.160846598719942e-8,1,3,3,male gamete generation,BP,2.3506391991618982e-7
GO:0006355,4.361459075980774e-8,1,3,3,regulation of DNA-templated transcription,BP,2.4222114529316957e-7
GO:1903506,4.361459075980774e-8,1,3,3,regulation of nucleic acid-templated transcription,BP,2.4222114529316957e-7
GO:2001141,4.361459075980774e-8,1,3,3,regulation of RNA biosynthetic process,BP,2.4222114529316957e-7
GO:0007281,4.5361212327432755e-8,1,3,3,germ cell development,BP,2.463025175206041e-7
GO:0048468,4.5361212327432755e-8,1,3,3,cell development,BP,2.463025175206041e-7
GO:0051321,4.560229724186159e-8,1,3,3,meiotic cell cycle,BP,2.463025175206041e-7
GO:0140013,4.560229724186159e-8,1,3,3,meiotic nuclear division,BP,2.463025175206041e-7
GO:1903046,4.560229724186159e-8,1,3,3,meiotic cell cycle process,BP,2.463025175206041e-7
GO:0009792,4.615464328151605e-8,1,3,3,embryo development ending in birth or egg hatching,BP,2.4792357565972835e-7
GO:0051239,4.917704659606788e-8,1,3,3,regulation of multicellular organismal process,BP,2.613029016428904e-7
GO:0009966,5.067004120655469e-8,1,3,3,regulation of signal transduction,BP,2.6723520415626145e-7
GO:0002376,5.2284810985179105e-8,1,3,3,immune system process,BP,2.676873395751618e-7
GO:0048522,5.838143671291299e-8,1,3,3,positive regulation of cellular process,BP,2.9430231942971006e-7
GO:0007610,5.934836420857765e-8,1,3,3,behavior,BP,2.976502143726114e-7
GO:0032268,6.279173375797288e-8,1,3,3,regulation of cellular protein metabolic process,BP,3.1173875901054213e-7
GO:0051246,6.279173375797288e-8,1,3,3,regulation of protein metabolic process,BP,3.1173875901054213e-7
GO:0003008,6.65612837779523e-8,1,3,3,system process,BP,3.271487097686356e-7
GO:0050877,6.65612837779523e-8,1,3,3,nervous system process,BP,3.271487097686356e-7
GO:0007292,6.707283592451751e-8,1,3,3,female gamete generation,BP,3.2802287419801353e-7
GO:0036211,7.086530769426561e-8,1,3,3,protein modification process,BP,3.3720197327840653e-7
GO:0043412,7.086530769426561e-8,1,3,3,macromolecule modification,BP,3.3720197327840653e-7
GO:0010629,7.802679413587877e-8,1,3,3,negative regulation of gene expression,BP,3.6875162805561935e-7
GO:0007017,7.901901399071731e-8,1,3,3,microtubule-based process,BP,3.716540227410292e-7
GO:0071495,6.026958825852371e-6,1,2,2,cellular response to endogenous stimulus,BP,2.7037209160171556e-5
GO:0098813,6.026958825852371e-6,1,2,2,nuclear chromosome segregation,BP,2.7037209160171556e-5
GO:0006260,6.183882788970517e-6,1,2,2,DNA replication,BP,2.7037209160171556e-5
GO:0006334,6.188577885085046e-6,1,2,2,nucleosome assembly,BP,2.7037209160171556e-5
GO:0034728,6.188577885085046e-6,1,2,2,nucleosome organization,BP,2.7037209160171556e-5
GO:0043486,6.188577885085046e-6,1,2,2,histone exchange,BP,2.7037209160171556e-5
GO:0065004,6.188577885085046e-6,1,2,2,protein-DNA complex assembly,BP,2.7037209160171556e-5
GO:0071103,6.188577885085046e-6,1,2,2,DNA conformation change,BP,2.7037209160171556e-5
GO:0071824,6.188577885085046e-6,1,2,2,protein-DNA complex subunit organization,BP,2.7037209160171556e-5
GO:0006508,9.982141770273706e-6,1,2,2,proteolysis,BP,4.243205383188303e-5
GO:0006606,1.029152965401179e-5,1,2,2,protein import into nucleus,BP,4.243205383188303e-5
GO:0006913,1.029152965401179e-5,1,2,2,nucleocytoplasmic transport,BP,4.243205383188303e-5
GO:0007286,1.029152965401179e-5,1,2,2,spermatid development,BP,4.243205383188303e-5
GO:0017038,1.029152965401179e-5,1,2,2,protein import,BP,4.243205383188303e-5
GO:0034504,1.029152965401179e-5,1,2,2,protein localization to nucleus,BP,4.243205383188303e-5
GO:0048515,1.029152965401179e-5,1,2,2,spermatid differentiation,BP,4.243205383188303e-5
GO:0051169,1.029152965401179e-5,1,2,2,nuclear transport,BP,4.243205383188303e-5
GO:0051170,1.029152965401179e-5,1,2,2,import into nucleus,BP,4.243205383188303e-5
GO:0072594,1.029152965401179e-5,1,2,2,establishment of protein localization to organelle,BP,4.243205383188303e-5
GO:0007127,1.035373867976685e-5,1,2,2,meiosis I,BP,4.243205383188303e-5
GO:0061982,1.035373867976685e-5,1,2,2,meiosis I cell cycle process,BP,4.243205383188303e-5
GO:0006357,1.0359809684284769e-5,1,2,2,regulation of transcription by RNA polymerase II,BP,4.243205383188303e-5
GO:0008283,1.0410711114072406e-5,1,2,2,cell population proliferation,BP,4.246360591341566e-5
GO:0016192,1.1701333574242227e-5,1,2,2,vesicle-mediated transport,BP,4.600964361392044e-5
GO:1901700,1.1773529422322824e-5,1,2,2,response to oxygen-containing compound,BP,4.608017006028539e-5
GO:0007548,1.181302426774356e-5,1,2,2,sex differentiation,BP,4.608017006028539e-5
GO:0010564,1.211959048102967e-5,1,2,2,regulation of cell cycle process,BP,4.690376946004789e-5
GO:0051640,1.211959048102967e-5,1,2,2,organelle localization,BP,4.690376946004789e-5
GO:0044782,1.2386419535483835e-5,1,2,2,cilium organization,BP,4.756191563820551e-5
GO:0060271,1.2386419535483835e-5,1,2,2,cilium assembly,BP,4.756191563820551e-5
GO:0051056,1.3449455123267882e-5,1,2,2,regulation of small GTPase mediated signal transduction,BP,5.026925622118756e-5
GO:1902531,1.3449455123267882e-5,1,2,2,regulation of intracellular signal transduction,BP,5.026925622118756e-5
GO:0022613,1.3624719410896925e-5,1,2,2,ribonucleoprotein complex biogenesis,BP,5.0539996909100665e-5
GO:0042254,1.3624719410896925e-5,1,2,2,ribosome biogenesis,BP,5.0539996909100665e-5
GO:0040011,1.3701799551053935e-5,1,2,2,locomotion,BP,5.0545837674692786e-5
GO:0010941,1.3847630892424704e-5,1,2,2,regulation of cell death,BP,5.0545837674692786e-5
GO:0042981,1.3847630892424704e-5,1,2,2,regulation of apoptotic process,BP,5.0545837674692786e-5
