gene_id,baseMean_LRT,stat_LRT,pvalue_LRT,padj_LRT,lfc_high,se_high,pval_high,padj_high,lfc_mid,se_mid,pval_mid,padj_mid,lfc_low,se_low,pval_low,padj_low
Montipora_capitata_HIv3___RNAseq.g11828.t1,3215.7920425718535,24.459531731500533,2.0027211377573478e-5,0.03356560626881315,-0.7135214472584018,0.45545877470898943,0.11720835609999468,0.9609940624452135,1.7982814529812996,0.4540193020667697,7.469783840765417e-5,0.25245379453840183,0.12224084726399093,0.4623128762594001,0.7914628407450136,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g44004.t1,3510.326510421748,19.448945696874944,2.2076032520953743e-4,0.09685270831980783,1.1092620480847761,0.3052552092856693,2.7918632477979367e-4,0.47976337798303265,0.12846731969041666,0.3053575076652704,0.6739659907634268,0.9999242301304814,-0.11519538757388317,0.31042982618103765,0.7105753373432088,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g19903.t1,2616.0455291573194,22.205369052626224,5.91174273279646e-5,0.05944848492100121,-0.7316926394452195,0.43487593574073746,0.0924657422746185,0.9609940624452135,1.452479165009998,0.4338660780451956,8.146775727146848e-4,0.9999242301304814,0.15579955582009944,0.4415527265917758,0.7242048425731934,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g22595.t1,6561.299973333525,22.59468242965022,4.9051523935769765e-5,0.05944848492100121,0.8326199294977943,0.2209450604914408,1.6426581953728192e-4,0.47976337798303265,0.025399750351951515,0.22099750336494203,0.9084987866314492,0.9999242301304814,-0.05986634057183813,0.2246471108208352,0.789861407390338,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g22906.t1,982.8342583509923,19.352421495752083,2.311520484959614e-4,0.09685270831980783,0.7245343305148876,0.20480772784438808,4.0373263355274284e-4,0.5116806464489074,-0.047085498982447536,0.20510054926143212,0.8184237766397161,0.9999242301304814,0.05272834527517959,0.20841045063214414,0.8002663545855404,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g28322.t1,6653.431882349045,19.7023875316047,1.9563540111360885e-4,0.09685270831980783,0.9899559972603814,0.2873987720124428,5.720361777195526e-4,0.5533886354722418,0.0032313918545065507,0.2874496583359998,0.991030696010269,0.9999242301304814,-0.16391317886548426,0.2922026147036823,0.5748266720273904,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g29121.t1,1701.5908163916938,20.971981675589745,1.0669612231755528e-4,0.06705851287658349,1.0927043717406821,0.2900507054898828,1.6503096818595243e-4,0.47976337798303265,0.024344329491698118,0.2903287685365868,0.9331749755195599,0.9999242301304814,0.03666399278817622,0.2950956833114533,0.9011217505431185,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g47569.t1,8892.715135129209,27.92265252851712,3.7703725908942934e-6,0.017512894556768868,-0.7543380429037798,0.4847108958502116,0.11964536483786005,0.9609940624452135,2.138753393767302,0.48404868383266014,9.94032089405984e-6,0.05039245677243636,-0.01476765592126515,0.49246049127544567,0.9760770272005348,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g39019.t1,6754.114806913796,26.651367837499947,6.966147397282763e-6,0.017512894556768868,-0.5213479705069974,0.5110259203729126,0.3076342425230238,0.9609940624452135,2.4384382130581446,0.5102111620876313,1.75930551977364e-6,0.017837598664984935,0.33723553786925253,0.519077050480716,0.515897004092638,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g35661.t1,1938.932514907939,21.518667416601602,8.214129181145999e-5,0.06705851287658349,-0.4508117591023878,0.39171504145388913,0.24978711913998555,0.9609940624452135,1.4050965983006571,0.39039319621096924,3.1921836400912896e-4,0.5285840912067433,0.004181841912638123,0.3978337402214172,0.9916131657116134,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g36979.t1,1824.440657431863,21.0637153601067,1.0211681726358658e-4,0.06705851287658349,1.2091434460974713,0.3277899263702167,2.2533594782220195e-4,0.47976337798303265,0.04322137085453162,0.32798614703226,0.8951598584011349,0.9999242301304814,-0.12176605477039448,0.3334368484612443,0.7149734952414711,0.9998899410011653
Montipora_capitata_HIv3___RNAseq.g15509.t1,1399.6808808578123,20.193413000366377,1.5477436695054557e-4,0.08646727966970479,1.0746517364872248,0.31317790996116224,6.003821866253732e-4,0.5533886354722418,0.0031309223720322197,0.3134160970607685,0.9920295316784208,0.9999242301304814,-0.21689909319337786,0.3186619653882014,0.4960893535257609,0.9998899410011653
