Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
101112C14_hisat	71.37
101112C4_hisat	36.13
101112C9_hisat	63.45
101112H14_hisat	65.83
101112H4_hisat	29.49
101112H9_hisat	60.27
101112L14_hisat	72.65
101112L4_hisat	33.33
101112L9_hisat	69.17
101112M14_hisat	70.65
101112M4_hisat	40.87
101112M9_hisat	72.36
123C14_hisat	62.95
123C4_hisat	67.04
123C9_hisat	74.56
123H14_hisat	83.15
123H4_hisat	35.51
123H9_hisat	53.7
123L14_hisat	81.48
123L4_hisat	32.74
123L9_hisat	57.09
123M4_hisat	62.04
123M9_hisat	44.48
131415C14_hisat	66.79
131415C4_hisat	47.74
131415C9_hisat	61.92
131415H14_hisat	66.43
131415H4_hisat	27.42
131415H9_hisat	58.45
131415L14_hisat	70.34
131415L4_hisat	0.2
131415L9_hisat	61.75
131415M14_hisat	76.74
131415M4_hisat	44.04
131415M9_hisat	58.08
13M14_hisat	64.14
456C4_hisat	24.56
456H4_hisat	37.45
456H9_hisat	47.55
456L14_hisat	66.33
456L4_hisat	24.75
456L9_hisat	67.15
456M14_hisat	63.02
456M4_hisat	37.97
456M9_hisat	56.42
45C14_hisat	29.33
45C9_hisat	66.12
45H14_hisat	45.55
67C9_hisat	44.94
6C14_hisat	51.4
789C4_hisat	8.89
789H14_hisat	71.88
789H4_hisat	47.6
789H9_hisat	70.18
789L14_hisat	76.39
789L4_hisat	28.07
789L9_hisat	67.45
789M14_hisat	71.15
789M4_hisat	43.86
7C14_hisat	63.75
89C14_hisat	76.24
89C9_hisat	68.23
89M9_hisat	53.7
