"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___TS.g26493.t2a",164.366804395959,-3.69672687620727,1.32539128101951,69.2006038011036,5.96347927335094e-13,7.49311170696546e-09
"Montipora_capitata_HIv3___RNAseq.g5198.t1",153.191895057319,2.723100343136,0.767241542118794,27.5624261752009,0.000113571297654826,0.0377570346648233
"Montipora_capitata_HIv3___TS.g28558.t3a",589.690662899895,-0.210380366351501,0.228698196191596,32.9091615247731,1.09163733668473e-05,0.00508015671683097
"Montipora_capitata_HIv3___RNAseq.g6929.t1",836.173003762134,-0.841749419218425,0.20608068242709,29.2036959600886,5.56673546272108e-05,0.0218581347153407
"Montipora_capitata_HIv3___RNAseq.g7017.t1",44.6198883576997,-1.02993923538781,0.962492735996638,48.3995662273405,9.83138491639375e-09,2.47062702948975e-05
"Montipora_capitata_HIv3___TS.g42133.t1",605.876856331397,5.58577143649875,1.47300775291473,37.5737217878159,1.36082295191551e-06,0.00113991602605456
"Montipora_capitata_HIv3___RNAseq.g10964.t1",2392.56717705494,1.56867164360131,1.30944634377827,36.6120460101791,2.09562948973118e-06,0.00131657922692361
"Montipora_capitata_HIv3___RNAseq.g10966.t1",2533.90000574731,1.77884002240356,1.3006006686895,38.8393165416132,7.695854297468e-07,0.000743833917289888
"Montipora_capitata_HIv3___RNAseq.g10968.t1",2294.01314899394,1.49106811521868,1.30857074203032,37.0274923547573,1.73929211761603e-06,0.00127768915132545
"Montipora_capitata_HIv3___RNAseq.g11051.t1",1996.94719187419,1.56667894270416,1.27165794495935,37.391479710941,1.47698487691192e-06,0.0011598946861499
"Montipora_capitata_HIv3___RNAseq.g11053.t1",2109.96518296803,1.61207773123694,1.30090496921131,39.7420569089958,5.1188871800283e-07,0.000551148484299641
"Montipora_capitata_HIv3___RNAseq.g11129.t1",31.1865634583676,6.2732624933826,1.20959063601248,36.8270671556136,1.90297884749724e-06,0.00127768915132545
"Montipora_capitata_HIv3___RNAseq.g11828.t1",3196.32750248385,0.974538405056958,1.00382144633918,27.0707966824558,0.000140451306208534,0.0430431868904934
"Montipora_capitata_HIv3___TS.g8038.t2",711.895237206984,3.90232576075061,1.55084417951657,42.4281710232922,1.51337239133768e-07,0.000211283601079533
"Montipora_capitata_HIv3___RNAseq.g25096.t1",35.58883005436,5.42314306222518,1.345876994249,27.870696017604,9.93798981818516e-05,0.0356773834472847
"Montipora_capitata_HIv3___TS.g9507.t1",51.5402607664659,-2.95564399531841,0.762652774319156,31.5327396671656,2.00513144911176e-05,0.008998027377889
"Montipora_capitata_HIv3___TS.g9699.t2",96.5599753072669,-0.0500161183548926,0.610067109047046,34.8654761380225,4.57597981139042e-06,0.00244323301281629
"Montipora_capitata_HIv3___RNAseq.g40764.t1",117.99151564869,0.579854940936798,0.627004197218125,53.7136028586925,8.42618782155257e-10,2.6468762494452e-06
"Montipora_capitata_HIv3___TS.g48661.t1",176.18284652168,-1.05694866500666,0.455649709125915,40.6687588024878,3.36491722900137e-07,0.000422801849824022
"Montipora_capitata_HIv3___TS.g50653.t2",93.410675881291,-3.20249604322508,0.821267944653398,27.549916988466,0.000114187609810051,0.0377570346648233
"Montipora_capitata_HIv3___TS.g50862.t1",803.908417926983,-0.065693784786156,1.30773012079774,28.0021360611438,9.38757514712318e-05,0.0346926122716479
"Montipora_capitata_HIv3___RNAseq.g15050.t1",2429.50842052207,1.44702677979771,1.51074741414002,34.8214280270541,4.66674033486598e-06,0.00244323301281629
"Montipora_capitata_HIv3___RNAseq.g15087.t1",2969.17170911463,2.41809593051764,1.44823357921862,56.9433660378987,1.87579239695496e-10,1.0839712819934e-06
"Montipora_capitata_HIv3___TS.g45793.t1b",95.2026191577959,-0.218709942161865,0.564899851780051,56.252495422304,2.58807309668143e-10,1.0839712819934e-06
"Montipora_capitata_HIv3___RNAseq.g45264.t1",957.082820453719,2.794550641622,1.52143721285359,27.303851385931,0.000127005264064417,0.0409184908453691
"Montipora_capitata_HIv3___RNAseq.g20279.t1",151.324927791196,-5.80452098549512,1.30065816277352,46.900721452707,1.95841235564526e-08,4.10124187478045e-05
"Montipora_capitata_HIv3___RNAseq.g20824.t1a",133.631089292912,1.31802044088994,0.6984567497264,37.7532162821199,1.25529463540335e-06,0.00112662693527451
"Montipora_capitata_HIv3___RNAseq.g21373.t1",61.2849858161482,4.29046224980601,0.963674516300734,44.0751296669451,7.14278981861288e-08,0.000112186442588589
"Montipora_capitata_HIv3___RNAseq.g21376.t1",56.8349526188214,3.29029428293242,0.992335478302901,26.9538498176778,0.000147718809488716,0.0441925438387075
"Montipora_capitata_HIv3___RNAseq.g28195.t1",63.7622947914806,1.86062742032726,0.591574997975361,26.67214820624,0.000166784266646022,0.0476282797819833
"Montipora_capitata_HIv3___RNAseq.g30158.t1",3095.83874908619,0.189521632298728,0.870190601068836,29.557055826986,4.77101490045396e-05,0.0193380007174852
"Montipora_capitata_HIv3___TS.g15697.t1",60.9572088149124,-0.235610385262532,0.680593044959622,39.6803787362329,5.26365444615654e-07,0.000551148484299641
"Montipora_capitata_HIv3___RNAseq.g33315.t1",5769.8964411513,1.59012758993565,1.36548225564992,44.1976448160735,6.75408087699348e-08,0.000112186442588589
"Montipora_capitata_HIv3___RNAseq.g47569.t1",8848.92873364285,0.59629953007651,1.02767213579244,34.4476072328969,5.51252940740212e-06,0.00277059728016031
"Montipora_capitata_HIv3___RNAseq.g49676.t1",64.934372666008,3.93871549003062,1.06789180235758,29.7746735684213,4.3381164105189e-05,0.0181694775660567
"Montipora_capitata_HIv3___RNAseq.g49798.t1",1938.33691601661,-0.0774511240006912,1.04060196616783,27.2150646609839,0.000131970866757407,0.0414553485201705
"Montipora_capitata_HIv3___RNAseq.g39019.t1",6712.10141165226,0.424759502262557,1.07656021369491,31.2913468051407,2.23001458293446e-05,0.00966211490847294
"Montipora_capitata_HIv3___RNAseq.g39262.t1",65.1204949666541,0.505121787701438,0.460930330521438,35.9046686854643,2.87675642239195e-06,0.00172125925939785
"Montipora_capitata_HIv3___RNAseq.g39743.t1",72.6538046679283,-0.204256911096655,0.897576255726744,28.5441747429763,7.41884105901925e-05,0.0282477993656294
"Montipora_capitata_HIv3___RNAseq.g15918.t2",81.9700340743802,0.745069354221068,0.820891925860121,26.7878605902337,0.000158675508742997,0.046366459705948
"Montipora_capitata_HIv3___RNAseq.g18178.t1",79.4910092257589,-0.0581421833883404,0.785050596920585,35.1925829126855,3.95461702084462e-06,0.00225862558485967
"Montipora_capitata_HIv3___RNAseq.g35580.t1",3967.36224822694,0.637042523952259,0.94630337061635,33.4333915084155,8.6526306183297e-06,0.00418155014305049
"Montipora_capitata_HIv3___RNAseq.g7741.t1",2809.97516157454,0.698997012367577,1.00141281487359,27.5888873689607,0.00011227839544886,0.0377570346648233
"Montipora_capitata_HIv3___RNAseq.g12501.t1",33.2495166283178,-2.01251260776171,0.858585517152245,36.7932813572431,1.93204089734847e-06,0.00127768915132545
