"","Df","SumOfSqs","R2","F","Pr(>F)"
"leachate",3,10973.5131493646,0.0233118058678687,1.07567054853204,0.344
"stage",2,276605.732181728,0.587613013516412,40.6711099189215,0.001
"leachate:stage",6,16523.0596167671,0.0351010977875939,0.809830377905209,0.688
"Residual",49,166625.411796287,0.353974082828125,NA,NA
"Total",60,470727.716744146,1,NA,NA
