PC1,PC2,group,name,sample_id,collection_date,parents,group.1,hpf,stage,leachate,leachate_mgL,spawn_night,sizeFactor,label
5.393350498666322,13.224232723382304,C9,45C9,45C9,2024-07-07,45,C9,9,prawnchip,control,0,July_7th,1.324316069536358,"sample: 45C9
Hpf: 9
Leachate: control"
3.9211468547237907,-15.171952442847687,H14,45H14,45H14,2024-07-07,45,H14,14,earlygastrula,high,1,July_7th,0.7549172181713857,"sample: 45H14
Hpf: 14
Leachate: high"
15.534211656064468,13.47375781154735,C9,67C9,67C9,2024-07-07,67,C9,9,prawnchip,control,0,July_7th,1.069018010573268,"sample: 67C9
Hpf: 9
Leachate: control"
-34.239689866100825,0.16090073412153802,C14,6C14,6C14,2024-07-07,6,C14,14,earlygastrula,control,0,July_7th,1.0197573818483934,"sample: 6C14
Hpf: 14
Leachate: control"
-44.86008586778357,-6.121273616445735,H14,789H14,789H14,2024-07-07,789,H14,14,earlygastrula,high,1,July_7th,1.3514628188262183,"sample: 789H14
Hpf: 14
Leachate: high"
35.874354994938685,-14.041335745752683,H4,789H4,789H4,2024-07-07,789,H4,4,cleavage,high,1,July_7th,0.738432710697144,"sample: 789H4
Hpf: 4
Leachate: high"
12.790923122991664,17.504531499822576,H9,789H9,789H9,2024-07-07,789,H9,9,prawnchip,high,1,July_7th,1.7114133324739438,"sample: 789H9
Hpf: 9
Leachate: high"
-39.33002816913221,-4.462991388832639,L14,789L14,789L14,2024-07-07,789,L14,14,earlygastrula,low,0.01,July_7th,1.5108739534665594,"sample: 789L14
Hpf: 14
Leachate: low"
32.438502647486324,-4.339564775398061,L4,789L4,789L4,2024-07-07,789,L4,4,cleavage,low,0.01,July_7th,0.4821870968162519,"sample: 789L4
Hpf: 4
Leachate: low"
10.631145646516133,16.946047748995923,L9,789L9,789L9,2024-07-07,789,L9,9,prawnchip,low,0.01,July_7th,1.580032994797679,"sample: 789L9
Hpf: 9
Leachate: low"
-38.433576314299344,-4.132535692476036,M14,789M14,789M14,2024-07-07,789,M14,14,earlygastrula,mid,0.1,July_7th,1.6504699973425032,"sample: 789M14
Hpf: 14
Leachate: mid"
35.20827750750217,-11.803754931523088,M4,789M4,789M4,2024-07-07,789,M4,4,cleavage,mid,0.1,July_7th,0.7305823144162084,"sample: 789M4
Hpf: 4
Leachate: mid"
-18.86765767293375,8.754824103631574,C14,7C14,7C14,2024-07-07,7,C14,14,earlygastrula,control,0,July_7th,1.364344000731249,"sample: 7C14
Hpf: 14
Leachate: control"
-34.91474672916416,0.8191430713690259,C14,89C14,89C14,2024-07-07,89,C14,14,earlygastrula,control,0,July_7th,2.0011661262732057,"sample: 89C14
Hpf: 14
Leachate: control"
6.654822208778771,9.135864857108457,C9,89C9,89C9,2024-07-07,89,C9,9,prawnchip,control,0,July_7th,1.4011623955321637,"sample: 89C9
Hpf: 9
Leachate: control"
13.159300320436877,9.007585248250036,M9,89M9,89M9,2024-07-07,89,M9,9,prawnchip,mid,0.1,July_7th,1.0489056985685414,"sample: 89M9
Hpf: 9
Leachate: mid"
