gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g1190.t1,2574.9073166921207,1.3396525352276116,0.32451649100948815,4.128149330902395,3.6569460398383664e-5,0.018732539988326705
Montipora_capitata_HIv3___RNAseq.g44004.t1,3530.886870856553,2.40009434675523,0.4552197967708916,5.27238569978796,1.346617033322037e-7,6.750591188043371e-4
Montipora_capitata_HIv3___RNAseq.g44669.t1,4575.481545475926,2.2444561539049612,0.5039206821410318,4.453986973443586,8.42902166510654e-6,0.01056367140179477
Montipora_capitata_HIv3___RNAseq.g20086.t1,974.0095649800419,1.5028693300558122,0.39215591912941494,3.832326013061789,1.2693736921345805e-4,0.04894900245131271
Montipora_capitata_HIv3___RNAseq.g21605.t1,7294.0122312494,1.5659737109531386,0.37979766249536157,4.123178907064136,3.736792337587613e-5,0.018732539988326705
Montipora_capitata_HIv3___TS.g37164.t2,647.3287939863994,1.5892529304768124,0.3814993383068874,4.165807829523359,3.1025197037220634e-5,0.018732539988326705
Montipora_capitata_HIv3___RNAseq.g28322.t1,6685.838766551071,2.0478167418048505,0.43773882011693116,4.6781702871539395,2.894461283523234e-6,0.004836644804767324
Montipora_capitata_HIv3___RNAseq.g29121.t1,1709.9334733279304,1.9558251631421166,0.4673487179040229,4.1849374743417505,2.8524460483376585e-5,0.018732539988326705
Montipora_capitata_HIv3___RNAseq.g33482.t1,5009.744873384114,1.114315796691119,0.278446624245195,4.001900901875804,6.283561716667358e-5,0.02863590444150315
Montipora_capitata_HIv3___RNAseq.g38474.t1,3383.243386894076,1.2290687891059797,0.31815352493834215,3.8631311387927325,1.1194287341838325e-4,0.046764135370529605
Montipora_capitata_HIv3___TS.g5110.t1,3658.766851290268,1.5961140303110233,0.3683750995418369,4.3328499464165064,1.471914356201555e-5,0.01475741333527679
Montipora_capitata_HIv3___RNAseq.g36979.t1,1833.4674747695192,2.3890605292479403,0.5043644536733453,4.736774195421849,2.1714687944427644e-6,0.004836644804767324
Montipora_capitata_HIv3___RNAseq.g15509.t1,1406.6515901335088,2.0835222340721455,0.48810965764791936,4.268553595337834,1.967445589606808e-5,0.01643800790116488
