category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0045652,3.864299550526884e-4,0.9999043631831556,23,32,regulation of megakaryocyte differentiation,BP,0.0359827892929496,1,over
GO:0051252,3.884661040361454e-4,0.9996849330351936,633,1402,regulation of RNA metabolic process,BP,0.03599848151584953,1,over
GO:0019219,4.0348838168512835e-4,0.9996692478405145,706,1574,regulation of nucleobase-containing compound metabolic process,BP,0.037034469318956424,1,over
GO:1904396,4.212854177551392e-4,0.999783107800225,70,125,regulation of neuromuscular junction development,BP,0.03830319069448259,1,over
GO:0036230,4.3036295403292406e-4,0.9997299819223324,131,255,granulocyte activation,BP,0.03890768988704919,1,over
GO:0043588,4.336845461772135e-4,0.9998058097494408,51,86,skin development,BP,0.03890768988704919,1,over
GO:0032501,4.339897964054774e-4,0.9996259758634353,1448,3344,multicellular organismal process,BP,0.03890768988704919,1,over
GO:0042274,4.395271360362273e-4,0.9998179266276634,44,72,ribosomal small subunit biogenesis,BP,0.0390570118797636,1,over
GO:0055086,4.39707993665821e-4,0.9996885374695139,227,468,nucleobase-containing small molecule metabolic process,BP,0.0390570118797636,1,over
GO:0009996,4.4820204411762294e-4,0.9999303966788289,16,20,negative regulation of cell fate specification,BP,0.03962887339617973,1,over
GO:0045321,4.5858412323945396e-4,0.9996833850580206,197,401,leukocyte activation,BP,0.04017822261563852,1,over
GO:0030500,4.6358861896139166e-4,0.9998989268102663,20,27,regulation of bone mineralization,BP,0.040232366147781355,1,over
GO:0050684,4.6798229402779726e-4,0.9997632757394969,66,117,regulation of mRNA processing,BP,0.040232366147781355,1,over
GO:0060537,4.6799347218864554e-4,0.9997412763257516,84,154,muscle tissue development,BP,0.040232366147781355,1,over
GO:0048699,4.7172579763416796e-4,0.9996276560027381,473,1033,generation of neurons,BP,0.040232366147781355,1,over
GO:0070972,5.149753669856029e-4,0.9997627634654561,53,90,protein localization to endoplasmic reticulum,BP,0.04265112137205097,1,over
GO:0009059,5.156110952957028e-4,0.9995898140290816,501,1096,macromolecule biosynthetic process,BP,0.04265112137205097,1,over
GO:0000375,5.187004043451668e-4,0.9996619512750657,148,293,"RNA splicing, via transesterification reactions",BP,0.04265112137205097,1,over
GO:0045637,5.187516216756953e-4,0.9997378313722495,65,115,regulation of myeloid cell differentiation,BP,0.04265112137205097,1,over
GO:0009126,5.200007015528911e-4,0.9997074235128119,87,161,purine nucleoside monophosphate metabolic process,BP,0.04265112137205097,1,over
GO:0009167,5.200007015528911e-4,0.9997074235128119,87,161,purine ribonucleoside monophosphate metabolic process,BP,0.04265112137205097,1,over
GO:0043299,5.302821781876832e-4,0.9996640372821013,131,256,leukocyte degranulation,BP,0.04331012281596438,1,over
GO:0060021,5.338475071130474e-4,0.9998440617059899,26,38,roof of mouth development,BP,0.043417344724067455,1,over
GO:0008283,5.414427941843893e-4,0.9996142612622595,227,470,cell population proliferation,BP,0.04366656844311341,1,over
GO:0090150,5.46398790818002e-4,0.9996919242968034,87,161,establishment of protein localization to membrane,BP,0.04388265288757079,1,over
GO:0022414,5.53236655279078e-4,0.9995519295332377,587,1302,reproductive process,BP,0.04424745448342003,1,over
GO:0009790,5.684036924116047e-4,0.9995545465243788,431,938,embryo development,BP,0.04527264946790777,1,over
GO:0006888,5.723886191647919e-4,0.9997017344758622,69,124,endoplasmic reticulum to Golgi vesicle-mediated transport,BP,0.04540243059424429,1,over
GO:0045184,5.779835136063823e-4,0.9995560814229222,366,788,establishment of protein localization,BP,0.04565832879001237,1,over
GO:1901532,5.883998898024373e-4,0.9998592465169401,21,29,regulation of hematopoietic progenitor cell differentiation,BP,0.04612334189578791,1,over
GO:0060828,5.936203617189703e-4,0.9996641153243028,87,161,regulation of canonical Wnt signaling pathway,BP,0.04618210307977161,1,over
GO:2000826,5.941977464997851e-4,0.9998914367376319,17,22,regulation of heart morphogenesis,BP,0.04618210307977161,1,over
GO:0007292,6.007143480846174e-4,0.9995612636472069,258,541,female gamete generation,BP,0.04634039710013637,1,over
GO:0007447,6.040430185028599e-4,0.9997720796071465,36,57,imaginal disc pattern formation,BP,0.046386172038416836,1,over
GO:0008582,6.15211823367712e-4,0.9996817886726903,67,120,regulation of synaptic assembly at neuromuscular junction,BP,0.04688620700338435,1,over
GO:0048839,6.154194745450709e-4,0.999696226269,60,105,inner ear development,BP,0.04688620700338435,1,over
GO:0002275,6.223468513320388e-4,0.9996025849083267,132,259,myeloid cell activation involved in immune response,BP,0.046910062986999755,1,over
GO:0008380,6.230337807871303e-4,0.9995851563119911,158,316,RNA splicing,BP,0.046910062986999755,1,over
GO:0045669,6.279695293772308e-4,0.9998845325372685,17,22,positive regulation of osteoblast differentiation,BP,0.047097714703292305,1,over
GO:0044703,6.544731134332717e-4,0.9994805387984864,470,1031,multi-organism reproductive process,BP,0.04814873763903172,1,over
