category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0004677,0.9521979052178,0.34655775713232967,2,3,DNA-dependent protein kinase activity,MF,1
GO:0034702,0.9524037723247153,0.09716199290429989,44,54,monoatomic ion channel complex,CC,1
GO:0006767,0.9524821217406848,0.09385546401150588,50,61,water-soluble vitamin metabolic process,BP,1
GO:0042441,0.9524900086242485,0.11880786393227476,23,29,eye pigment metabolic process,BP,1
GO:0043324,0.9524900086242485,0.11880786393227476,23,29,pigment metabolic process involved in developmental pigmentation,BP,1
GO:0043474,0.9524900086242485,0.11880786393227476,23,29,pigment metabolic process involved in pigmentation,BP,1
GO:1903391,0.9529356322167739,0.11793582819100487,23,29,regulation of adherens junction organization,BP,1
GO:0009925,0.9533212684447421,0.11717953817822152,23,29,basal plasma membrane,CC,1
GO:0006869,0.9536052812679406,0.08056792329624603,84,101,lipid transport,BP,1
GO:0045646,0.9537819857552738,0.11627398432747584,23,29,regulation of erythrocyte differentiation,BP,1
GO:0014909,0.9540976892412127,0.21358096125126674,5,7,smooth muscle cell migration,BP,1
GO:0016601,0.9541060777160613,0.141320444067997,13,17,Rac protein signal transduction,BP,1
GO:1901076,0.9542197752243323,0.1653005755659118,9,12,positive regulation of engulfment of apoptotic cell,BP,1
GO:0042073,0.9547576214282032,0.10131415785470405,33,41,intraciliary transport,BP,1
GO:0016059,0.9552709071934945,0.16270636887337128,9,12,negative regulation of opsin-mediated signaling pathway,BP,1
GO:0019894,0.9553779191817456,0.10577391670456947,28,35,kinesin binding,MF,1
GO:0008332,0.9554174792281576,0.3357646378123571,2,3,low voltage-gated calcium channel activity,MF,1
GO:0002568,0.9556085416080944,0.3351095773952282,2,3,somatic diversification of T cell receptor genes,BP,1
GO:0002681,0.9556085416080944,0.3351095773952282,2,3,somatic recombination of T cell receptor gene segments,BP,1
GO:0033153,0.9556085416080944,0.3351095773952282,2,3,T cell receptor V(D)J recombination,BP,1
GO:0005520,0.9559038795840298,0.3340936653042988,2,3,insulin-like growth factor binding,MF,1
GO:0072595,0.9560460642046162,0.10450322105417836,28,35,maintenance of protein localization in organelle,BP,1
GO:0043034,0.9560506728169464,0.16076786163943615,9,12,costamere,CC,1
GO:0000291,0.9560509452690513,0.09894660982961095,33,41,NA,NA,1
GO:0035235,0.9561913274541785,0.13662016785391523,13,17,ionotropic glutamate receptor signaling pathway,BP,1
GO:0006099,0.9562315292950362,0.10414973266192867,28,35,tricarboxylic acid cycle,BP,1
GO:0030170,0.9564334034584333,0.12105868345486898,18,23,pyridoxal phosphate binding,MF,1
GO:0030893,0.9564483171695768,0.3322101346159177,2,3,meiotic cohesin complex,CC,1
GO:0034991,0.9564483171695768,0.3322101346159177,2,3,NA,NA,1
GO:0099514,0.9564616977087553,0.15974113635315454,9,12,synaptic vesicle cytoskeletal transport,BP,1
GO:0099517,0.9564616977087553,0.15974113635315454,9,12,synaptic vesicle transport along microtubule,BP,1
GO:0002864,0.9570022156688283,0.3302793280219324,2,3,regulation of acute inflammatory response to antigenic stimulus,BP,1
GO:0001821,0.9570045913593852,0.3302710147258442,2,3,histamine secretion,BP,1
GO:0046085,0.9570201427682736,0.205244510502876,5,7,adenosine metabolic process,BP,1
GO:0022839,0.9570513576102926,0.08160406549370414,60,73,monoatomic ion-gated channel activity,MF,1
GO:0048840,0.9570598598527507,0.15824078825048776,9,12,otolith development,BP,1
GO:0006476,0.9570901247844024,0.09703376641981928,33,41,protein deacetylation,BP,1
GO:0006506,0.9571408084369587,0.11956118202102337,18,23,GPI anchor biosynthetic process,BP,1
GO:0002339,0.9572446233881603,0.3294296445459304,2,3,B cell selection,BP,1
GO:0051589,0.9573303308848434,0.15755994874644297,9,12,negative regulation of neurotransmitter transport,BP,1
GO:0032891,0.9573503789869029,0.1575094222582453,9,12,negative regulation of organic acid transport,BP,1
GO:0046325,0.9574024360823589,0.15737818545499174,9,12,negative regulation of D-glucose import,BP,1
GO:1902857,0.9575033456737748,0.15712362908878733,9,12,positive regulation of non-motile cilium assembly,BP,1
GO:0048156,0.9575211115722181,0.15707879040105255,9,12,tau protein binding,MF,1
GO:0032959,0.9576231921947893,0.3280969053189809,2,3,inositol trisphosphate biosynthetic process,BP,1
GO:0010543,0.9576669021183606,0.20336641982465786,5,7,regulation of platelet activation,BP,1
GO:0004629,0.9576876294590314,0.20330602461681904,5,7,phospholipase C activity,MF,1
GO:0034703,0.9577664447197639,0.08801164187126523,43,53,cation channel complex,CC,1
GO:0140103,0.9578346109597429,0.1562864673426795,9,12,"catalytic activity, acting on a glycoprotein",MF,1
GO:1904293,0.9579678931207138,0.15594898658417228,9,12,negative regulation of ERAD pathway,BP,1
GO:0045239,0.9581301763483703,0.15553756246311423,9,12,tricarboxylic acid cycle heteromeric enzyme complex,CC,1
GO:0050935,0.9585341785117647,0.1545108757320333,9,12,iridophore differentiation,BP,1
GO:0046850,0.9585376365418907,0.1071054172119244,22,28,regulation of bone remodeling,BP,1
GO:1904045,0.9587442203690466,0.3241081241489607,2,3,cellular response to aldosterone,BP,1
GO:0035458,0.9588168213441255,0.13060397460731665,13,17,cellular response to interferon-beta,BP,1
GO:0031933,0.9589054205243069,0.32352925355880896,2,3,NA,NA,1
GO:0002162,0.9590419190313311,0.3230380274482572,2,3,dystroglycan binding,MF,1
GO:0010745,0.9591614261326971,0.19897811634513823,5,7,negative regulation of macrophage derived foam cell differentiation,BP,1
GO:0005652,0.959301900891594,0.12947988195384436,13,17,nuclear lamina,CC,1
GO:0010871,0.9593127419145333,0.3220605038808132,2,3,NA,NA,1
GO:0034678,0.9593127419145333,0.3220605038808132,2,3,integrin alpha8-beta1 complex,CC,1
GO:0034683,0.9593127419145333,0.3220605038808132,2,3,integrin alphav-beta3 complex,CC,1
