go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0048519,18,GO:0048519,2.0705207606416334,1012,negative regulation of biological process,negative regulation of biological process,0.9044921875,0.30580000000000007,0
GO:0006417,9,GO:0010468,2.0546695013502494,110,regulation of translation,regulation of gene expression,0.8020078125,0.46535000000000004,0.593
GO:0051254,9,GO:0010468,2.0546695013502494,351,positive regulation of RNA metabolic process,regulation of gene expression,0.755328125,0.25815,0.659
GO:1903706,19,GO:1903706,2.051553036949608,1,regulation of hemopoiesis,regulation of hemopoiesis,0.852484375,0.5414285714285714,0
GO:0045935,9,GO:0010468,1.9574814169680097,368,positive regulation of nucleobase-containing compound metabolic process,regulation of gene expression,0.7655234375,0.26115,0.65
GO:0007389,7,GO:0003002,1.9349044918077247,131,pattern specification process,regionalization,0.8836640625,0.359,0.971
GO:0009892,18,GO:0048519,1.9054671823915033,554,negative regulation of metabolic process,negative regulation of biological process,0.7968671875,0.271,0.862
GO:0042886,13,GO:0071705,1.9051684852086799,25,amide transport,nitrogen compound transport,0.953078125,0.45199999999999996,0.67
GO:0048513,15,GO:0007423,1.9051684852086799,413,animal organ development,sensory organ development,0.8745234375,0.4095,0.754
GO:0010605,18,GO:0048519,1.9010525776569438,532,negative regulation of macromolecule metabolic process,negative regulation of biological process,0.7832578125,0.27180000000000004,0.857
GO:0072594,10,GO:0006614,1.8788682276454562,136,establishment of protein localization to organelle,SRP-dependent cotranslational protein targeting to membrane,0.9173828125,0.3268,0.813
GO:0045047,10,GO:0006614,1.8599607968411815,20,protein targeting to ER,SRP-dependent cotranslational protein targeting to membrane,0.920625,0.3026,0.962
GO:0009889,9,GO:0010468,1.8492184111310268,1537,regulation of biosynthetic process,regulation of gene expression,0.760265625,0.29745,0.921
GO:0072599,10,GO:0006614,1.8450448539771478,21,establishment of protein localization to endoplasmic reticulum,SRP-dependent cotranslational protein targeting to membrane,0.9223359375,0.32520000000000004,0.96
GO:0042659,19,GO:1903706,1.837487804287658,64,regulation of cell fate specification,regulation of hemopoiesis,0.8306015625000001,0.42300000000000004,0.433
GO:0009952,7,GO:0003002,1.837487804287658,66,anterior/posterior pattern specification,regionalization,0.891140625,0.36475,0.949
GO:0048562,15,GO:0007423,1.8007966193012332,32,embryonic organ morphogenesis,sensory organ development,0.8836875,0.44200000000000006,0.595
