category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006865,0.4314981073925273,0.8920058086710756,1,52,amino acid transport,BP,1
GO:0051346,0.43180588152284516,0.8193163036227834,2,135,negative regulation of hydrolase activity,BP,1
GO:0030239,0.4321246969658584,0.8917283645056155,1,50,myofibril assembly,BP,1
GO:0051640,0.4322812899820712,0.7249404312420596,6,478,organelle localization,BP,1
GO:0045597,0.43329384720939845,0.7240419569829193,6,487,positive regulation of cell differentiation,BP,1
GO:0002761,0.4335221169520533,0.890915807771463,1,51,regulation of myeloid leukocyte differentiation,BP,1
GO:0071356,0.43372960329061633,0.8907656490638995,1,52,cellular response to tumor necrosis factor,BP,1
GO:0019838,0.4339461480145048,0.8907527299400771,1,49,growth factor binding,MF,1
GO:0051701,0.43469393776236825,0.8902270305631941,1,52,biological process involved in interaction with host,BP,1
GO:0002573,0.4350041031043289,0.8900534456882963,1,52,myeloid leukocyte differentiation,BP,1
GO:0017076,0.435476016754462,0.7353335049127924,5,398,purine nucleotide binding,MF,1
GO:0030518,0.4356184496194282,0.8896756408434152,1,53,nuclear receptor-mediated steroid hormone signaling pathway,BP,1
GO:0030163,0.43613486814346764,0.7347520441448905,5,405,protein catabolic process,BP,1
GO:0060293,0.43624592556112674,0.8893567698017144,1,52,germ plasm,CC,1
GO:0031902,0.4363699471800548,0.8892870439382625,1,52,late endosome membrane,CC,1
GO:0070820,0.43649119756135646,0.8892537906861632,1,51,tertiary granule,CC,1
GO:0099003,0.43649305384831394,0.8159282717513585,2,132,vesicle-mediated transport in synapse,BP,1
GO:0030175,0.4366235646662563,0.8892157005988627,1,50,filopodium,CC,1
GO:0032944,0.43717571899552604,0.8888333759547913,1,52,regulation of mononuclear cell proliferation,BP,1
GO:0050670,0.43717571899552604,0.8888333759547913,1,52,regulation of lymphocyte proliferation,BP,1
GO:0051784,0.43739817934164005,0.8887794963822686,1,50,negative regulation of nuclear division,BP,1
GO:0098687,0.437436830089629,0.7761412852231591,3,219,chromosomal region,CC,1
GO:1903008,0.4376488180372485,0.888532689034156,1,53,organelle disassembly,BP,1
GO:0051179,0.4377270113561137,0.6431178921856804,30,2647,localization,BP,1
GO:0040025,0.4380705145241366,0.8883282493782048,1,52,vulval development,BP,1
