category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0071351,1.7482129600146425e-4,1,4,4,cellular response to interleukin-18,BP,0.016521435836187297,1,over
GO:0006405,1.8668848063969104e-4,0.9999287019269331,26,110,RNA export from nucleus,BP,0.017468060506456527,1,over
GO:0051049,1.906741201456263e-4,0.9998726048072312,128,833,regulation of transport,BP,0.017700408754328732,1,over
GO:0097530,1.9248804171437524e-4,0.9999765198276939,8,18,granulocyte migration,BP,0.017752186622222884,1,over
GO:0031102,1.9542054448551909e-4,0.9999681055907301,10,24,neuron projection regeneration,BP,0.017936814261706575,1,over
GO:2001244,2.0672126781841308e-4,0.9999470509438362,15,46,positive regulation of intrinsic apoptotic signaling pathway,BP,0.018795058666037322,1,over
GO:0006353,2.143145752793314e-4,0.9999412348892467,16,53,DNA-templated transcription termination,BP,0.01930333382480894,1,over
GO:0043170,2.1791251690696613e-4,0.9998277771744543,445,3336,macromolecule metabolic process,BP,0.01953611052735708,1,over
GO:0006611,2.19631082403493e-4,0.999909877077538,29,129,protein export from nucleus,BP,0.019597591196256845,1,over
GO:0015980,2.2109676977877005e-4,0.999899451458419,36,166,energy derivation by oxidation of organic compounds,BP,0.019597591196256845,1,over
GO:0042407,2.3007497828177062e-4,0.9999669302955058,9,20,cristae formation,BP,0.020249749800827072,1,over
GO:1902600,2.3789198241604825e-4,0.9999277091499429,18,63,proton transmembrane transport,BP,0.020468602711252046,1,over
GO:0050794,2.383842115318862e-4,0.9998094909627486,517,3973,regulation of cellular process,BP,0.020468602711252046,1,over
GO:0015833,2.3893310557881765e-4,0.9998425169660184,116,738,peptide transport,BP,0.020468602711252046,1,over
GO:0070727,2.4235299721560093e-4,0.9998321780826145,149,996,cellular macromolecule localization,BP,0.020669708058985433,1,over
GO:0002376,2.458119057044473e-4,0.9998306602805889,145,963,immune system process,BP,0.02082623978438196,1,over
GO:0045047,2.536141051318352e-4,0.9999140030821457,21,76,protein targeting to ER,BP,0.021201538357624377,1,over
GO:0019637,2.5408847525868904e-4,0.9998361198208371,104,642,organophosphate metabolic process,BP,0.021201538357624377,1,over
GO:0032930,2.7227971130321696e-4,0.9999891283919661,5,7,positive regulation of superoxide anion generation,BP,0.022621514807627186,1,over
GO:0006954,2.804256832230394e-4,0.9998947672222037,24,99,inflammatory response,BP,0.0230360497632601,1,over
GO:0071450,2.8085456261302846e-4,0.9999802609044974,6,10,cellular response to oxygen radical,BP,0.0230360497632601,1,over
GO:0071451,2.8085456261302846e-4,0.9999802609044974,6,10,cellular response to superoxide,BP,0.0230360497632601,1,over
GO:0032928,2.909171788419258e-4,0.9999794114672651,6,10,regulation of superoxide anion generation,BP,0.023760290771941188,1,over
GO:0042886,2.981907879645298e-4,0.9998016920635417,117,749,amide transport,BP,0.0241496951177156,1,over
GO:0015031,3.0417010648606875e-4,0.9997986582846564,114,727,protein transport,BP,0.02453087365070701,1,over
GO:0051693,3.26886673383565e-4,0.9999763273577522,6,10,actin filament capping,BP,0.026253085956117563,1,over
GO:0006955,3.2993484696476144e-4,0.9997950550801796,85,517,immune response,BP,0.02638794263587459,1,over
GO:0008104,3.3417970900864096e-4,0.9997613682808143,170,1169,protein localization,BP,0.026616999550171713,1,over
GO:0033273,3.5892077895046114e-4,0.9998910037101023,17,60,response to vitamin,BP,0.028118299460412863,1,over
GO:0044417,3.603226960685851e-4,0.9999846576216164,5,7,translocation of molecules into host,BP,0.028118299460412863,1,over
GO:0046784,3.603226960685851e-4,0.9999846576216164,5,7,viral mRNA export from host cell nucleus,BP,0.028118299460412863,1,over
GO:0009150,3.8043800807930153e-4,0.9997927130183265,53,286,purine ribonucleotide metabolic process,BP,0.029568316958582808,1,over
GO:0043603,3.915475134522057e-4,0.9997561842235435,84,497,amide metabolic process,BP,0.030188313287165057,1,over
GO:0070972,3.9532406803788236e-4,0.9998522312945058,23,90,protein localization to endoplasmic reticulum,BP,0.030237584965992787,1,over
GO:1903978,4.0060795347245624e-4,0.9999916335622715,4,5,regulation of microglial cell activation,BP,0.030520625704275075,1,over
GO:0019725,4.238419077447114e-4,0.9997436426147516,74,439,cellular homeostasis,BP,0.031928772581034236,1,over
GO:0032501,4.2535861295312714e-4,0.9996604083054392,438,3344,multicellular organismal process,BP,0.031928772581034236,1,over
GO:0048024,4.2590000168726984e-4,0.9998474713924437,21,84,"regulation of mRNA splicing, via spliceosome",BP,0.031928772581034236,1,over
GO:0010959,4.2850872508299893e-4,0.9998098943835396,31,145,regulation of metal ion transport,BP,0.031928772581034236,1,over
GO:0042752,4.290299402587739e-4,0.9998559314214873,19,73,regulation of circadian rhythm,BP,0.031928772581034236,1,over
GO:0042592,4.3430404442641876e-4,0.9997005066374184,133,881,homeostatic process,BP,0.03219696329353547,1,over
GO:0051236,4.437031409398704e-4,0.9998022851795176,31,149,establishment of RNA localization,BP,0.03276773196021457,1,over
GO:0000381,4.4682203865603544e-4,0.999860827517171,17,62,"regulation of alternative mRNA splicing, via spliceosome",BP,0.03287211753853085,1,over
GO:0006749,4.5491330552568937e-4,0.9999050888154036,11,30,glutathione metabolic process,BP,0.03334012914071354,1,over
GO:0071166,4.646650320314404e-4,0.9998180843215355,24,104,ribonucleoprotein complex localization,BP,0.03392582762275005,1,over
GO:0006950,4.710436793899084e-4,0.9996436946997787,243,1749,response to stress,BP,0.034261761963171634,1,over
GO:0043085,4.7706155621485e-4,0.9996843258595186,106,681,positive regulation of catalytic activity,BP,0.0343695288800988,1,over
GO:0009201,4.7787464279462925e-4,0.999864226742109,15,51,ribonucleoside triphosphate biosynthetic process,BP,0.0343695288800988,1,over
GO:0032386,4.812750215810642e-4,0.9997396211251582,50,273,regulation of intracellular transport,BP,0.03448541279172867,1,over
GO:0051169,4.8633247230760895e-4,0.9997526020121252,42,219,nuclear transport,BP,0.034580663131140596,1,over
GO:0016192,4.924210038096804e-4,0.9996548264283611,143,968,vesicle-mediated transport,BP,0.03476708735689227,1,over
GO:0072599,5.053261244581185e-4,0.9998176094841725,21,80,establishment of protein localization to endoplasmic reticulum,BP,0.0354257473904045,1,over
GO:0009259,5.054257085531122e-4,0.9997190466508689,54,296,ribonucleotide metabolic process,BP,0.0354257473904045,1,over
GO:0042116,5.329330126595483e-4,0.9999537437706157,6,11,macrophage activation,BP,0.03668672792504569,1,over
GO:0061077,5.631073967521539e-4,0.9998373138025525,15,51,chaperone-mediated protein folding,BP,0.03848898961843179,1,over
GO:0006120,5.743907716914862e-4,0.9998886853885275,10,26,"mitochondrial electron transport, NADH to ubiquinone",BP,0.03891743597716602,1,over
GO:0009142,5.754329054989528e-4,0.9998243728764139,16,57,nucleoside triphosphate biosynthetic process,BP,0.03891743597716602,1,over
GO:0030834,5.911502186648736e-4,0.9999285628904133,7,15,regulation of actin filament depolymerization,BP,0.03984063099568335,1,over
