category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0007259,2.1814251349634524e-4,0.9999808994705205,9,12,cell surface receptor signaling pathway via JAK-STAT,BP,0.4445236750065624,1
GO:0097696,2.1814251349634524e-4,0.9999808994705205,9,12,cell surface receptor signaling pathway via STAT,BP,0.4445236750065624,1
GO:0032988,2.211033411202688e-4,0.9999758454050518,10,14,protein-RNA complex disassembly,BP,0.4445236750065624,1
GO:0006260,2.3107113898128548e-4,0.9998791591584839,59,166,DNA replication,BP,0.4445236750065624,1
GO:0018200,2.7412277204595713e-4,0.9999457491350522,14,24,peptidyl-glutamic acid modification,BP,0.4445236750065624,1
GO:1903047,2.760919841211843e-4,0.9998109149285244,156,522,mitotic cell cycle process,BP,0.4445236750065624,1
GO:0044839,3.1508263599633405e-4,0.9998732831173605,32,77,cell cycle G2/M phase transition,BP,0.4445236750065624,1
GO:0018094,3.192619230627598e-4,0.9999783357027383,8,10,protein polyglycylation,BP,0.4445236750065624,1
GO:0007049,4.6391535479150343e-4,0.9996537205571172,240,852,cell cycle,BP,0.5961312309070819,1
GO:0022402,5.277275876432994e-4,0.9996090885224217,223,787,cell cycle process,BP,0.5983499559896821,1
GO:0060339,6.807138106414856e-4,1,5,5,negative regulation of type I interferon-mediated signaling pathway,BP,0.6479868165028151,1
GO:0044770,8.501954300165403e-4,0.9995101541832231,65,195,cell cycle phase transition,BP,0.6479868165028151,1
GO:0000278,8.652449107348018e-4,0.9993761776314146,173,600,mitotic cell cycle,BP,0.6479868165028151,1
GO:0051276,8.661307700822701e-4,0.9993655911832862,191,667,chromosome organization,BP,0.6479868165028151,1
GO:0060271,8.930243604889535e-4,0.9994396180419974,88,276,cilium assembly,BP,0.6479868165028151,1
GO:0040038,9.692974828948526e-4,0.9998450051310567,10,16,polar body extrusion after meiotic divisions,BP,0.6479868165028151,1
GO:0071103,9.749217991482042e-4,0.9994581619016837,57,166,DNA conformation change,BP,0.6479868165028151,1
GO:0046184,0.0011005395939921348,0.9999521856188845,6,7,aldehyde biosynthetic process,BP,0.6786301948245788,1
GO:0006261,0.001429038767274924,0.9992715087404201,42,117,DNA-templated DNA replication,BP,0.7935526611134185,1
GO:0120031,0.0014409516544212529,0.999045540512229,102,332,plasma membrane bounded cell projection assembly,BP,0.7935526611134185,1
GO:0044782,0.0017203041376774855,0.9988873305630022,89,285,cilium organization,BP,0.8884634997078259,1
GO:0000086,0.0017551370727653985,0.9992290591964554,29,74,G2/M transition of mitotic cell cycle,BP,0.8884634997078259,1
GO:0006556,0.0017976693379302313,1,4,4,S-adenosylmethionine biosynthetic process,BP,0.8884634997078259,1
GO:0007143,0.0018845636635875932,0.9992653449158253,23,55,female meiotic nuclear division,BP,0.9081241153912715,1
GO:0000076,0.0019854188600398007,0.9996271588094658,10,17,DNA replication checkpoint signaling,BP,0.9111853257071395,1
GO:0006259,0.00208000800680229,0.9984945263492763,151,527,DNA metabolic process,BP,0.9111853257071395,1
GO:0030031,0.002179510829074094,0.9985326151720071,102,336,cell projection assembly,BP,0.9147105021277246,1
GO:0051726,0.0022152774534117993,0.9983045910208017,218,785,regulation of cell cycle,BP,0.9147105021277246,1
GO:0000394,0.0024116166150665043,0.9995841956470749,9,15,"RNA splicing, via endonucleolytic cleavage and ligation",BP,0.948651229702181,1
GO:0010389,0.0024786179951671585,0.9987255140391653,39,109,regulation of G2/M transition of mitotic cell cycle,BP,0.9555072371369396,1
GO:0001963,0.0028429873376045398,1,4,4,"synaptic transmission, dopaminergic",BP,1,1
GO:0030046,0.003000943807940627,0.9998592863891372,5,6,parallel actin filament bundle assembly,BP,1,1
GO:0007017,0.003040267604725905,0.9977555919058095,159,557,microtubule-based process,BP,1,1
GO:0010564,0.0031051464703525447,0.9977444318118273,143,496,regulation of cell cycle process,BP,1,1
GO:0032784,0.00317436710615193,0.9987906034007322,20,48,regulation of DNA-templated transcription elongation,BP,1,1
GO:0044772,0.003332951324145655,0.9979948299865931,59,183,mitotic cell cycle phase transition,BP,1,1
GO:0035046,0.0034649969952834365,0.9994469767383992,8,13,pronuclear migration,BP,1,1
GO:2000671,0.003943582860310693,0.9998013976721196,5,6,regulation of motor neuron apoptotic process,BP,1,1
GO:0035082,0.004053363464298182,0.9981183365749555,28,73,axoneme assembly,BP,1,1
GO:0022406,0.004101613376133347,0.9978331433294151,38,108,membrane docking,BP,1,1
