category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0046649,0.21647561170487992,0.8489999238950692,20,149,lymphocyte activation,BP,1,1
GO:0002905,0.21685883820969254,0.9867736640504122,1,2,regulation of mature B cell apoptotic process,BP,1,1
GO:0002906,0.21685883820969254,0.9867736640504122,1,2,negative regulation of mature B cell apoptotic process,BP,1,1
GO:0043507,0.21714863502921372,0.8873541348792694,7,44,positive regulation of JUN kinase activity,BP,1,1
GO:0051759,0.21715252123007156,0.986735478771565,1,2,sister chromosome movement towards spindle pole involved in meiotic sister chromatid segregation,BP,1,1
GO:0071706,0.21735622192413126,0.9867089566360118,1,2,tumor necrosis factor superfamily cytokine production,BP,1,1
GO:0010801,0.21753370004230962,0.9511584667555233,2,8,negative regulation of peptidyl-threonine phosphorylation,BP,1,1
GO:0032763,0.21793328994159403,0.9866336588823746,1,2,regulation of mast cell cytokine production,BP,1,1
GO:0035902,0.21807426225496504,0.9509577311392022,2,8,response to immobilization stress,BP,1,1
GO:0051937,0.2182419460185134,0.9508953890168876,2,8,catecholamine transport,BP,1,1
GO:1901018,0.2185520532409364,0.9507800045400073,2,8,positive regulation of potassium ion transmembrane transporter activity,BP,1,1
GO:0008202,0.21857584430937088,0.8523407612985695,17,125,steroid metabolic process,BP,1,1
GO:0014032,0.21865107763624975,0.8934781959017795,6,36,neural crest cell development,BP,1,1
GO:0007041,0.21914556674079505,0.8583712407240833,14,101,lysosomal transport,BP,1,1
GO:0022410,0.21945960624308802,0.950441639619057,2,8,circadian sleep/wake cycle process,BP,1,1
GO:0050802,0.21945960624308802,0.950441639619057,2,8,"circadian sleep/wake cycle, sleep",BP,1,1
GO:0051459,0.2196028634651652,0.986414451314008,1,2,regulation of corticotropin secretion,BP,1,1
GO:0051461,0.2196028634651652,0.986414451314008,1,2,positive regulation of corticotropin secretion,BP,1,1
GO:0048041,0.2198275118500356,0.9278175480647515,3,15,focal adhesion assembly,BP,1,1
GO:0061043,0.22003175311841824,0.9863578140769484,1,2,regulation of vascular wound healing,BP,1,1
GO:0048742,0.22043912586286693,0.9500753004232565,2,8,regulation of skeletal muscle fiber development,BP,1,1
GO:0048675,0.22059625981518896,0.8849054759056285,7,45,axon extension,BP,1,1
GO:0043418,0.22062764848300875,0.9862789012846956,1,2,homocysteine catabolic process,BP,1,1
GO:0060993,0.22070926104602281,0.8921610821117197,6,36,kidney morphogenesis,BP,1,1
