category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust
ko00340,0.01819578018061347,0.9988848550090129,2,20,1
ko01524,0.022614952146503622,0.9968898144701361,3,56,1
ko04130,0.02862379604549508,0.9977262062509472,2,26,1
ko00511,0.037036308947663264,0.996598929305228,2,29,1
ko04512,0.05570374647737377,0.9935735482202492,2,32,1
ko00600,0.05911389742430588,0.9929010211347292,2,38,1
ko04390,0.06755899331530636,0.9855740641418392,3,89,1
ko03460,0.06977610884179958,0.9908001578958819,2,39,1
ko00380,0.07674476700368749,0.9892973025723851,2,42,1
ko05200,0.08006108854166605,0.9692345576240796,6,276,1
ko04115,0.08110190371896929,0.9883134245273816,2,44,1
ko00480,0.08419624079748324,0.9875901343746,2,46,1
ko04711,0.08605377332054485,0.9966244213934042,1,9,1
ko04122,0.09755620974611467,0.9955889788877824,1,10,1
ko00330,0.09964456483790002,0.983781994439984,2,51,1
ko00983,0.10814152731955251,0.9815294160697041,2,53,1
ko04950,0.11590183859134746,0.9936164722910814,1,12,1
ko05210,0.1334514113881314,0.9741385892759598,2,61,1
ko00730,0.1560126122245028,0.9879926321187116,1,16,1
ko00910,0.15728941538255087,0.9877890551439095,1,16,1
ko04214,0.18801141595211324,0.9550438182380112,2,74,1
ko04111,0.18833070667835777,0.9549527812282383,2,71,1
ko04392,0.18856578622247303,0.9820046829392963,1,20,1
ko04975,0.18887639763664818,0.9819430749348852,1,20,1
ko03008,0.19094765884063455,0.9539255325495313,2,72,1
ko00565,0.20166535553655318,0.9792153979926422,1,22,1
ko05224,0.20501404570449616,0.948245338987021,2,77,1
ko04142,0.20928518140328248,0.9266034295855443,3,150,1
ko05217,0.20969662373463632,0.9774097315143914,1,23,1
ko03430,0.22293930658542593,0.974326669710019,1,23,1
ko04550,0.22473090006876684,0.9398349969058959,2,83,1
ko00980,0.23646145804093016,0.9708152418352263,1,26,1
ko05222,0.23911910230473638,0.9333654280062881,2,87,1
ko00982,0.27200891637055474,0.9605675403869636,1,31,1
ko03020,0.2835285436009467,0.9569442797295945,1,31,1
ko04215,0.28469243001822386,0.9565277823374169,1,32,1
ko04623,0.2885068228512632,0.9552813321543443,1,32,1
ko04210,0.2890889589390709,0.9087043885774494,2,101,1
ko00970,0.2903742657466575,0.9547507836894813,1,30,1
ko04330,0.2937651094924003,0.9535303713100542,1,32,1
ko05225,0.29716875803790266,0.9044104837272902,2,102,1
ko04011,0.31616342617781434,0.945508688758842,1,35,1
ko05213,0.3205833428612177,0.943786026771266,1,37,1
ko03022,0.3255817991435999,0.9418529699631405,1,38,1
ko03440,0.3382215432113897,0.9369335912921994,1,37,1
ko04350,0.33949209498136973,0.9363819646419519,1,38,1
ko04216,0.3452850794756591,0.9339796220865719,1,39,1
ko05204,0.34610816792435517,0.9335659138475407,1,41,1
ko05416,0.3465707342916309,0.9334481659381271,1,39,1
ko00250,0.3472952047836869,0.933147596265804,1,39,1
ko05134,0.3541863302540361,0.9301718570113277,1,41,1
ko05146,0.3542150402147045,0.9302784666387209,1,38,1
ko05014,0.3700142609352214,0.9231211142748069,1,44,1
ko03030,0.3751206209263778,0.9208330458890064,1,43,1
ko00270,0.40372032675190206,0.9068235628987156,1,49,1
ko05166,0.40538079799503157,0.8380475725884605,2,129,1
ko04810,0.40709621520510375,0.8369193342363181,2,124,1
ko00561,0.4120908664915753,0.9024939272428485,1,50,1
ko01522,0.4545345605999971,0.8786751671755675,1,55,1
ko00562,0.45826689189983233,0.8764754505256931,1,54,1
ko04113,0.45840194931219475,0.8763598765118321,1,55,1
ko04666,0.4725391950398962,0.8675933598192782,1,57,1
ko00564,0.4738796012151235,0.8666538704488652,1,60,1
ko05231,0.49779147205425994,0.850940676817658,1,62,1
ko04391,0.5097246402139086,0.8425870937236634,1,66,1
ko04070,0.5293696091786506,0.8284258087712404,1,65,1
ko04072,0.5419650254178892,0.8187763172052823,1,69,1
ko05165,0.5468396129622548,0.7252557454586697,2,164,1
ko01230,0.5618336567133735,0.8028136021759595,1,77,1
ko04922,0.5691531326053562,0.796760931628192,1,78,1
ko05226,0.5752263941046598,0.7916401408344711,1,79,1
ko05164,0.5900758784681368,0.778713447048919,1,83,1
ko05161,0.5977052269883939,0.7718431965117144,1,86,1
ko04310,0.5982660728452192,0.7713603585596647,1,85,1
ko03018,0.6092668212683103,0.7612594799269705,1,86,1
ko04934,0.6136443073525266,0.757095174613244,1,89,1
ko04114,0.6179190959600451,0.7530467464693249,1,89,1
ko04919,0.6265069564501955,0.7447917529291297,1,88,1
ko04145,0.6294098055594998,0.7419032902453031,1,90,1
ko05418,0.6305859421797146,0.7406794280075243,1,93,1
ko05012,0.6308531426399109,0.7403541747627042,1,96,1
ko00240,0.6374715047776369,0.7338005233041665,1,94,1
ko05152,0.6539104759999813,0.7167890091675798,1,99,1
ko04110,0.6735084576211423,0.6955619937977773,1,101,1
ko04140,0.6832612465803494,0.6844667721740187,1,107,1
ko05010,0.7006459650086014,0.6640135395622868,1,114,1
ko03010,0.7227956827022268,0.6364401375535572,1,126,1
ko05206,0.7663689233834015,0.5771528986772325,1,130,1
ko04120,0.7707485298831963,0.5707132879285202,1,134,1
ko05169,0.77951346571785,0.5575910145853251,1,141,1
ko05203,0.7802881883379066,0.5564226066788402,1,141,1
ko03013,0.7915851729233873,0.5390542140869561,1,142,1
ko01100,0.8029236157447063,0.3022668630139156,9,1065,1
ko04010,0.812945067187244,0.5043881324901752,1,153,1
ko00230,0.8171984661743021,0.4972032085902097,1,155,1
ko05016,0.8319120086481293,0.47159558720712413,1,159,1
ko01120,0.8482865277323497,0.44143413230724515,1,177,1
ko01110,0.8495455750067376,0.3494857070251447,2,313,1
ko01130,0.8971369680454345,0.3401231567919838,1,215,1
ko00072,0.9999999999999964,0.9215928674333935,0,8,1
ko00430,0.9999999999999979,0.9175696165565183,0,8,1
ko00981,0.9999999999999979,0.8651827653552275,0,14,1
ko04136,0.9999999999999982,0.7380976268615129,0,28,1
ko02025,0.9999999999999984,0.989692104507401,0,1,1
ko00515,0.9999999999999986,0.746171881172875,0,28,1
ko00601,0.9999999999999986,0.7856942673931945,0,24,1
ko00625,0.9999999999999986,0.9385704094615955,0,6,1
ko00471,0.9999999999999987,0.9381586389021741,0,6,1
ko01040,0.9999999999999987,0.8466822752182852,0,16,1
ko04727,0.9999999999999987,0.662868025504681,0,37,1
ko04913,0.9999999999999987,0.7850768732612617,0,22,1
ko00362,0.9999999999999988,0.9686604282171317,0,3,1
ko00524,0.9999999999999988,0.989933913318199,0,1,1
ko00903,0.9999999999999988,0.948248913801095,0,5,1
ko02020,0.9999999999999988,0.8638936223788289,0,14,1
ko00901,0.9999999999999989,0.9029550609787431,0,8,1
ko00965,0.9999999999999989,0.9029550609787431,0,8,1
ko05221,0.9999999999999989,0.6882314562754748,0,35,1
ko00030,0.999999999999999,0.7737126134593009,0,24,1
ko00051,0.999999999999999,0.7434026453370854,0,28,1
ko00514,0.999999999999999,0.829035007422476,0,18,1
ko00900,0.999999999999999,0.7828354582405423,0,24,1
ko00944,0.999999999999999,0.9880198680196299,0,1,1
ko04659,0.999999999999999,0.6988562787330931,0,33,1
ko04940,0.999999999999999,0.9687135249876284,0,3,1
ko05143,0.999999999999999,0.9079505787828032,0,8,1
ko00401,0.9999999999999992,0.9899116030079228,0,1,1
ko00450,0.9999999999999992,0.8775037695476406,0,12,1
ko00740,0.9999999999999992,0.9042335026735867,0,10,1
ko01210,0.9999999999999992,0.7982065632289271,0,21,1
ko04320,0.9999999999999992,0.7572973461525436,0,26,1
ko04370,0.9999999999999992,0.6690083320282324,0,37,1
ko04612,0.9999999999999992,0.8041261489825695,0,21,1
ko04977,0.9999999999999992,0.8080627162806511,0,20,1
ko05322,0.9999999999999992,0.8145432573458239,0,20,1
ko00281,0.9999999999999993,0.9695983296525019,0,3,1
ko00311,0.9999999999999993,0.9592505964169891,0,4,1
ko00472,0.9999999999999993,0.9592505964169891,0,4,1
ko00643,0.9999999999999993,0.9359306689275352,0,6,1
ko05144,0.9999999999999993,0.8771773489895967,0,11,1
ko00053,0.9999999999999994,0.8606176748335533,0,14,1
ko00073,0.9999999999999994,0.9888109172128087,0,1,1
ko00140,0.9999999999999994,0.7056832709229872,0,34,1
ko00400,0.9999999999999994,0.9358757237065267,0,6,1
ko00500,0.9999999999999994,0.8066376046206174,0,20,1
ko00534,0.9999999999999994,0.8559176806849318,0,15,1
ko00591,0.9999999999999994,0.8414889955034176,0,17,1
ko00620,0.9999999999999994,0.6858311572532918,0,36,1
ko00640,0.9999999999999994,0.7256469669742186,0,30,1
ko04341,0.9999999999999994,0.7592899257804375,0,26,1
ko04974,0.9999999999999994,0.6700307364290589,0,37,1
ko00592,0.9999999999999996,0.8914936719360846,0,11,1
ko00710,0.9999999999999996,0.8170649298555394,0,19,1
ko04710,0.9999999999999996,0.85405146628945094,0,15,1
ko04923,0.9999999999999996,0.6870081294955661,0,34,1
ko04927,0.9999999999999996,0.7012923368230187,0,32,1
ko05030,0.9999999999999996,0.6620616365793223,0,37,1
ko00360,0.9999999999999997,0.770341941200018,0,23,1
ko00563,0.9999999999999997,0.8068957213139532,0,21,1
ko00770,0.9999999999999997,0.8259688586998101,0,18,1
ko04672,0.9999999999999997,0.973394075030848,0,2,1
ko04742,0.9999999999999997,0.8596027159987278,0,14,1
ko04961,0.9999999999999997,0.715538463116264,0,30,1
ko04966,0.9999999999999997,0.8518370108793272,0,15,1
ko05140,0.9999999999999997,0.7139662536003657,0,31,1
ko02024,0.9999999999999998,0.9113065159793968,0,8,1
ko04964,0.9999999999999998,0.8000930602795159,0,21,1
ko00220,0.9999999999999999,0.7910280849651133,0,21,1
ko00520,0.9999999999999999,0.6667203961170555,0,37,1
ko00920,0.9999999999999999,0.8943792387976253,0,11,1
ko00960,0.9999999999999999,0.9679603198502266,0,3,1
ko02010,0.9999999999999999,0.6869816343797375,0,33,1
ko04624,0.9999999999999999,0.74168670289946,0,28,1
ko04960,0.9999999999999999,0.7912460556364049,0,21,1
ko05310,0.9999999999999999,0.9556158145019132,0,4,1
ko05320,0.9999999999999999,0.9556158145019132,0,4,1
ko05410,0.9999999999999999,0.7458252028953307,0,26,1
ko00010,1,0.6149463548462821,0,46,1
ko00061,1,0.8284534804132684,0,16,1
ko00071,1,0.6180125491496574,0,44,1
ko00100,1,0.7661902768878291,0,26,1
ko00190,1,0.4313598583531584,0,81,1
ko00254,1,0.9847108606763025,0,1,1
ko00280,1,0.6171748827721215,0,46,1
ko00310,1,0.5937535112168092,0,49,1
ko00410,1,0.7541514497787202,0,26,1
ko00460,1,0.8901731647854142,0,11,1
ko00510,1,0.5807578734037608,0,51,1
ko00513,1,0.5829946612953789,0,51,1
ko00590,1,0.6252626990779625,0,45,1
ko00603,1,0.9184178837210996,0,8,1
ko00626,1,0.9897974383214555,0,1,1
ko00627,1,0.9481187671520793,0,5,1
ko00680,1,0.775732593057283,0,24,1
ko00760,1,0.7813583579277485,0,22,1
ko00790,1,0.7151430504661449,0,32,1
ko00830,1,0.6238406225240709,0,46,1
ko01200,1,0.2942420582678745,0,116,1
ko01212,1,0.5897146832596452,0,48,1
ko01521,1,0.5384557581823556,0,55,1
ko01523,1,0.6571340170184934,0,39,1
ko03015,1,0.42107148909619413,0,78,1
ko03040,1,0.2259737341411675,0,139,1
ko03320,1,0.5640645276577552,0,53,1
ko03410,1,0.62267500018676,0,44,1
ko03420,1,0.6107433442754967,0,46,1
ko04012,1,0.5562717669373743,0,55,1
ko04013,1,0.3685362102500435,0,93,1
ko04014,1,0.2794048362102538,0,115,1
ko04015,1,0.2952103155300115,0,108,1
ko04020,1,0.3797098563610211,0,87,1
ko04022,1,0.3883812314736366,0,86,1
ko04024,1,0.2605708722160665,0,125,1
ko04062,1,0.46831193792654857,0,69,1
ko04064,1,0.5597281888584325,0,53,1
ko04066,1,0.48219142530015274,0,65,1
ko04068,1,0.46788029229149813,0,70,1
ko04071,1,0.44011160460482684,0,75,1
ko04080,1,0.6290205592110363,0,44,1
ko04112,1,0.9677749283863627,0,3,1
ko04137,1,0.5857879172439596,0,50,1
ko04138,1,0.4797256539658337,0,67,1
ko04141,1,0.18486899260825626,0,157,1
ko04144,1,0.137834551836542,0,181,1
ko04146,1,0.40571317243387295,0,84,1
ko04150,1,0.3287950582800687,0,101,1
ko04151,1,0.20109112649602634,0,143,1
ko04152,1,0.3823298492658719,0,88,1
ko04211,1,0.5203502332276433,0,60,1
ko04212,1,0.5296842009630932,0,59,1
ko04213,1,0.6121605246556142,0,46,1
ko04217,1,0.38662061261108693,0,90,1
ko04218,1,0.3858833937466129,0,88,1
ko04260,1,0.799233664563466,0,21,1
ko04261,1,0.45740329776791144,0,73,1
ko04270,1,0.4911512243145973,0,65,1
ko04340,1,0.7073815671431776,0,32,1
ko04360,1,0.39107168925686286,0,84,1
ko04371,1,0.47002118090855183,0,69,1
ko04380,1,0.5167794411241474,0,61,1
ko04510,1,0.31151348624629766,0,102,1
ko04514,1,0.7448883392734797,0,24,1
ko04520,1,0.46850543034879066,0,66,1
ko04530,1,0.3364972227973142,0,100,1
ko04540,1,0.5454829164594944,0,56,1
ko04611,1,0.392956469967307,0,85,1
ko04614,1,0.8656589139456049,0,12,1
ko04620,1,0.5907581678629152,0,50,1
ko04621,1,0.39315492016123244,0,87,1
ko04622,1,0.6170859157222668,0,46,1
ko04630,1,0.6673099432124914,0,36,1
ko04650,1,0.6392286881754712,0,41,1
ko04657,1,0.5349236230276232,0,60,1
ko04660,1,0.5666520499492845,0,52,1
ko04662,1,0.6155171007149185,0,44,1
ko04664,1,0.6512818866843603,0,39,1
ko04668,1,0.536881822534282,0,59,1
ko04670,1,0.5451720381332268,0,54,1
ko04713,1,0.5348674603887565,0,58,1
ko04714,1,0.14797680633479537,0,177,1
ko04720,1,0.5683263288510039,0,53,1
ko04721,1,0.6125362135252558,0,44,1
ko04722,1,0.31900308708769637,0,108,1
ko04723,1,0.46154737357164777,0,71,1
ko04724,1,0.6214830534705229,0,43,1
ko04725,1,0.5238053577652867,0,59,1
ko04726,1,0.4924298300050012,0,63,1
ko04728,1,0.3809929651213835,0,87,1
ko04740,1,0.6471368217740764,0,41,1
ko04745,1,0.6168011506069613,0,44,1
ko04750,1,0.5086359528304725,0,62,1
ko04910,1,0.2865783522302948,0,115,1
ko04911,1,0.6312773979897368,0,42,1
ko04912,1,0.49764548473137654,0,65,1
ko04914,1,0.5310264417480022,0,59,1
ko04915,1,0.4952109507500784,0,66,1
ko04916,1,0.5466857472546202,0,57,1
ko04918,1,0.6311893003554363,0,41,1
ko04920,1,0.5938866280558154,0,47,1
ko04921,1,0.3399204231776081,0,101,1
ko04925,1,0.48469507217893226,0,66,1
ko04926,1,0.5439639345317916,0,56,1
ko04930,1,0.7676054207242295,0,22,1
ko04931,1,0.40584938437503304,0,81,1
ko04932,1,0.3602267870154739,0,97,1
ko04933,1,0.5876555697680719,0,48,1
ko04962,1,0.7031954663295019,0,32,1
ko04970,1,0.5905884703165313,0,47,1
ko04971,1,0.6087151893755164,0,46,1
ko04972,1,0.5419226983851295,0,56,1
ko04976,1,0.5845789720652235,0,49,1
ko04978,1,0.7738519697743722,0,24,1
ko04979,1,0.6234693425182696,0,44,1
ko05020,1,0.8069875098302143,0,20,1
ko05031,1,0.4851038249901727,0,67,1
ko05034,1,0.41675952928879223,0,82,1
ko05100,1,0.4974899482717846,0,63,1
ko05110,1,0.6160482170957268,0,45,1
ko05120,1,0.5933999207900665,0,48,1
ko05130,1,0.6019701861117854,0,48,1
ko05131,1,0.5398447535340088,0,56,1
ko05132,1,0.5894605471874252,0,49,1
ko05133,1,0.6133903056219779,0,46,1
ko05142,1,0.6302446504059238,0,43,1
ko05145,1,0.5236387268982697,0,60,1
ko05160,1,0.5070325555743536,0,64,1
ko05162,1,0.5596541802647068,0,55,1
ko05167,1,0.3739113369124974,0,93,1
ko05168,1,0.3326225584369618,0,104,1
ko05202,1,0.3541920741078045,0,95,1
ko05205,1,0.20800181579652316,0,142,1
ko05211,1,0.6335611498324164,0,43,1
ko05212,1,0.6037042137290687,0,47,1
ko05214,1,0.5404298274120417,0,57,1
ko05215,1,0.46134323334523264,0,70,1
ko05218,1,0.6466627635806346,0,39,1
ko05219,1,0.7031286614757282,0,32,1
ko05220,1,0.5727020906482951,0,53,1
ko05223,1,0.6463062712122334,0,41,1
ko05230,1,0.5211309029679515,0,57,1
ko05323,1,0.7499017349175515,0,26,1
ko05340,1,0.9047451771730263,0,9,1
ko00261,1.0000000000000002,0.9897708761092169,0,1,1
ko00350,1.0000000000000002,0.7128882371692243,0,30,1
ko00791,1.0000000000000002,0.9891440622525377,0,1,1
ko00950,1.0000000000000002,0.8473140505129734,0,14,1
ko03050,1.0000000000000002,0.6700237528566785,0,38,1
ko04640,1.0000000000000002,0.8509147415870211,0,13,1
ko04973,1.0000000000000002,0.8424955242059985,0,16,1
ko00020,1.0000000000000004,0.7009648411224542,0,34,1
ko00120,1.0000000000000004,0.7334310847794426,0,30,1
ko00121,1.0000000000000004,0.9800319752352493,0,2,1
ko00232,1.0000000000000004,0.9605673158233984,0,3,1
ko00532,1.0000000000000004,0.8678147077663629,0,14,1
ko00533,1.0000000000000004,0.9698608014801223,0,3,1
ko00604,1.0000000000000004,0.8635095844383934,0,14,1
ko00630,1.0000000000000004,0.7017630111923058,0,34,1
ko00650,1.0000000000000004,0.7953423288615016,0,22,1
ko00780,1.0000000000000004,0.9700279335926831,0,3,1
ko00930,1.0000000000000004,0.919610826004796,0,8,1
ko01220,1.0000000000000004,0.9496628218271174,0,5,1
ko05033,1.0000000000000004,0.8426876929209477,0,15,1
ko00260,1.0000000000000007,0.6729575892616009,0,38,1
ko03060,1.0000000000000007,0.7979899572395052,0,22,1
ko04712,1.0000000000000007,0.9587570327329619,0,4,1
ko04730,1.0000000000000007,0.7135661793547513,0,30,1
ko04917,1.0000000000000007,0.7065858401143543,0,33,1
ko05321,1.0000000000000007,0.9580713572670552,0,4,1
ko00052,1.0000000000000009,0.7057321059237059,0,33,1
ko00290,1.0000000000000009,0.9390809431913503,0,6,1
ko00908,1.0000000000000009,0.990213717434085,0,1,1
ko04924,1.0000000000000009,0.6683724493020842,0,36,1
ko05032,1.0000000000000009,0.6642552488329588,0,35,1
ko05216,1.0000000000000009,0.7221247918115549,0,30,1
ko05412,1.0000000000000009,0.7413379885295561,0,26,1
ko05414,1.0000000000000009,0.7201295304550379,0,29,1
ko00531,1.000000000000001,0.6719174589695458,0,38,1
ko00860,1.000000000000001,0.7973838075363066,0,21,1
ko03450,1.000000000000001,0.8109194296331803,0,18,1
ko04139,1.000000000000001,0.7588069085928283,0,25,1
ko04658,1.000000000000001,0.7429493020057327,0,27,1
ko00361,1.0000000000000013,0.9900672208253041,0,1,1
ko00364,1.0000000000000013,0.9900672208253041,0,1,1
ko00521,1.0000000000000013,0.9073191570857451,0,9,1
ko00623,1.0000000000000013,0.9900672208253041,0,1,1
ko00670,1.0000000000000013,0.8023793531582453,0,21,1
ko03070,1.0000000000000013,0.979715575089815,0,2,1
ko04060,1.0000000000000013,0.8773328385201319,0,12,1
ko05150,1.0000000000000013,0.9303532795685732,0,6,1
ko00333,1.0000000000000016,0.9899129739424082,0,1,1
ko00750,1.0000000000000016,0.9303344661149009,0,7,1
ko00785,1.0000000000000016,0.9700843510956856,0,3,1
ko04626,1.0000000000000016,0.8481187333087227,0,16,1
ko00062,1.0000000000000018,0.8297436552906015,0,18,1
ko00512,1.0000000000000018,0.8229577154418856,0,19,1
ko00720,1.0000000000000018,0.84294526625319,0,16,1
ko04016,1.0000000000000018,0.8476260756498022,0,16,1
ko04744,1.0000000000000018,0.9027046065545797,0,10,1
ko00040,1.000000000000002,0.7936883855730393,0,22,1
ko01051,1.000000000000002,0.978715248834757,0,2,1
ko04610,1.000000000000002,0.8702523331624822,0,12,1
ko00130,1.0000000000000022,0.8377822926068355,0,17,1
ko00440,1.0000000000000022,0.9128340868479347,0,9,1
ko00940,1.0000000000000022,0.9305304164976151,0,7,1
ko02026,1.0000000000000022,0.9880138825283228,0,1,1
