go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0045663,95,GO:0045663,0.8670345068180093,1,positive regulation of myoblast differentiation,positive regulation of myoblast differentiation,0.8819292307692308,0.4200625,0
GO:0045661,95,GO:0045663,0.4978065294650996,1,regulation of myoblast differentiation,positive regulation of myoblast differentiation,0.8995230769230769,0.4200625,1
GO:0022414,12,GO:0022414,0.27306177259048797,923,reproductive process,reproductive process,0.9715667692307692,0.3954901960784314,0
GO:0000278,26,GO:0000278,0.2665369764659164,327,mitotic cell cycle,mitotic cell cycle,0.9457187692307693,0.3542903225806452,0
GO:0000079,31,GO:0000079,0.2323056980297994,5,regulation of cyclin-dependent protein serine/threonine kinase activity,regulation of cyclin-dependent protein serine/threonine kinase activity,0.867544,0.18633333333333335,0
GO:0006351,14,GO:0006351,0.1692148891102727,1099,DNA-templated transcription,DNA-templated transcription,0.909923076923077,0.35950000000000004,0
GO:1903047,26,GO:0000278,0.1692148891102727,271,mitotic cell cycle process,mitotic cell cycle,0.9430295384615385,0.31959677419354837,0.961
GO:1904781,41,GO:1904781,0.15552132656545378,3,positive regulation of protein localization to centrosome,positive regulation of protein localization to centrosome,0.8815723076923077,0.4409310344827586,0
GO:0032774,14,GO:0006351,0.15552132656545378,1603,RNA biosynthetic process,DNA-templated transcription,0.9070516923076923,0.37064285714285716,0.838
GO:0015695,96,GO:0015695,0.14819768917766135,43,organic cation transport,organic cation transport,0.9645809230769231,1,0
GO:0043588,25,GO:0043588,0.1273505706744993,1,skin development,skin development,0.9597716923076923,0.5408461538461538,0
GO:0009059,2,GO:0009059,0.1273505706744993,2720,macromolecule biosynthetic process,macromolecule biosynthetic process,0.9179661538461539,0.4691428571428571,0
GO:1904779,41,GO:1904781,0.0406372549286045,8,regulation of protein localization to centrosome,positive regulation of protein localization to centrosome,0.889248,0.3965862068965518,0.926
GO:0007144,12,GO:0022414,0.018232818248457718,1,female meiosis I,reproductive process,0.9135083076923077,0.518686274509804,0.427
GO:0042306,36,GO:0042306,0.018232818248457718,7,regulation of protein import into nucleus,regulation of protein import into nucleus,0.881936,0.30955357142857143,0
GO:0031503,145,GO:0031503,-0,65,protein-containing complex localization,protein-containing complex localization,0.9655015384615384,1,0
GO:0044706,142,GO:0044706,-0,16,multi-multicellular organism process,multi-multicellular organism process,0.9706036923076923,1,0
GO:0097164,140,GO:0097164,-0,13,ammonium ion metabolic process,ammonium ion metabolic process,0.9685298461538462,1,0
GO:0030431,135,GO:0030431,-0,32,sleep,sleep,0.9689821538461538,1,0
GO:0070988,132,GO:0070988,-0,4,demethylation,demethylation,0.970396923076923,1,0
GO:0015669,127,GO:0015669,-0,25,gas transport,gas transport,0.9659686153846154,1,0
GO:0019755,124,GO:0019755,-0,1,one-carbon compound transport,one-carbon compound transport,0.9731163076923077,1,0
GO:0009987,1,GO:0009987,-0,9117,cellular process,cellular process,0.9845329230769231,1,0
GO:0008340,6,GO:0008340,-0,261,determination of adult lifespan,determination of adult lifespan,0.963448,0.7635000000000001,0
GO:0032501,6,GO:0008340,-0,2388,multicellular organismal process,determination of adult lifespan,0.9512596923076924,0.7635000000000001,0.473
GO:0006356,130,GO:0006356,-0,6,regulation of transcription by RNA polymerase I,regulation of transcription by RNA polymerase I,0.8941046153846154,0.704,0
GO:0048863,69,GO:0048863,-0,5,stem cell differentiation,stem cell differentiation,0.9503347692307692,0.6892857142857143,0
