category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0006996,0.9997537031799558,3.296616811234881e-4,197,2177,organelle organization,BP,1,0.04293397907875157,under
GO:0065003,0.9997902018795153,3.2848959081461094e-4,71,909,protein-containing complex assembly,BP,1,0.04293397907875157,under
GO:0007346,0.9998326666561661,3.2258899017954747e-4,30,469,regulation of mitotic cell cycle,BP,1,0.04288208817731571,under
GO:0016043,0.9998329246234792,2.16782747222948e-4,288,3066,cellular component organization,BP,1,0.031417198892649045,under
GO:0002376,0.9998637522723249,2.135867085202385e-4,75,963,immune system process,BP,1,0.031188513687330284,under
GO:1901987,0.9998777841701602,3.059753878433906e-4,14,277,regulation of cell cycle phase transition,BP,1,0.041242486718051426,under
GO:0044085,0.9999153077006063,1.1986574663038532e-4,149,1734,cellular component biogenesis,BP,1,0.02026677426579541,under
GO:0009056,0.99992191583014,1.1929937961996094e-4,93,1161,catabolic process,BP,1,0.02026677426579541,under
GO:0010038,0.9999258546022458,2.093175422911831e-4,11,243,response to metal ion,BP,1,0.03103535098201965,under
GO:0022618,0.9999300473805635,2.4222657896908126e-4,7,186,protein-RNA complex assembly,BP,1,0.03418563447618677,under
GO:0006913,0.9999323645344017,2.090750829591212e-4,9,216,nucleocytoplasmic transport,BP,1,0.03103535098201965,under
GO:0006402,0.9999348916320951,2.441169608751774e-4,6,171,mRNA catabolic process,BP,1,0.03418563447618677,under
GO:0043043,0.9999375175088718,1.6634300088440323e-4,13,270,peptide biosynthetic process,BP,1,0.02671884451705727,under
GO:0019637,0.9999397807896485,1.0868224164353851e-4,44,642,organophosphate metabolic process,BP,1,0.01887252439350635,under
GO:0051169,0.9999488134568669,1.606341607764619e-4,9,219,nuclear transport,BP,1,0.026239181770900875,under
GO:0043066,0.9999497568766971,1.0336711801105874e-4,28,461,negative regulation of apoptotic process,BP,1,0.018278910088652817,under
GO:0022613,0.9999576719662993,9.774942725148734e-5,20,366,ribonucleoprotein complex biogenesis,BP,1,0.01760860009600391,under
GO:1903311,0.9999589586895622,1.4657114200991987e-4,7,192,regulation of mRNA metabolic process,BP,1,0.024146656087531672,under
GO:0006396,0.9999592798875931,7.395409830498285e-5,45,659,RNA processing,BP,1,0.014113517275530145,under
GO:0050657,0.9999595309394352,1.9378874871100928e-4,4,146,nucleic acid transport,BP,1,0.030051759291880965,under
GO:0050658,0.9999595309394352,1.9378874871100928e-4,4,146,RNA transport,BP,1,0.030051759291880965,under
GO:0000956,0.9999595918443828,1.7143092543655974e-4,5,160,nuclear-transcribed mRNA catabolic process,BP,1,0.027308521386691646,under
GO:0006611,0.9999657076160506,1.9644729809478606e-4,3,129,protein export from nucleus,BP,1,0.030051759291880965,under
