gene,category
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04750
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04912
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04915
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04918
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04921
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04922
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04924
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04925
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04927
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04934
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04970
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04971
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko04972
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko05010
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko05167
Montipora_capitata_HIv3___RNAseq.g26689.t1,ko05205
Montipora_capitata_HIv3___TS.g9930.t1a,ko00030
Montipora_capitata_HIv3___TS.g9930.t1a,ko00260
Montipora_capitata_HIv3___TS.g9930.t1a,ko00561
Montipora_capitata_HIv3___TS.g9930.t1a,ko00630
Montipora_capitata_HIv3___TS.g9930.t1a,ko00680
Montipora_capitata_HIv3___TS.g9930.t1a,ko01100
Montipora_capitata_HIv3___TS.g9930.t1a,ko01120
Montipora_capitata_HIv3___TS.g9930.t1a,ko01130
Montipora_capitata_HIv3___TS.g9930.t1a,ko01200
Montipora_capitata_HIv3___TS.g9937.t1,ko04512
Montipora_capitata_HIv3___TS.g9937.t1,ko05410
Montipora_capitata_HIv3___TS.g9937.t1,ko05412
Montipora_capitata_HIv3___TS.g9937.t1,ko05414
Montipora_capitata_HIv3___TS.g9937.t1,ko05416
Montipora_capitata_HIv3___RNAseq.g26719.t1,ko00280
Montipora_capitata_HIv3___RNAseq.g26719.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g26719.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g26719.t1,ko01130
Montipora_capitata_HIv3___RNAseq.g26719.t1,ko05010
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko04137
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko04380
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko04916
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko05202
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko05211
Montipora_capitata_HIv3___RNAseq.g26720.t1,ko05218
Montipora_capitata_HIv3___RNAseq.g26722.t1,ko04722
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04022
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04270
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04540
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04611
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04713
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04730
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04921
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04924
Montipora_capitata_HIv3___RNAseq.g26733.t1,ko04970
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04022
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04270
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04540
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04611
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04713
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04730
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04921
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04924
Montipora_capitata_HIv3___RNAseq.g26734.t1,ko04970
Montipora_capitata_HIv3___RNAseq.g26749.t1,ko03010
Montipora_capitata_HIv3___RNAseq.g26753.t1,ko00562
Montipora_capitata_HIv3___RNAseq.g26753.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g26753.t1,ko04070
Montipora_capitata_HIv3___RNAseq.g26753.t1,ko04138
Montipora_capitata_HIv3___RNAseq.g26758.t1,ko03013
Montipora_capitata_HIv3___RNAseq.13310_t,ko00561
Montipora_capitata_HIv3___RNAseq.13310_t,ko01100
Montipora_capitata_HIv3___RNAseq.g26769.t1,ko04152
Montipora_capitata_HIv3___RNAseq.g26769.t1,ko04919
Montipora_capitata_HIv3___RNAseq.g26769.t1,ko04931
Montipora_capitata_HIv3___TS.g10032.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g26789.t1,ko03010
Montipora_capitata_HIv3___TS.g10038.t1,ko00531
Montipora_capitata_HIv3___TS.g10038.t1,ko01100
Montipora_capitata_HIv3___TS.g10038.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04014
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04015
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04218
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04390
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04392
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko04670
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko05206
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko05219
Montipora_capitata_HIv3___RNAseq.g26794.t1,ko05223
Montipora_capitata_HIv3___TS.g10041.t1,ko00340
Montipora_capitata_HIv3___TS.g10041.t1,ko01100
Montipora_capitata_HIv3___TS.g10041.t1,ko01110
Montipora_capitata_HIv3___TS.g10041.t1,ko01230
Montipora_capitata_HIv3___TS.g10043.t1,ko00130
Montipora_capitata_HIv3___TS.g10043.t1,ko01100
Montipora_capitata_HIv3___TS.g10043.t1,ko01110
Montipora_capitata_HIv3___TS.g10045.t1,ko00130
Montipora_capitata_HIv3___TS.g10045.t1,ko01100
Montipora_capitata_HIv3___TS.g10045.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g26803.t1,ko03018
Montipora_capitata_HIv3___RNAseq.g26806.t1,ko03410
Montipora_capitata_HIv3___RNAseq.g26806.t1,ko04140
Montipora_capitata_HIv3___RNAseq.g26806.t1,ko04217
Montipora_capitata_HIv3___RNAseq.g26807.t1,ko03410
Montipora_capitata_HIv3___RNAseq.g26807.t1,ko04140
Montipora_capitata_HIv3___RNAseq.g26807.t1,ko04217
Montipora_capitata_HIv3___RNAseq.g26819.t1,ko00310
Montipora_capitata_HIv3___TS.g10059.t1,ko00510
Montipora_capitata_HIv3___TS.g10059.t1,ko00513
Montipora_capitata_HIv3___TS.g10059.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g26820.t1,ko04974
Montipora_capitata_HIv3___RNAseq.g26842.t1,ko00970
Montipora_capitata_HIv3___TS.g10085.t1b,ko04340
Montipora_capitata_HIv3___RNAseq.g26845.t1,ko04340
Montipora_capitata_HIv3___TS.g10110.t1,ko00220
Montipora_capitata_HIv3___TS.g10110.t1,ko00250
Montipora_capitata_HIv3___TS.g10110.t1,ko00471
Montipora_capitata_HIv3___TS.g10110.t1,ko00910
Montipora_capitata_HIv3___TS.g10110.t1,ko01100
Montipora_capitata_HIv3___TS.g10110.t1,ko01200
Montipora_capitata_HIv3___TS.g10110.t1,ko04217
Montipora_capitata_HIv3___TS.g10110.t1,ko04964
Montipora_capitata_HIv3___RNAseq.g26867.t1,ko04213
Montipora_capitata_HIv3___RNAseq.g26872.t1,ko04380
Montipora_capitata_HIv3___TS.g10117.t2,ko04310
Montipora_capitata_HIv3___RNAseq.g26904.t1,ko04144
Montipora_capitata_HIv3___RNAseq.g26904.t1,ko04217
Montipora_capitata_HIv3___RNAseq.g26899.t1,ko03060
Montipora_capitata_HIv3___RNAseq.g26901.t1,ko03060
Montipora_capitata_HIv3___TS.g10151.t1,ko04711
Montipora_capitata_HIv3___RNAseq.g26909.t1,ko04711
Montipora_capitata_HIv3___RNAseq.g26974.t1,ko04068
Montipora_capitata_HIv3___RNAseq.g26976.t1,ko03015
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko03320
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04145
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04152
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04512
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04640
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04913
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04920
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04925
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04927
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04931
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04934
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04975
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04976
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04977
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko04979
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko05144
Montipora_capitata_HIv3___RNAseq.g26985.t1,ko05160
Montipora_capitata_HIv3___TS.g10262.t4,ko00230
Montipora_capitata_HIv3___TS.g10262.t4,ko04022
Montipora_capitata_HIv3___TS.g10262.t4,ko04740
Montipora_capitata_HIv3___TS.g10262.t4,ko04925
Montipora_capitata_HIv3___TS.g10262.t4,ko05032
Montipora_capitata_HIv3___RNAseq.g27008.t1,ko04110
Montipora_capitata_HIv3___RNAseq.g27008.t1,ko04114
Montipora_capitata_HIv3___RNAseq.g27008.t1,ko04914
Montipora_capitata_HIv3___RNAseq.g27008.t1,ko05100
Montipora_capitata_HIv3___RNAseq.g27008.t1,ko05131
Montipora_capitata_HIv3___RNAseq.g27012.t1,ko04110
Montipora_capitata_HIv3___RNAseq.g27012.t1,ko04114
Montipora_capitata_HIv3___RNAseq.g27012.t1,ko04914
Montipora_capitata_HIv3___RNAseq.g27012.t1,ko05100
Montipora_capitata_HIv3___RNAseq.g27012.t1,ko05131
Montipora_capitata_HIv3___RNAseq.g27047.t1,ko01523
Montipora_capitata_HIv3___RNAseq.g27047.t1,ko02010
Montipora_capitata_HIv3___RNAseq.g27047.t1,ko04024
Montipora_capitata_HIv3___RNAseq.g27047.t1,ko04976
Montipora_capitata_HIv3___RNAseq.g27044.t1,ko04141
Montipora_capitata_HIv3___RNAseq.g27044.t1,ko05134
Montipora_capitata_HIv3___TS.g10296.t1,ko01523
Montipora_capitata_HIv3___TS.g10296.t1,ko02010
Montipora_capitata_HIv3___TS.g10296.t1,ko04024
Montipora_capitata_HIv3___TS.g10296.t1,ko04976
Montipora_capitata_HIv3___TS.g10298.t1,ko01523
Montipora_capitata_HIv3___TS.g10298.t1,ko02010
Montipora_capitata_HIv3___TS.g10298.t1,ko04024
Montipora_capitata_HIv3___TS.g10298.t1,ko04976
Montipora_capitata_HIv3___TS.g10306.t1,ko00190
Montipora_capitata_HIv3___TS.g10306.t1,ko01100
Montipora_capitata_HIv3___TS.g10306.t1,ko04260
Montipora_capitata_HIv3___TS.g10306.t1,ko04714
Montipora_capitata_HIv3___TS.g10306.t1,ko04932
Montipora_capitata_HIv3___TS.g10306.t1,ko05010
Montipora_capitata_HIv3___TS.g10306.t1,ko05012
Montipora_capitata_HIv3___TS.g10306.t1,ko05016
Montipora_capitata_HIv3___TS.g10310.t1,ko04550
Montipora_capitata_HIv3___TS.g10310.t1,ko04950
Montipora_capitata_HIv3___RNAseq.g27063.t1,ko04015
Montipora_capitata_HIv3___RNAseq.g27063.t1,ko04510
Montipora_capitata_HIv3___RNAseq.g27063.t1,ko04810
Montipora_capitata_HIv3___RNAseq.g27063.t1,ko05100
Montipora_capitata_HIv3___RNAseq.g27063.t1,ko05131
Montipora_capitata_HIv3___RNAseq.g27074.t1,ko00760
Montipora_capitata_HIv3___RNAseq.g27074.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g27082.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g27082.t1,ko00983
Montipora_capitata_HIv3___RNAseq.g27082.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g27082.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g27086.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04015
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04022
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04024
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04062
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04071
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04261
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04360
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04371
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04540
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04611
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04670
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04713
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04723
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04724
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04725
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04726
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04727
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04728
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04730
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04914
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04915
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04916
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04921
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04923
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04924
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04926
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04934
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko04971
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05012
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05030
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05032
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05034
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05133
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05142
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05145
Montipora_capitata_HIv3___RNAseq.g27083.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g27095.t1,ko03015
Montipora_capitata_HIv3___TS.g10358.t2b,ko01521
Montipora_capitata_HIv3___TS.g10358.t2b,ko01522
Montipora_capitata_HIv3___TS.g10358.t2b,ko04010
Montipora_capitata_HIv3___TS.g10358.t2b,ko04012
Montipora_capitata_HIv3___TS.g10358.t2b,ko04013
Montipora_capitata_HIv3___TS.g10358.t2b,ko04014
Montipora_capitata_HIv3___TS.g10358.t2b,ko04015
Montipora_capitata_HIv3___TS.g10358.t2b,ko04022
Montipora_capitata_HIv3___TS.g10358.t2b,ko04024
Montipora_capitata_HIv3___TS.g10358.t2b,ko04062
Montipora_capitata_HIv3___TS.g10358.t2b,ko04068
Montipora_capitata_HIv3___TS.g10358.t2b,ko04071
Montipora_capitata_HIv3___TS.g10358.t2b,ko04072
Montipora_capitata_HIv3___TS.g10358.t2b,ko04140
Montipora_capitata_HIv3___TS.g10358.t2b,ko04150
Montipora_capitata_HIv3___TS.g10358.t2b,ko04151
Montipora_capitata_HIv3___TS.g10358.t2b,ko04210
Montipora_capitata_HIv3___TS.g10358.t2b,ko04214
Montipora_capitata_HIv3___TS.g10358.t2b,ko04218
Montipora_capitata_HIv3___TS.g10358.t2b,ko04270
Montipora_capitata_HIv3___TS.g10358.t2b,ko04320
Montipora_capitata_HIv3___TS.g10358.t2b,ko04360
Montipora_capitata_HIv3___TS.g10358.t2b,ko04370
Montipora_capitata_HIv3___TS.g10358.t2b,ko04371
Montipora_capitata_HIv3___TS.g10358.t2b,ko04510
Montipora_capitata_HIv3___TS.g10358.t2b,ko04514
Montipora_capitata_HIv3___TS.g10358.t2b,ko04520
Montipora_capitata_HIv3___TS.g10358.t2b,ko04540
Montipora_capitata_HIv3___TS.g10358.t2b,ko04550
Montipora_capitata_HIv3___TS.g10358.t2b,ko04630
Montipora_capitata_HIv3___TS.g10358.t2b,ko04650
Montipora_capitata_HIv3___TS.g10358.t2b,ko04660
Montipora_capitata_HIv3___TS.g10358.t2b,ko04662
Montipora_capitata_HIv3___TS.g10358.t2b,ko04664
Montipora_capitata_HIv3___TS.g10358.t2b,ko04666
Montipora_capitata_HIv3___TS.g10358.t2b,ko04720
Montipora_capitata_HIv3___TS.g10358.t2b,ko04722
Montipora_capitata_HIv3___TS.g10358.t2b,ko04726
Montipora_capitata_HIv3___TS.g10358.t2b,ko04730
Montipora_capitata_HIv3___TS.g10358.t2b,ko04810
Montipora_capitata_HIv3___TS.g10358.t2b,ko04910
Montipora_capitata_HIv3___TS.g10358.t2b,ko04912
Montipora_capitata_HIv3___TS.g10358.t2b,ko04914
Montipora_capitata_HIv3___TS.g10358.t2b,ko04915
Montipora_capitata_HIv3___TS.g10358.t2b,ko04916
Montipora_capitata_HIv3___TS.g10358.t2b,ko04917
Montipora_capitata_HIv3___TS.g10358.t2b,ko04919
Montipora_capitata_HIv3___TS.g10358.t2b,ko04921
Montipora_capitata_HIv3___TS.g10358.t2b,ko04926
Montipora_capitata_HIv3___TS.g10358.t2b,ko04931
Montipora_capitata_HIv3___TS.g10358.t2b,ko04934
Montipora_capitata_HIv3___TS.g10358.t2b,ko05034
Montipora_capitata_HIv3___TS.g10358.t2b,ko05152
Montipora_capitata_HIv3___TS.g10358.t2b,ko05160
Montipora_capitata_HIv3___TS.g10358.t2b,ko05161
Montipora_capitata_HIv3___TS.g10358.t2b,ko05164
Montipora_capitata_HIv3___TS.g10358.t2b,ko05165
Montipora_capitata_HIv3___TS.g10358.t2b,ko05167
Montipora_capitata_HIv3___TS.g10358.t2b,ko05200
Montipora_capitata_HIv3___TS.g10358.t2b,ko05205
Montipora_capitata_HIv3___TS.g10358.t2b,ko05206
Montipora_capitata_HIv3___TS.g10358.t2b,ko05210
Montipora_capitata_HIv3___TS.g10358.t2b,ko05211
Montipora_capitata_HIv3___TS.g10358.t2b,ko05212
Montipora_capitata_HIv3___TS.g10358.t2b,ko05213
Montipora_capitata_HIv3___TS.g10358.t2b,ko05214
Montipora_capitata_HIv3___TS.g10358.t2b,ko05215
Montipora_capitata_HIv3___TS.g10358.t2b,ko05216
Montipora_capitata_HIv3___TS.g10358.t2b,ko05218
Montipora_capitata_HIv3___TS.g10358.t2b,ko05219
Montipora_capitata_HIv3___TS.g10358.t2b,ko05220
Montipora_capitata_HIv3___TS.g10358.t2b,ko05221
Montipora_capitata_HIv3___TS.g10358.t2b,ko05223
Montipora_capitata_HIv3___TS.g10358.t2b,ko05224
Montipora_capitata_HIv3___TS.g10358.t2b,ko05225
Montipora_capitata_HIv3___TS.g10358.t2b,ko05226
Montipora_capitata_HIv3___TS.g10358.t2b,ko05230
Montipora_capitata_HIv3___TS.g10358.t2b,ko05231
Montipora_capitata_HIv3___TS.g10371.t1a,ko01522
Montipora_capitata_HIv3___TS.g10371.t1a,ko02010
Montipora_capitata_HIv3___TS.g10371.t1a,ko04976
Montipora_capitata_HIv3___TS.g10371.t1a,ko04979
Montipora_capitata_HIv3___TS.g10371.t1a,ko05206
Montipora_capitata_HIv3___TS.g10371.t1a,ko05226
Montipora_capitata_HIv3___RNAseq.g40377.t1,ko03050
Montipora_capitata_HIv3___RNAseq.g40386.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g40386.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g40386.t1,ko05340
Montipora_capitata_HIv3___RNAseq.g40389.t1,ko04530
Montipora_capitata_HIv3___TS.g46869.t1,ko04927
Montipora_capitata_HIv3___TS.g46869.t1,ko04934
Montipora_capitata_HIv3___TS.g46869.t1,ko05202
Montipora_capitata_HIv3___RNAseq.g40374.t1,ko04722
Montipora_capitata_HIv3___RNAseq.g40374.t1,ko05120
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04068
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04110
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04114
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04115
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04218
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko04914
Montipora_capitata_HIv3___RNAseq.g40376.t2,ko05166
Montipora_capitata_HIv3___RNAseq.g40399.t1,ko05168
Montipora_capitata_HIv3___RNAseq.g40399.t1,ko05203
Montipora_capitata_HIv3___RNAseq.g40411.t1,ko03022
Montipora_capitata_HIv3___RNAseq.g40411.t1,ko05169
Montipora_capitata_HIv3___RNAseq.g40411.t1,ko05203
Montipora_capitata_HIv3___RNAseq.13784_t,ko03008
Montipora_capitata_HIv3___TS.g46890.t3,ko03010
Montipora_capitata_HIv3___RNAseq.g40422.t1,ko04710
Montipora_capitata_HIv3___RNAseq.g40427.t1a,ko00790
Montipora_capitata_HIv3___RNAseq.g40427.t1a,ko01100
Montipora_capitata_HIv3___RNAseq.g40427.t1a,ko01523
Montipora_capitata_HIv3___TS.g46902.t1,ko00562
Montipora_capitata_HIv3___TS.g46902.t1,ko01100
Montipora_capitata_HIv3___TS.g46902.t1,ko04070
Montipora_capitata_HIv3___RNAseq.g40428.t1,ko03013
Montipora_capitata_HIv3___RNAseq.g40428.t1,ko03015
Montipora_capitata_HIv3___RNAseq.g40428.t1,ko03040
Montipora_capitata_HIv3___RNAseq.g40428.t1,ko05164
Montipora_capitata_HIv3___RNAseq.g40429.t1,ko00270
Montipora_capitata_HIv3___RNAseq.g40429.t1,ko00340
Montipora_capitata_HIv3___RNAseq.g40436.t1,ko04110
Montipora_capitata_HIv3___RNAseq.g40436.t1,ko04111
Montipora_capitata_HIv3___RNAseq.g40436.t1,ko05166
Montipora_capitata_HIv3___RNAseq.g40457.t1,ko00563
Montipora_capitata_HIv3___RNAseq.g40457.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko00230
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko00240
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko00730
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko00983
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g40458.t1,ko01130
Montipora_capitata_HIv3___TS.g46950.t2,ko00534
Montipora_capitata_HIv3___TS.g46952.t2,ko00592
Montipora_capitata_HIv3___TS.g46952.t2,ko01110
Montipora_capitata_HIv3___RNAseq.g40476.t1,ko04146
Montipora_capitata_HIv3___RNAseq.g40477.t1,ko00510
Montipora_capitata_HIv3___RNAseq.g40485.t1,ko00510
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04010
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04064
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04071
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04141
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04210
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04217
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04380
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04620
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04621
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04622
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04657
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04668
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04920
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko04932
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05160
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05165
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05167
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05168
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05169
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05203
Montipora_capitata_HIv3___RNAseq.g40502.t1,ko05222
Montipora_capitata_HIv3___TS.g47023.t1,ko04010
Montipora_capitata_HIv3___TS.g47023.t1,ko04064
Montipora_capitata_HIv3___TS.g47023.t1,ko04071
Montipora_capitata_HIv3___TS.g47023.t1,ko04141
Montipora_capitata_HIv3___TS.g47023.t1,ko04210
Montipora_capitata_HIv3___TS.g47023.t1,ko04217
Montipora_capitata_HIv3___TS.g47023.t1,ko04380
Montipora_capitata_HIv3___TS.g47023.t1,ko04620
Montipora_capitata_HIv3___TS.g47023.t1,ko04621
Montipora_capitata_HIv3___TS.g47023.t1,ko04622
Montipora_capitata_HIv3___TS.g47023.t1,ko04657
Montipora_capitata_HIv3___TS.g47023.t1,ko04668
Montipora_capitata_HIv3___TS.g47023.t1,ko04920
Montipora_capitata_HIv3___TS.g47023.t1,ko04932
Montipora_capitata_HIv3___TS.g47023.t1,ko05160
Montipora_capitata_HIv3___TS.g47023.t1,ko05165
Montipora_capitata_HIv3___TS.g47023.t1,ko05167
Montipora_capitata_HIv3___TS.g47023.t1,ko05168
Montipora_capitata_HIv3___TS.g47023.t1,ko05169
Montipora_capitata_HIv3___TS.g47023.t1,ko05200
Montipora_capitata_HIv3___TS.g47023.t1,ko05203
Montipora_capitata_HIv3___TS.g47023.t1,ko05222
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04010
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04064
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04071
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04141
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04210
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04217
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04380
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04620
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04621
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04622
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04657
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04668
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04920
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko04932
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05160
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05165
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05167
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05168
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05169
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05203
Montipora_capitata_HIv3___RNAseq.g40579.t1,ko05222
Montipora_capitata_HIv3___TS.g47027.t2,ko04010
Montipora_capitata_HIv3___TS.g47027.t2,ko04064
Montipora_capitata_HIv3___TS.g47027.t2,ko04071
Montipora_capitata_HIv3___TS.g47027.t2,ko04141
Montipora_capitata_HIv3___TS.g47027.t2,ko04210
Montipora_capitata_HIv3___TS.g47027.t2,ko04217
Montipora_capitata_HIv3___TS.g47027.t2,ko04380
