gene,category
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko04919
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05161
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05166
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05167
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05169
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05200
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05202
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05205
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05206
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05210
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05213
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05216
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05219
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05220
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05221
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05222
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05224
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05225
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05226
Montipora_capitata_HIv3___RNAseq.g4744.t1,ko05230
Montipora_capitata_HIv3___RNAseq.g4756.t1,ko00512
Montipora_capitata_HIv3___RNAseq.g4756.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4752.t1,ko03013
Montipora_capitata_HIv3___RNAseq.g4752.t1,ko04064
Montipora_capitata_HIv3___RNAseq.g4752.t1,ko04120
Montipora_capitata_HIv3___RNAseq.g4752.t1,ko05206
Montipora_capitata_HIv3___TS.g26463.t2,ko00513
Montipora_capitata_HIv3___TS.g26463.t2,ko01100
Montipora_capitata_HIv3___RNAseq.g4782.t1b,ko00531
Montipora_capitata_HIv3___RNAseq.g4782.t1b,ko01100
Montipora_capitata_HIv3___RNAseq.g4782.t1b,ko04142
Montipora_capitata_HIv3___RNAseq.g4780.t1,ko03420
Montipora_capitata_HIv3___RNAseq.g4780.t1,ko04120
Montipora_capitata_HIv3___RNAseq.g4780.t1,ko05161
Montipora_capitata_HIv3___RNAseq.g4780.t1,ko05203
Montipora_capitata_HIv3___RNAseq.g4781.t1,ko00531
Montipora_capitata_HIv3___RNAseq.g4781.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4781.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g4796.t2,ko00330
Montipora_capitata_HIv3___RNAseq.g4796.t2,ko00340
Montipora_capitata_HIv3___RNAseq.g4796.t2,ko00410
Montipora_capitata_HIv3___RNAseq.g4796.t2,ko01100
Montipora_capitata_HIv3___TS.g26488.t2,ko04150
Montipora_capitata_HIv3___TS.g26488.t2,ko04310
Montipora_capitata_HIv3___TS.g26488.t2,ko05200
Montipora_capitata_HIv3___TS.g26488.t2,ko05224
Montipora_capitata_HIv3___TS.g26488.t2,ko05225
Montipora_capitata_HIv3___TS.g26488.t2,ko05226
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko04150
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko04310
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko05200
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko05224
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko05225
Montipora_capitata_HIv3___RNAseq.g4795.t2,ko05226
Montipora_capitata_HIv3___TS.g26523.t2,ko03015
Montipora_capitata_HIv3___TS.g26523.t2,ko04970
Montipora_capitata_HIv3___TS.g26534.t1b,ko00970
Montipora_capitata_HIv3___RNAseq.g4838.t1,ko00562
Montipora_capitata_HIv3___RNAseq.g4838.t1,ko04070
Montipora_capitata_HIv3___RNAseq.g4838.t1,ko04810
Montipora_capitata_HIv3___TS.g26537.t3,ko04927
Montipora_capitata_HIv3___TS.g26537.t3,ko04934
Montipora_capitata_HIv3___RNAseq.g4841.t1,ko03040
Montipora_capitata_HIv3___TS.g26540.t1,ko05230
Montipora_capitata_HIv3___RNAseq.g4858.t1,ko04080
Montipora_capitata_HIv3___RNAseq.g4858.t1,ko04610
Montipora_capitata_HIv3___RNAseq.g4858.t1,ko05150
Montipora_capitata_HIv3___RNAseq.g4858.t1,ko05164
Montipora_capitata_HIv3___RNAseq.g4887.t1,ko00564
Montipora_capitata_HIv3___RNAseq.g4887.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4887.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g4891.t1,ko00100
Montipora_capitata_HIv3___RNAseq.g4891.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4891.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g4901.t1,ko00310
Montipora_capitata_HIv3___RNAseq.g4924.t1,ko04022
Montipora_capitata_HIv3___RNAseq.g4924.t1,ko04080
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko00511
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko00513
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko04120
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko04144
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko04340
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko04341
Montipora_capitata_HIv3___RNAseq.g4923.t1,ko04350
Montipora_capitata_HIv3___TS.g26618.t3,ko00564
Montipora_capitata_HIv3___TS.g26618.t3,ko01100
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko00190
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko04714
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko04723
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko04932
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko05010
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko05012
Montipora_capitata_HIv3___RNAseq.g4919.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g4931.t1,ko03010
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko00440
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko00564
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko00565
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g4936.t1,ko05231
Montipora_capitata_HIv3___TS.g26688.t1a,ko04218
Montipora_capitata_HIv3___RNAseq.g5011.t1,ko04068
Montipora_capitata_HIv3___RNAseq.g5011.t1,ko04922
Montipora_capitata_HIv3___RNAseq.g4982.t1,ko00532
Montipora_capitata_HIv3___RNAseq.g4982.t1,ko00534
Montipora_capitata_HIv3___RNAseq.g4982.t1,ko01100
Montipora_capitata_HIv3___TS.g26690.t1,ko04080
Montipora_capitata_HIv3___TS.g26690.t1,ko04926
Montipora_capitata_HIv3___RNAseq.476_t,ko04010
Montipora_capitata_HIv3___RNAseq.476_t,ko04022
Montipora_capitata_HIv3___RNAseq.476_t,ko04137
Montipora_capitata_HIv3___RNAseq.476_t,ko04141
Montipora_capitata_HIv3___RNAseq.476_t,ko04151
Montipora_capitata_HIv3___RNAseq.476_t,ko04210
Montipora_capitata_HIv3___RNAseq.476_t,ko04211
Montipora_capitata_HIv3___RNAseq.476_t,ko04212
Montipora_capitata_HIv3___RNAseq.476_t,ko04214
Montipora_capitata_HIv3___RNAseq.476_t,ko04261
Montipora_capitata_HIv3___RNAseq.476_t,ko04668
Montipora_capitata_HIv3___RNAseq.476_t,ko04720
Montipora_capitata_HIv3___RNAseq.476_t,ko04722
Montipora_capitata_HIv3___RNAseq.476_t,ko04725
Montipora_capitata_HIv3___RNAseq.476_t,ko04728
Montipora_capitata_HIv3___RNAseq.476_t,ko04911
Montipora_capitata_HIv3___RNAseq.476_t,ko04912
Montipora_capitata_HIv3___RNAseq.476_t,ko04915
Montipora_capitata_HIv3___RNAseq.476_t,ko04918
Montipora_capitata_HIv3___RNAseq.476_t,ko04922
Montipora_capitata_HIv3___RNAseq.476_t,ko04925
Montipora_capitata_HIv3___RNAseq.476_t,ko04926
Montipora_capitata_HIv3___RNAseq.476_t,ko04927
Montipora_capitata_HIv3___RNAseq.476_t,ko04932
Montipora_capitata_HIv3___RNAseq.476_t,ko04934
Montipora_capitata_HIv3___RNAseq.476_t,ko05030
Montipora_capitata_HIv3___RNAseq.476_t,ko05031
Montipora_capitata_HIv3___RNAseq.476_t,ko05034
Montipora_capitata_HIv3___RNAseq.476_t,ko05161
Montipora_capitata_HIv3___RNAseq.476_t,ko05166
Montipora_capitata_HIv3___RNAseq.476_t,ko05203
Montipora_capitata_HIv3___RNAseq.476_t,ko05215
Montipora_capitata_HIv3___RNAseq.g5004.t1,ko00564
Montipora_capitata_HIv3___RNAseq.g5004.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g5005.t1,ko05016
Montipora_capitata_HIv3___RNAseq.g5006.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g5006.t1,ko05205
Montipora_capitata_HIv3___RNAseq.g5007.t1,ko05034
Montipora_capitata_HIv3___RNAseq.g5007.t1,ko05165
Montipora_capitata_HIv3___RNAseq.g5007.t1,ko05203
Montipora_capitata_HIv3___RNAseq.g5017.t1,ko03013
Montipora_capitata_HIv3___RNAseq.g5017.t1,ko05416
Montipora_capitata_HIv3___RNAseq.g5036.t1,ko03450
Montipora_capitata_HIv3___RNAseq.g5032.t1,ko03013
Montipora_capitata_HIv3___RNAseq.g5033.t1,ko05165
Montipora_capitata_HIv3___RNAseq.g5033.t1,ko05203
