category,universegenes,universecount
GO:0003310,,5
GO:0003311,,2
GO:0003313,,1
GO:0003314,,1
GO:0003315,,1
GO:0003318,,1
GO:0003319,,1
GO:0003322,,3
GO:0003323,,10
GO:0003324,,1
GO:0003330,,3
GO:0003331,,2
GO:0003333,,29
GO:0003334,,1
GO:0003338,,3
GO:0003339,,1
GO:0003340,,1
GO:0003341,,66
GO:0003344,,9
GO:0003347,,6
GO:0003348,,4
GO:0003349,,2
GO:0003350,,1
GO:0003351,,28
GO:0003352,,15
GO:0003353,,1
GO:0003356,,11
GO:0003357,,2
GO:0003360,,2
GO:0003363,,1
GO:0003365,,3
GO:0003366,,1
GO:0003371,,3
GO:0003373,,3
GO:0003374,,3
GO:0003376,,3
GO:0003379,,3
GO:0003380,,3
GO:0003381,,7
GO:0003382,,30
GO:0003383,,13
GO:0003384,,7
GO:0003386,,2
GO:0003387,,1
GO:0003388,,1
GO:0003389,,1
GO:0003390,,1
GO:0003391,,1
GO:0003399,,2
GO:0003400,,3
GO:0003401,,15
GO:0003402,,1
GO:0003404,,2
GO:0003406,,8
GO:0003407,,43
GO:0003408,,6
GO:0003413,,6
GO:0003415,,4
GO:0003416,,13
GO:0003417,,8
GO:0003418,,4
GO:0003420,,3
GO:0003422,,1
GO:0003428,,1
GO:0003430,,2
GO:0003431,,3
GO:0003433,,3
GO:0003674,,5752
GO:0003676,,1141
GO:0003677,,611
GO:0003678,,39
GO:0003680,,5
GO:0003681,,4
GO:0003682,,318
GO:0003684,,42
GO:0003688,,15
GO:0003689,,1
GO:0003690,,303
GO:0003691,,2
GO:0003696,,6
GO:0003697,,74
GO:0003700,,320
GO:0003705,,47
GO:0003707,,6
GO:0003708,,1
GO:0003712,,270
GO:0003713,,169
GO:0003714,,88
GO:0003720,,2
GO:0003723,,626
GO:0003724,,71
GO:0003725,,51
GO:0003726,,4
GO:0003727,,76
GO:0003729,,208
GO:0003730,,48
GO:0003735,,118
GO:0003743,,44
GO:0003746,,12
GO:0003747,,4
GO:0003755,,23
GO:0003756,,18
GO:0003774,,80
GO:0003777,,59
GO:0003779,,145
GO:0003785,,11
GO:0003810,,2
GO:0003823,,11
GO:0003824,,3002
GO:0003826,,1
GO:0003827,,1
GO:0003831,,2
GO:0003834,,1
GO:0003837,,2
GO:0003839,,1
GO:0003841,,14
GO:0003842,,1
GO:0003844,,1
GO:0003845,,1
GO:0003846,,1
GO:0003847,,3
GO:0003854,,1
GO:0003857,,6
GO:0003858,,1
GO:0003860,,1
GO:0003863,,4
GO:0003865,,2
GO:0003867,,1
GO:0003868,,1
GO:0003870,,1
GO:0003872,,1
