category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust,gene,pattern
ko04142,0.20928518140328248,0.9266034295855443,3,150,1,Montipora_capitata_HIv3___RNAseq.g19248.t1,3
ko05217,0.20969662373463632,0.9774097315143914,1,23,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko03430,0.22293930658542593,0.974326669710019,1,23,1,Montipora_capitata_HIv3___RNAseq.g39730.t1,1
ko04550,0.22473090006876684,0.9398349969058959,2,83,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko04550,0.22473090006876684,0.9398349969058959,2,83,1,Montipora_capitata_HIv3___RNAseq.g35580.t1,1
ko00980,0.23646145804093016,0.9708152418352263,1,26,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko05222,0.23911910230473638,0.9333654280062881,2,87,1,Montipora_capitata_HIv3___RNAseq.g43906.t1,3
ko05222,0.23911910230473638,0.9333654280062881,2,87,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko00982,0.27200891637055474,0.9605675403869636,1,31,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko03020,0.2835285436009467,0.9569442797295945,1,31,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko04215,0.28469243001822386,0.9565277823374169,1,32,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04623,0.2885068228512632,0.9552813321543443,1,32,1,Montipora_capitata_HIv3___RNAseq.g38474.t1,3
ko04210,0.2890889589390709,0.9087043885774494,2,101,1,Montipora_capitata_HIv3___RNAseq.g41261.t1,1
ko04210,0.2890889589390709,0.9087043885774494,2,101,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko00970,0.2903742657466575,0.9547507836894813,1,30,1,Montipora_capitata_HIv3___RNAseq.g44142.t1,2
ko04330,0.2937651094924003,0.9535303713100542,1,32,1,Montipora_capitata_HIv3___RNAseq.g17086.t1,1
ko05225,0.29716875803790266,0.9044104837272902,2,102,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko05225,0.29716875803790266,0.9044104837272902,2,102,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko04011,0.31616342617781434,0.945508688758842,1,35,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,1
ko05213,0.3205833428612177,0.943786026771266,1,37,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko03022,0.3255817991435999,0.9418529699631405,1,38,1,Montipora_capitata_HIv3___RNAseq.g5394.t1,1
ko03440,0.3382215432113897,0.9369335912921994,1,37,1,Montipora_capitata_HIv3___TS.g29264.t2,3
ko04350,0.33949209498136973,0.9363819646419519,1,38,1,Montipora_capitata_HIv3___RNAseq.g24646.t1,1
ko04216,0.3452850794756591,0.9339796220865719,1,39,1,Montipora_capitata_HIv3___RNAseq.g48280.t1,1
ko05204,0.34610816792435517,0.9335659138475407,1,41,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko05416,0.3465707342916309,0.9334481659381271,1,39,1,Montipora_capitata_HIv3___TS.g15697.t1,1
ko00250,0.3472952047836869,0.933147596265804,1,39,1,Montipora_capitata_HIv3___RNAseq.g33790.t1,3
ko05134,0.3541863302540361,0.9301718570113277,1,41,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko05146,0.3542150402147045,0.9302784666387209,1,38,1,Montipora_capitata_HIv3___RNAseq.g35029.t1,1
ko05014,0.3700142609352214,0.9231211142748069,1,44,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko03030,0.3751206209263778,0.9208330458890064,1,43,1,Montipora_capitata_HIv3___RNAseq.g6929.t1,2
ko00270,0.40372032675190206,0.9068235628987156,1,49,1,Montipora_capitata_HIv3___RNAseq.g48280.t1,1
ko05166,0.40538079799503157,0.8380475725884605,2,129,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko05166,0.40538079799503157,0.8380475725884605,2,129,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko04810,0.40709621520510375,0.8369193342363181,2,124,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko04810,0.40709621520510375,0.8369193342363181,2,124,1,Montipora_capitata_HIv3___TS.g5110.t1,3
