category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0019377,1.9472873973869708e-4,0.99999896175699,2,11,glycolipid catabolic process,BP,1,1
GO:0016139,2.6756378175174836e-4,0.999998302222355,2,12,glycoside catabolic process,BP,1,1
GO:0046466,5.915518483210024e-4,0.9999941172017632,2,18,membrane lipid catabolic process,BP,1,1
GO:0016137,7.108205421536643e-4,0.9999922050665528,2,19,glycoside metabolic process,BP,1,1
GO:0007381,0.00130713190105441,1,1,1,"specification of segmental identity, labial segment",BP,1,1
GO:0035271,0.00130713190105441,1,1,1,ring gland development,BP,1,1
GO:0097066,0.0013383393786011912,0.9999792989044322,2,26,response to thyroid hormone,BP,1,1
GO:1901658,0.0015000803884223015,0.9999753039932249,2,28,glycosyl compound catabolic process,BP,1,1
GO:0002154,0.0023843707736546245,1,1,1,thyroid hormone receptor signaling pathway,BP,1,1
GO:0060745,0.0023843707736546245,1,1,1,mammary gland branching involved in pregnancy,BP,1,1
GO:0060750,0.0023843707736546245,1,1,1,epithelial cell proliferation involved in mammary gland duct elongation,BP,1,1
GO:0060751,0.0023843707736546245,1,1,1,branch elongation involved in mammary gland duct branching,BP,1,1
GO:0006680,0.0029427421947956574,0.9999979186485967,1,2,glucosylceramide catabolic process,BP,1,1
GO:0051971,0.0029427421947956574,0.9999979186485967,1,2,positive regulation of transmission of nerve impulse,BP,1,1
GO:1901804,0.0029427421947956574,0.9999979186485967,1,2,beta-glucoside metabolic process,BP,1,1
GO:1901805,0.0029427421947956574,0.9999979186485967,1,2,beta-glucoside catabolic process,BP,1,1
GO:1904457,0.0029427421947956574,0.9999979186485967,1,2,positive regulation of neuronal action potential,BP,1,1
GO:0000160,0.0036244069472025327,1,1,1,phosphorelay signal transduction system,BP,1,1
GO:2001214,0.003659345600266762,0.999996780339544,1,2,positive regulation of vasculogenesis,BP,1,1
GO:0006590,0.0036885104859405676,0.9999967287640663,1,2,thyroid hormone generation,BP,1,1
GO:0070050,0.003711970040039979,0.9999014354541675,2,39,neuron cellular homeostasis,BP,1,1
GO:0007380,0.0041629419760111685,0.9999944441300683,1,3,"specification of segmental identity, head",BP,1,1
GO:0015828,0.004198618316114627,1,1,1,tyrosine transport,BP,1,1
GO:0042695,0.0043417379259825285,0.9999954659635628,1,2,thelarche,BP,1,1
GO:0060744,0.0043417379259825285,0.9999954659635628,1,2,mammary gland branching involved in thelarche,BP,1,1
GO:0042264,0.004394336540049199,0.9999953553141828,1,2,peptidyl-aspartic acid hydroxylation,BP,1,1
GO:0048822,0.004397513365303948,0.999995348588422,1,2,enucleate erythrocyte development,BP,1,1
GO:0070318,0.0050794849731973166,0.999991724860417,1,3,positive regulation of G0 to G1 transition,BP,1,1
GO:0045760,0.005614225728631687,0.9999886262055077,1,4,positive regulation of action potential,BP,1,1
GO:0060332,0.006279004793090765,0.9999905075418303,1,2,positive regulation of response to type II interferon,BP,1,1
GO:0060335,0.006279004793090765,0.9999905075418303,1,2,positive regulation of type II interferon-mediated signaling pathway,BP,1,1
GO:0000122,0.006733603744614101,0.9991342611050962,4,368,negative regulation of transcription by RNA polymerase II,BP,1,1
GO:0035289,0.006765123393143091,0.9999823773066512,1,5,posterior head segmentation,BP,1,1
GO:0006664,0.006801710529507533,0.9997492020526423,2,68,glycolipid metabolic process,BP,1,1
GO:0015801,0.006924215579509441,0.9999846096294764,1,3,aromatic amino acid transport,BP,1,1
GO:1903509,0.006941269632729117,0.9997412721573568,2,69,liposaccharide metabolic process,BP,1,1
GO:2001212,0.006996922407217111,0.9999842841925418,1,3,regulation of vasculogenesis,BP,1,1
GO:0043353,0.007046782072406199,0.9999840590453654,1,3,enucleate erythrocyte differentiation,BP,1,1
GO:0051241,0.007085940487455765,0.9988094103124739,5,535,negative regulation of multicellular organismal process,BP,1,1
GO:2000347,0.007418320021853544,0.9999801263386949,1,4,positive regulation of hepatocyte proliferation,BP,1,1
GO:0018958,0.008161246465880212,0.9996711998113829,2,54,phenol-containing compound metabolic process,BP,1,1
GO:0033601,0.008478559502451966,0.9999769077716961,1,3,positive regulation of mammary gland epithelial cell proliferation,BP,1,1
GO:0046543,0.008530003829955059,0.9999737109057405,1,4,development of secondary female sexual characteristics,BP,1,1
GO:0006678,0.008562568162138524,0.9999717475939772,1,5,glucosylceramide metabolic process,BP,1,1
GO:0042306,0.008595224729446982,0.9996431386450538,2,61,regulation of protein import into nucleus,BP,1,1
GO:0035287,0.00883695481346094,0.9999686536665707,1,6,head segmentation,BP,1,1
GO:0006432,0.008977983331243836,0.9999708714007726,1,4,phenylalanyl-tRNA aminoacylation,BP,1,1
GO:0006702,0.009385951149454168,0.9999646299956941,1,6,androgen biosynthetic process,BP,1,1
GO:0045136,0.009837789922716141,0.9999626857817439,1,5,development of secondary sexual characteristics,BP,1,1
GO:0023021,0.009846763533716272,0.9999626175373012,1,5,termination of signal transduction,BP,1,1
GO:1904589,0.009975854803716329,0.9995513375603211,2,68,regulation of protein import,BP,1,1
GO:0006351,0.01004465115423001,0.9985487691713042,4,421,DNA-templated transcription,BP,1,1
GO:0042403,0.010078810624891384,0.9999592038065027,1,6,thyroid hormone metabolic process,BP,1,1
GO:0018202,0.01023287054749279,0.9999596218787354,1,5,peptidyl-histidine modification,BP,1,1
GO:0098908,0.010475083255471687,0.9999576834553908,1,5,regulation of neuronal action potential,BP,1,1
GO:0032774,0.010710572724845368,0.9984230379169869,4,429,RNA biosynthetic process,BP,1,1
GO:1904350,0.010887444938890257,0.9999542783134185,1,5,regulation of protein catabolic process in the vacuole,BP,1,1
GO:1905165,0.010887444938890257,0.9999542783134185,1,5,regulation of lysosomal protein catabolic process,BP,1,1
GO:0033598,0.010895909674134225,0.9999542070281796,1,5,mammary gland epithelial cell proliferation,BP,1,1
GO:0035729,0.011195530047354445,0.9999482056784833,1,7,cellular response to hepatocyte growth factor stimulus,BP,1,1
GO:0042438,0.011228107806806834,0.9999543961294047,1,4,melanin biosynthetic process,BP,1,1
GO:0050680,0.01136930416141009,0.9994537579996698,2,62,negative regulation of epithelial cell proliferation,BP,1,1
GO:0035050,0.01173485045124919,0.9994247198394528,2,73,embryonic heart tube development,BP,1,1
GO:1903059,0.0118801736338184,0.9999455376112931,1,5,regulation of protein lipidation,BP,1,1
GO:1903061,0.0118801736338184,0.9999455376112931,1,5,positive regulation of protein lipidation,BP,1,1
GO:1905168,0.01225577656352272,0.9999456417751426,1,4,positive regulation of double-strand break repair via homologous recombination,BP,1,1
GO:2000345,0.012309348689962203,0.9999390931526193,1,6,regulation of hepatocyte proliferation,BP,1,1
GO:0006670,0.012335463636007743,0.999937092626538,1,7,sphingosine metabolic process,BP,1,1
GO:0046512,0.012335463636007743,0.999937092626538,1,7,sphingosine biosynthetic process,BP,1,1
GO:0046520,0.012335463636007743,0.999937092626538,1,7,sphingoid biosynthetic process,BP,1,1
GO:0051969,0.012339416111206992,0.9999387944902752,1,6,regulation of transmission of nerve impulse,BP,1,1
GO:0010897,0.012633542703425536,0.9999340077943968,1,7,negative regulation of triglyceride catabolic process,BP,1,1
GO:0035728,0.012936095938714018,0.9999293647982578,1,8,response to hepatocyte growth factor,BP,1,1
GO:0035108,0.013118638568039527,0.9993192806555402,2,68,limb morphogenesis,BP,1,1
GO:0018197,0.013292753085439082,0.99992894409932,1,6,peptidyl-aspartic acid modification,BP,1,1
GO:0050747,0.013456092942461287,0.9999271822606306,1,6,positive regulation of lipoprotein metabolic process,BP,1,1
GO:2000535,0.013608944487492208,0.9999284820317922,1,5,regulation of entry of bacterium into host cell,BP,1,1
GO:0060348,0.013926248998898154,0.9992514489928579,2,83,bone development,BP,1,1
GO:0003406,0.01454056311826444,0.9999106999773304,1,8,retinal pigment epithelium development,BP,1,1
GO:0046477,0.014640736781316367,0.9999094617441717,1,8,glycosylceramide catabolic process,BP,1,1
GO:0046479,0.014640736781316367,0.9999094617441717,1,8,glycosphingolipid catabolic process,BP,1,1
GO:0046514,0.014640736781316367,0.9999094617441717,1,8,ceramide catabolic process,BP,1,1
GO:0035264,0.014928105265338436,0.9991681537811818,2,81,multicellular organism growth,BP,1,1
GO:0043137,0.015265831077986253,0.999903541473223,1,7,"DNA replication, removal of RNA primer",BP,1,1
GO:0070562,0.015339387678231507,0.9999005872957173,1,8,regulation of vitamin D receptor signaling pathway,BP,1,1
GO:0033148,0.015345638722942558,0.9999025271781292,1,7,positive regulation of intracellular estrogen receptor signaling pathway,BP,1,1
GO:0045663,0.015597117490476422,0.9998972081562427,1,8,positive regulation of myoblast differentiation,BP,1,1
GO:0022410,0.015616800895538414,0.9998969477482227,1,8,circadian sleep/wake cycle process,BP,1,1
GO:0050802,0.015616800895538414,0.9998969477482227,1,8,"circadian sleep/wake cycle, sleep",BP,1,1
GO:0043589,0.015836490199476888,0.9998961714328625,1,7,skin morphogenesis,BP,1,1
GO:0033504,0.015902203585306793,0.999898199951603,1,6,floor plate development,BP,1,1
GO:0043588,0.016836149358059993,0.9989994562058017,2,86,skin development,BP,1,1
GO:0031442,0.01709547549089102,0.9998729254212755,1,10,positive regulation of mRNA 3'-end processing,BP,1,1
GO:0032463,0.017095916093876694,0.9998764304387627,1,8,negative regulation of protein homooligomerization,BP,1,1
GO:0035357,0.01746643129715809,0.999877109097009,1,6,peroxisome proliferator activated receptor signaling pathway,BP,1,1
GO:0042745,0.01748496375845483,0.9998686816232684,1,9,circadian sleep/wake cycle,BP,1,1
GO:0046519,0.017633714347818193,0.9998647696616006,1,10,sphingoid metabolic process,BP,1,1
GO:0045618,0.017708611778248236,0.9998652890365932,1,9,positive regulation of keratinocyte differentiation,BP,1,1
GO:0033567,0.01813642603016981,0.9998608739065548,1,8,"DNA replication, Okazaki fragment processing",BP,1,1
GO:0060173,0.018288261490270637,0.9988653395418942,2,83,limb development,BP,1,1
GO:0006643,0.018324952237797766,0.9988572251388665,2,108,membrane lipid metabolic process,BP,1,1
GO:0006004,0.01832894130112746,0.9998511665816734,1,12,fucose metabolic process,BP,1,1
GO:1901136,0.018399830280573598,0.9988506746039212,2,104,carbohydrate derivative catabolic process,BP,1,1
GO:1900180,0.018764647419460285,0.9988176135334593,2,93,regulation of protein localization to nucleus,BP,1,1
GO:0033599,0.01892204528868225,0.9998485127332343,1,8,regulation of mammary gland epithelial cell proliferation,BP,1,1
GO:1901657,0.01892254014500128,0.998801232323897,2,99,glycosyl compound metabolic process,BP,1,1
GO:0010839,0.019166996652177692,0.999851911239022,1,6,negative regulation of keratinocyte proliferation,BP,1,1
GO:0042789,0.01946033324502492,0.9998372086532208,1,9,mRNA transcription by RNA polymerase II,BP,1,1
GO:0060602,0.019984923194631153,0.9998261454656513,1,10,branch elongation of an epithelium,BP,1,1
GO:0090209,0.02026275975144808,0.9998179701754886,1,12,negative regulation of triglyceride metabolic process,BP,1,1
GO:0034312,0.020386913479094677,0.9998157239658045,1,12,diol biosynthetic process,BP,1,1
GO:0045606,0.020428155987097883,0.9998183171930038,1,10,positive regulation of epidermal cell differentiation,BP,1,1
GO:0045787,0.02046163165238809,0.9973889204821098,3,264,positive regulation of cell cycle,BP,1,1
GO:0060330,0.02059787147644518,0.9998175396806364,1,9,regulation of response to type II interferon,BP,1,1
GO:0060334,0.02059787147644518,0.9998175396806364,1,9,regulation of type II interferon-mediated signaling pathway,BP,1,1
GO:0009059,0.020600590317820754,0.9947956969171186,6,1096,macromolecule biosynthetic process,BP,1,1
GO:0003222,0.020783146596314916,0.9998171132617915,1,8,ventricular trabecula myocardium morphogenesis,BP,1,1
GO:0032462,0.02095617313786404,0.9998068458532556,1,11,regulation of protein homooligomerization,BP,1,1
GO:0045892,0.020974623374680212,0.9962225508128011,4,506,negative regulation of DNA-templated transcription,BP,1,1
GO:0030219,0.021640626724729488,0.9997960146713755,1,10,megakaryocyte differentiation,BP,1,1
GO:0035855,0.021640626724729488,0.9997960146713755,1,10,megakaryocyte development,BP,1,1
GO:0009725,0.021685581359660408,0.996055423522454,4,482,response to hormone,BP,1,1
GO:0060444,0.02212609004885257,0.9997867199422444,1,10,branching involved in mammary gland duct morphogenesis,BP,1,1
GO:0035107,0.022266285507624595,0.9970666849581173,3,256,appendage morphogenesis,BP,1,1
GO:1902679,0.022499204206878842,0.9958599190559473,4,517,negative regulation of RNA biosynthetic process,BP,1,1
GO:0007362,0.0227128985785115,0.9997779616097946,1,9,terminal region determination,BP,1,1
GO:0050995,0.023092259823105837,0.9997633280818368,1,12,negative regulation of lipid catabolic process,BP,1,1
GO:0001961,0.023454809972922572,0.9997558044225628,1,12,positive regulation of cytokine-mediated signaling pathway,BP,1,1
GO:0030224,0.02370115364185916,0.9997581255802325,1,9,monocyte differentiation,BP,1,1
GO:1903131,0.02370115364185916,0.9997581255802325,1,9,mononuclear cell differentiation,BP,1,1
GO:0045684,0.023728666598300363,0.9997500425816067,1,12,positive regulation of epidermis development,BP,1,1
GO:0000578,0.024433269426661585,0.9982251130517774,2,107,embryonic axis specification,BP,1,1
GO:0032460,0.024679872245225692,0.9997343825473549,1,10,negative regulation of protein oligomerization,BP,1,1
GO:0046189,0.024763125426400374,0.9997358548930084,1,9,phenol-containing compound biosynthetic process,BP,1,1
GO:1903599,0.024828834695037202,0.9997226849541643,1,14,positive regulation of autophagy of mitochondrion,BP,1,1
GO:0060351,0.02513190183301376,0.9997194547873628,1,12,cartilage development involved in endochondral bone morphogenesis,BP,1,1
GO:0046822,0.025183973356253383,0.9981403353102993,2,109,regulation of nucleocytoplasmic transport,BP,1,1
GO:0050746,0.02531376623063437,0.9997239174699405,1,9,regulation of lipoprotein metabolic process,BP,1,1
GO:0045661,0.02540681506300517,0.9997112646839498,1,13,regulation of myoblast differentiation,BP,1,1
GO:0007339,0.02555472022614533,0.9997098887283629,1,12,binding of sperm to zona pellucida,BP,1,1
GO:0097067,0.025564513561395306,0.9997120451565384,1,11,cellular response to thyroid hormone stimulus,BP,1,1
GO:0006677,0.02562321605829467,0.9997045673842977,1,14,glycosylceramide metabolic process,BP,1,1
GO:0009887,0.025855731663779958,0.9939640046781001,5,742,animal organ morphogenesis,BP,1,1
GO:0009058,0.026224582143906203,0.9917573065687205,8,1817,biosynthetic process,BP,1,1
GO:0010896,0.026229210518946538,0.9996887828138112,1,15,regulation of triglyceride catabolic process,BP,1,1
GO:0048736,0.026365561816145303,0.9962933947613403,3,275,appendage development,BP,1,1
GO:0034311,0.02658419780807209,0.9996802590099645,1,15,diol metabolic process,BP,1,1
GO:0033145,0.026659850537153463,0.999684120593096,1,12,positive regulation of intracellular steroid hormone receptor signaling pathway,BP,1,1
GO:0010837,0.026819884209160035,0.9996860608877179,1,10,regulation of keratinocyte proliferation,BP,1,1
GO:0046599,0.027143700542285484,0.9996751733842081,1,11,regulation of centriole replication,BP,1,1
GO:0018126,0.027144598179927076,0.9996701980359385,1,13,protein hydroxylation,BP,1,1
GO:0051093,0.02729580793778265,0.9946700804028826,4,501,negative regulation of developmental process,BP,1,1
GO:0008209,0.027336580125915985,0.9996589922138245,1,17,androgen metabolic process,BP,1,1
GO:0030149,0.027840548318647875,0.9996509311413022,1,14,sphingolipid catabolic process,BP,1,1
GO:0032107,0.02864439677940464,0.9996303700655228,1,14,regulation of response to nutrient levels,BP,1,1
