go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0009987,1,GO:0009987,5963,9117,cellular process,cellular process,0.9862527922561429,1,0
GO:0065007,2,GO:0065007,4584,4456,biological regulation,biological regulation,0.9326193224125093,0.5509999999999999,0
GO:0008152,3,GO:0008152,4463,5539,metabolic process,metabolic process,0.9349962769918094,0.5885714285714285,0
GO:0050789,2,GO:0065007,4275,4338,regulation of biological process,biological regulation,0.9293518242740134,0.5338461538461539,0.701
GO:0044238,3,GO:0008152,4109,4876,primary metabolic process,metabolic process,0.92498808637379,0.5508571428571428,0.609
GO:0050794,2,GO:0065007,3973,4097,regulation of cellular process,biological regulation,0.9123758376768429,0.48361538461538456,0.657
GO:0032501,4,GO:0032501,3344,2388,multicellular organismal process,multicellular organismal process,0.96308730454207,0.7635000000000001,0
GO:0043170,3,GO:0008152,3336,4155,macromolecule metabolic process,metabolic process,0.9237431124348474,0.5115714285714286,0.563
GO:0050896,5,GO:0050896,3216,3329,response to stimulus,response to stimulus,0.9578652271034996,0.5393749999999999,0
GO:0071840,6,GO:0071840,3212,2169,cellular component organization or biogenesis,cellular component organization or biogenesis,0.9277883469843634,0.5585454545454546,0
GO:0032502,7,GO:0032502,3113,1861,developmental process,developmental process,0.9610420699925539,0.43285714285714283,0
GO:0016043,6,GO:0071840,3066,2012,cellular component organization,cellular component organization or biogenesis,0.9253883097542814,0.5442727272727272,0.86
GO:0048856,7,GO:0032502,2981,1625,anatomical structure development,developmental process,0.9574886448250186,0.4244285714285714,0.823
GO:0019222,2,GO:0065007,2801,1718,regulation of metabolic process,biological regulation,0.8684514147431124,0.2832307692307693,0.48
GO:0007275,7,GO:0032502,2779,1398,multicellular organism development,developmental process,0.942569061801936,0.4422857142857143,0.783
GO:0048518,8,GO:0048518,2648,1209,positive regulation of biological process,positive regulation of biological process,0.9119540208488459,0.32492307692307687,0
GO:0051179,9,GO:0051179,2647,2286,localization,localization,0.9453402829486225,0.4683333333333334,0
GO:0060255,2,GO:0065007,2529,1639,regulation of macromolecule metabolic process,biological regulation,0.8604830603127327,0.28184615384615386,0.474
GO:0080090,2,GO:0065007,2433,1373,regulation of primary metabolic process,biological regulation,0.86113495904691,0.2846923076923077,0.445
GO:0048519,10,GO:0048519,2402,1012,negative regulation of biological process,negative regulation of biological process,0.9109097170513775,0.3815925925925926,0
GO:0051716,5,GO:0050896,2401,2620,cellular response to stimulus,response to stimulus,0.9406003350707371,0.48575,0.715
GO:0048522,8,GO:0048518,2392,1002,positive regulation of cellular process,positive regulation of biological process,0.897292069992554,0.27830769230769237,0.894
