category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0006289,1,0.5818676777162655,0,92,nucleotide-excision repair,BP,1,1
GO:0006294,1,0.8869589333092255,0,21,"nucleotide-excision repair, preincision complex assembly",BP,1,1
GO:0006337,1,0.9536477789070086,0,9,nucleosome disassembly,BP,1,1
GO:0006338,1,0.510560198059929,0,117,chromatin remodeling,BP,1,1
GO:0006346,1,0.9690670732287366,0,6,DNA methylation-dependent constitutive heterochromatin formation,BP,1,1
GO:0006353,1,0.7347776473694889,0,53,DNA-templated transcription termination,BP,1,1
GO:0006356,1,0.8643790950564973,0,27,regulation of transcription by RNA polymerase I,BP,1,1
GO:0006360,1,0.8321675358718713,0,31,transcription by RNA polymerase I,BP,1,1
GO:0006386,1,0.9932719349137975,0,1,termination of RNA polymerase III transcription,BP,1,1
GO:0006397,1,0.12590535469680972,0,351,mRNA processing,BP,1,1
GO:0006406,1,0.6224477361896441,0,85,mRNA export from nucleus,BP,1,1
GO:0006418,1,0.875976415997188,0,25,tRNA aminoacylation for protein translation,BP,1,1
GO:0006420,1,0.9944962038837861,0,1,arginyl-tRNA aminoacylation,BP,1,1
GO:0006423,1,0.9944931299552654,0,1,cysteinyl-tRNA aminoacylation,BP,1,1
GO:0006429,1,0.996829016509907,0,1,leucyl-tRNA aminoacylation,BP,1,1
GO:0006435,1,0.9953974186555462,0,1,threonyl-tRNA aminoacylation,BP,1,1
GO:0006451,1,0.9696970014530759,0,5,translational readthrough,BP,1,1
GO:0006458,1,0.8237851101705761,0,33,'de novo' protein folding,BP,1,1
GO:0006473,1,0.579349604447415,0,93,protein acetylation,BP,1,1
GO:0006475,1,0.6103631639275622,0,84,internal protein amino acid acetylation,BP,1,1
GO:0006486,1,0.4911441065877609,0,118,protein glycosylation,BP,1,1
GO:0006493,1,0.7871802757938018,0,39,protein O-linked glycosylation,BP,1,1
GO:0006516,1,0.924211337504637,0,14,glycoprotein catabolic process,BP,1,1
GO:0006526,1,0.9766099514055596,0,5,L-arginine biosynthetic process,BP,1,1
GO:0006534,1,0.9248264554910459,0,13,cysteine metabolic process,BP,1,1
GO:0006538,1,0.9591576460429624,0,7,glutamate catabolic process,BP,1,1
GO:0006545,1,0.9644873743575616,0,6,glycine biosynthetic process,BP,1,1
GO:0006552,1,0.9762589448334348,0,4,L-leucine catabolic process,BP,1,1
GO:0006562,1,0.9894883993051475,0,2,proline catabolic process,BP,1,1
GO:0006563,1,0.9457297034221229,0,9,L-serine metabolic process,BP,1,1
GO:0006570,1,0.9343348995193714,0,12,tyrosine metabolic process,BP,1,1
GO:0006571,1,0.989201239683559,0,2,tyrosine biosynthetic process,BP,1,1
GO:0006580,1,0.9940055898482485,0,1,ethanolamine metabolic process,BP,1,1
GO:0006593,1,0.9944867839597773,0,1,ornithine catabolic process,BP,1,1
GO:0006598,1,0.9879593055210673,0,2,polyamine catabolic process,BP,1,1
GO:0006601,1,0.9944867839597773,0,1,creatine biosynthetic process,BP,1,1
GO:0006605,1,0.24148797159888685,0,235,protein targeting,BP,1,1
GO:0006606,1,0.6441888408514322,0,81,protein import into nucleus,BP,1,1
GO:0006612,1,0.5422399553448601,0,98,protein targeting to membrane,BP,1,1
