category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0010467,3.197651096183249e-13,1,665,1329,gene expression,BP,4.309960296929588e-9,1
GO:0009987,3.6563465573291207e-10,1,2601,5963,cellular process,BP,7.047607989251881e-7,1
GO:0044238,4.6120629798794263e-10,1,1833,4109,primary metabolic process,BP,8.081592176106903e-7,1
GO:0006412,8.009708005981008e-10,1,150,252,translation,BP,1.086344661828166e-6,1
GO:0006518,2.4223548635268927e-9,1,187,331,peptide metabolic process,BP,2.4056126416372397e-6,1
GO:0008152,2.496096126212441e-9,1,1973,4463,metabolic process,BP,2.4056126416372397e-6,1
GO:0006139,1.017057618477268e-8,1,923,1989,nucleobase-containing compound metabolic process,BP,7.260661331907164e-6,1
GO:0043043,1.2706385532076905e-8,1,155,270,peptide biosynthetic process,BP,8.746985040385083e-6,1
GO:0016070,1.6881903664177662e-8,1,569,1179,RNA metabolic process,BP,1.1220644590587049e-5,1
GO:0043170,3.9630286874242574e-8,1,1489,3336,macromolecule metabolic process,BP,2.425568165617072e-5,1
GO:0002181,8.607614377421466e-8,0.9999999740861056,62,90,cytoplasmic translation,BP,4.740336203565678e-5,1
GO:0048856,1.0062358384795743e-7,1,1333,2981,anatomical structure development,BP,5.38755438519272e-5,1
GO:0003002,1.1430150624831245e-7,1,219,413,regionalization,BP,5.797793507726901e-5,1
GO:0009953,1.258812041156141e-7,0.9999999494418238,91,146,dorsal/ventral pattern formation,BP,6.221436434175544e-5,1
GO:0007275,1.5159894214722738e-7,1,1246,2779,multicellular organism development,BP,7.305174024719518e-5,1
GO:0043603,1.5837705311087094e-7,1,257,497,amide metabolic process,BP,7.43646080006755e-5,1
GO:0043604,1.8931692195819417e-7,1,190,353,amide biosynthetic process,BP,8.486241094753935e-5,1
GO:0008150,2.57700325261293e-7,0.9999998825911872,2802,6529,biological_process,BP,1.1289031294116868e-4,1
GO:0010468,2.96456302898239e-7,1,832,1809,regulation of gene expression,BP,1.2698211640807902e-4,1
GO:0010557,3.799033972208789e-7,1,430,885,positive regulation of macromolecule biosynthetic process,BP,1.5580080811558383e-4,1
GO:0006413,1.0960220415943084e-6,0.9999995904996068,69,108,translational initiation,BP,4.2251649703460586e-4,1
GO:0006614,1.9353964150918293e-6,0.9999994754782924,44,62,SRP-dependent cotranslational protein targeting to membrane,BP,7.314659980567649e-4,1
GO:0006613,2.4765629107243407e-6,0.9999992871255154,46,66,cotranslational protein targeting to membrane,BP,8.839953723002161e-4,1
GO:0002376,3.007515846579925e-6,0.9999981182589508,460,963,immune system process,BP,0.00105399759896051,1
GO:0022613,5.105129746282787e-6,0.9999974410761814,191,366,ribonucleoprotein complex biogenesis,BP,0.0015674774502784,1
GO:0071705,5.123272600131749e-6,0.999996623383455,424,885,nitrogen compound transport,BP,0.0015674774502784,1
GO:0030901,5.702010932139451e-6,0.999999043865872,27,34,midbrain development,BP,0.00169086554949212,1
GO:0006955,5.889760624582977e-6,0.9999965516564332,260,517,immune response,BP,0.00172007781877025,1
GO:0009891,6.987500633149614e-6,0.9999951906236746,453,950,positive regulation of biosynthetic process,BP,0.00201021007020834,1
GO:0010628,1.0877766324903146e-5,0.9999922342337728,443,930,positive regulation of gene expression,BP,0.00295308374524659,1
GO:0045944,1.2426402877685624e-5,0.999992280603283,255,509,positive regulation of transcription by RNA polymerase II,BP,0.00328108103379986,1
GO:0044248,1.3843593923411116e-5,0.9999898301958484,505,1075,cellular catabolic process,BP,0.00344935035626254,1
GO:0010556,1.3872406642152394e-5,0.9999892892385768,720,1571,regulation of macromolecule biosynthetic process,BP,0.00344935035626254,1
GO:0016071,1.3952400029723644e-5,0.9999910379346152,260,521,mRNA metabolic process,BP,0.00344935035626254,1
GO:0000184,1.395846058565389e-5,0.9999949445346284,53,82,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",BP,0.00344935035626254,1
GO:0090304,1.4325297149327402e-5,0.9999889476025492,712,1552,nucleic acid metabolic process,BP,0.00349519117156057,1
GO:0007423,1.5211183772955513e-5,0.9999903009746682,247,493,sensory organ development,BP,0.00366494459029646,1
GO:0032502,1.6258179119777864e-5,0.999986600405326,1371,3113,developmental process,BP,0.00386884447572491,1
GO:0048732,1.809992366460067e-5,0.9999895824398396,166,317,gland development,BP,0.00420332564620696,1
GO:0009950,2.0578298902433575e-5,0.9999934103780576,43,64,dorsal/ventral axis specification,BP,0.00450734899255008,1
GO:0006810,2.264147298355508e-5,0.9999818737685654,910,2024,transport,BP,0.00490353249166319,1
GO:0048731,2.338303749104171e-5,0.9999810101375948,1036,2321,system development,BP,0.0050078671959981,1
GO:1902680,2.813398837617688e-5,0.9999799869663004,351,728,positive regulation of RNA biosynthetic process,BP,0.00583099597796569,1
GO:0090596,2.9991350275762983e-5,0.9999832484893336,139,261,sensory organ morphogenesis,BP,0.00614982209112054,1
GO:0030278,3.0568254171590644e-5,0.9999889170804636,49,76,regulation of ossification,BP,0.00620213788586747,1
GO:0048598,3.0894424743994146e-5,0.9999797676410688,230,459,embryonic morphogenesis,BP,0.00620302121813007,1
GO:0010608,3.5463553979216784e-5,0.9999782374730344,174,337,post-transcriptional regulation of gene expression,BP,0.00690464649443841,1
GO:0006396,3.942848576691021e-5,0.9999721958225236,319,659,RNA processing,BP,0.00752459468472469,1
GO:0045087,4.054719524887392e-5,0.9999790244997168,95,169,innate immune response,BP,0.00758783678079655,1
GO:0060255,4.351540554914573e-5,0.999964107403616,1122,2529,regulation of macromolecule metabolic process,BP,0.00806499463422869,1
GO:0001654,4.612941986050094e-5,0.9999705581743794,194,382,eye development,BP,0.00846804350296338,1
GO:0021953,4.7226947959337626e-5,0.999982572212583,48,75,central nervous system neuron differentiation,BP,0.008501180539004,1
GO:0042254,4.736150329156284e-5,0.9999733406347,126,235,ribosome biogenesis,BP,0.008501180539004,1
GO:0009056,4.76556746285048e-5,0.9999634097948928,538,1161,catabolic process,BP,0.008501180539004,1
