gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___TS.g26493.t2a,164.36680439595878,-5.992432057226394,1.260043006584793,-4.755736134331016,1.9772459090609083e-6,0.004140682474558385
Montipora_capitata_HIv3___RNAseq.g9870.t1,154.31682319449007,-2.2259423011326196,0.5097333525759903,-4.366875916366056,1.2603627997610672e-5,0.017596065087775344
Montipora_capitata_HIv3___TS.g9699.t2,96.55997530726694,3.5452912169970476,0.7972300020909058,4.4470117879391955,8.707306140953e-6,0.013675912707634305
Montipora_capitata_HIv3___RNAseq.g40764.t1,117.99151564869011,5.08773574295038,1.0529241015208597,4.832006158470089,1.3516407293533035e-6,0.0033966731528648516
Montipora_capitata_HIv3___TS.g48661.t1,176.18284652168035,-2.3857995033997232,0.4544936618351998,-5.249357040021426,1.5263099564317045e-7,6.392694867521456e-4
Montipora_capitata_HIv3___RNAseq.g12860.t1,574.0337987722818,-1.32761371632596,0.31380259297519764,-4.230728955228525,2.32935214722464e-5,0.029268309729877602
Montipora_capitata_HIv3___TS.g23059.t1a,587.8535533455561,17.216059843488996,1.7237570681760557,9.987520957176221,1.728504492737164e-23,2.1718658951242467e-19
Montipora_capitata_HIv3___TS.g45793.t1b,95.20261915779585,6.4269385247937665,1.1654287413314695,5.514655934648712,3.4946294338040687e-8,2.1955009417874062e-4
Montipora_capitata_HIv3___RNAseq.g20824.t1a,133.63108929291158,3.9537210098187585,0.9588287283294765,4.1234903513030385,3.731740990388717e-5,0.04262665958566748
Montipora_capitata_HIv3___TS.g15697.t1,60.957208814912384,5.603630499774598,1.22831674456481,4.5620403080639855,5.065891851320379e-6,0.00909327587312008
Montipora_capitata_HIv3___RNAseq.g18178.t1,79.49100922575893,6.3691668147111695,1.293296221402885,4.924754831342741,8.446618823173421e-7,0.002653294137829351
