gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g11410.t1,784.1530307355185,-3.2740293473641273,0.7744014280413322,-4.227819356745017,2.359671166643744e-5,0.04854103423620511
Montipora_capitata_HIv3___TS.g8038.t2,711.8952372069842,-5.03758888573885,1.2552413262420807,-4.013243334507074,5.9890117973531596e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g41393.t1,444.98793043419704,-1.5268181102113734,0.3748547940811382,-4.073092126123083,4.6393062600222106e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g15050.t1,2429.508420522066,-5.805477509982733,1.4466299230286204,-4.013104815244359,5.992528786138266e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g15087.t1,2969.171709114627,-5.494552949619292,1.311939552680232,-4.188114413041496,2.8128171192507272e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g23104.t1,1449.3759096670549,-5.276600262224848,1.3263511137192467,-3.9782831315522715,6.941468411653635e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g33315.t1,5769.896441151302,-5.828893008106288,1.3058035891987134,-4.463835952298997,8.05052109337027e-6,0.04854103423620511
Montipora_capitata_HIv3___TS.g983.t1,517.9097631267349,-4.15161175854633,1.0300353323111078,-4.0305527667980945,5.5645834652097274e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g49798.t1,1938.3369160166149,-4.069106284208191,1.0289814281833891,-3.954499248243943,7.669511298452402e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g39019.t1,6712.101411652257,-4.464883801934843,1.0693663253974477,-4.175261270056728,2.97644246917701e-5,0.04854103423620511
Montipora_capitata_HIv3___RNAseq.g35580.t1,3967.3622482269375,-3.722111985274665,0.9376085040788581,-3.969793329606591,7.1934999623999e-5,0.04854103423620511
