"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Montipora_capitata_HIv3___TS.g26493.t2a",164.366804395959,-7.6703193439523,1.2342432389595,-6.21459296015149,5.14578634335825e-10,6.46568054042964e-06
"2","Montipora_capitata_HIv3___RNAseq.g7017.t1",44.6198883576997,-3.89417082766296,0.896100037516558,-4.34568760699445,1.38840047454898e-05,0.0436131299067697
"3","Montipora_capitata_HIv3___RNAseq.g11410.t1",784.153030735519,-3.37473020464454,0.787091188136183,-4.28759749252921,1.80615993249175e-05,0.0453887991035176
"4","Montipora_capitata_HIv3___TS.g48661.t1",176.18284652168,-1.98317840521659,0.442900129405583,-4.47771015076969,7.54479432350721e-06,0.0316001135582894
"5","Montipora_capitata_HIv3___RNAseq.g20279.t1",151.324927791196,-7.486206109519,1.29315257626082,-5.78911278293669,7.07591763442498e-09,4.44544525382749e-05
