"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Montipora_capitata_HIv3___TS.g26493.t2a",164.366804395959,-6.27307192490126,1.26679802598672,-4.951911667225,7.34879628600667e-07,0.00307792084445579
"2","Montipora_capitata_HIv3___TS.g9699.t2",96.5599753072669,3.56771161010325,0.808655996056951,4.41190274665568,1.02466139749408e-05,0.0143054116216813
"3","Montipora_capitata_HIv3___RNAseq.g40764.t1",117.99151564869,4.85893998308751,1.06262870052928,4.57256610956147,4.81787142351972e-06,0.00983343752465954
"4","Montipora_capitata_HIv3___RNAseq.g41130.t1",56.9387018471078,5.84688565781999,1.42498508291575,4.10312060660755,4.07614624462953e-05,0.0491506674337665
"5","Montipora_capitata_HIv3___RNAseq.g41946.t1",66.0335878314548,5.50716726847463,1.3516082708644,4.07452912740212,4.61075424706446e-05,0.0491506674337665
"6","Montipora_capitata_HIv3___TS.g48661.t1",176.18284652168,-2.0855592505769,0.458809672789761,-4.54558692691851,5.47823817529779e-06,0.00983343752465954
"7","Montipora_capitata_HIv3___TS.g23059.t1a",587.853553345556,17.1410449812122,1.74000764541453,9.85113199150834,6.77762680250372e-23,8.51608807734592e-19
"8","Montipora_capitata_HIv3___TS.g45793.t1b",95.2026191577959,6.48755601087807,1.16769565727566,5.55586206941469,2.76244951980819e-08,0.000173550891081949
"9","Montipora_capitata_HIv3___RNAseq.g20824.t1a",133.631089292912,4.29277720347247,0.964801299607603,4.44938994715119,8.61145418252942e-06,0.0135253652254353
"10","Montipora_capitata_HIv3___TS.g15697.t1",60.9572088149124,5.71433240597649,1.23345189816417,4.63279712365072,3.60758029363003e-06,0.00906584927789226
"11","Montipora_capitata_HIv3___RNAseq.g48280.t1",94.064448579666,3.41297922315465,0.838495673516841,4.07035996839416,4.69405498770552e-05,0.0491506674337665
"12","Montipora_capitata_HIv3___RNAseq.g18178.t1",79.4910092257589,6.15106225927266,1.29903175732385,4.73511307525272,2.18933003058588e-06,0.00687723295857789
