gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___TS.g29264.t2,2732.9856127564876,1.25956592800137,0.35887986911522335,3.5097146326615745,4.485878502177083e-4,0.049316832445602456
Montipora_capitata_HIv3___RNAseq.g1190.t1,2574.9073166921207,1.3396530895552774,0.3245164913452585,4.128151034795942,3.656918947848689e-5,0.010901985864257403
Montipora_capitata_HIv3___RNAseq.g27062.t1,2863.7294617414627,0.9140224573562122,0.2584369237662541,3.536733234694084,4.051086273173725e-4,0.049316832445602456
Montipora_capitata_HIv3___RNAseq.g43906.t1,1778.6632985363071,1.2101354133358921,0.3457301185446178,3.5002313898195117,4.6485446178374206e-4,0.049316832445602456
Montipora_capitata_HIv3___RNAseq.g44004.t1,3530.886870856553,2.400095497722402,0.4552197977144615,5.272388217236262,1.3465985564832873e-7,3.1429610308319924e-4
Montipora_capitata_HIv3___RNAseq.g44669.t1,4575.481545475926,2.2444575931960933,0.5039206830829406,4.453989821304233,8.428909801431188e-6,0.004918268869135098
Montipora_capitata_HIv3___RNAseq.g45032.t2,2965.9980340445436,1.1050804598289934,0.3002263039946783,3.6808249148235244,2.3248060621980517e-4,0.04181146746556679
Montipora_capitata_HIv3___RNAseq.g21605.t1,7294.0122312494,1.565974560299406,0.37979766270435933,4.123181141107722,3.7367560802938826e-5,0.010901985864257403
Montipora_capitata_HIv3___RNAseq.g22595.t1,6591.120359273618,1.3652744528255643,0.3656599039674074,3.733727537562489,1.8866659013152008e-4,0.04003162012426981
Montipora_capitata_HIv3___RNAseq.g28322.t1,6685.838766551071,2.047817872949368,0.437738820470184,4.678172867441289,2.894424868721961e-6,0.002251862547865686
Montipora_capitata_HIv3___RNAseq.g29121.t1,1709.9334733279304,1.9558262689797659,0.46734871960793256,4.184939825277674,2.8524165276328498e-5,0.010901985864257403
Montipora_capitata_HIv3___RNAseq.g33482.t1,5009.744873384114,1.1143162353311513,0.2784466243657932,4.001902475453545,6.283519917459352e-5,0.01629526165261125
Montipora_capitata_HIv3___RNAseq.g33790.t1,2821.7341057372273,1.0732773028219273,0.29970936018964195,3.581060338398534,3.422026071153215e-4,0.048732422764247496
Montipora_capitata_HIv3___RNAseq.g34110.t1,3176.96301688008,1.1361284854849016,0.31269007564042556,3.633401166180214,2.7970961769022086e-4,0.04663158912064111
Montipora_capitata_HIv3___RNAseq.g34187.t2,4417.68647168768,0.7899062672453395,0.22490440938520093,3.512186663679154,4.444357276295146e-4,0.049316832445602456
Montipora_capitata_HIv3___RNAseq.g46220.t1,3248.8409666132716,1.2003746072751191,0.3348397835775916,3.584922300599204,3.3717857268872694e-4,0.048732422764247496
Montipora_capitata_HIv3___RNAseq.g47022.t1,1763.2290212768398,1.0733053820182397,0.300718285007101,3.56913907643792,3.5815626686817257e-4,0.048732422764247496
Montipora_capitata_HIv3___RNAseq.g48479.t1,5062.440907697609,1.1338669927353748,0.30808389031530176,3.6803839096388433,2.3288306643203438e-4,0.04181146746556679
Montipora_capitata_HIv3___RNAseq.g38474.t1,3383.243386894076,1.2290693331370621,0.3181535251508562,3.8631328461763377,1.1194209068905332e-4,0.026127283966825045
Montipora_capitata_HIv3___TS.g5110.t1,3658.766851290268,1.596114773116032,0.36837509994687156,4.3328519580889955,1.4719009018594735e-5,0.006870833409880023
Montipora_capitata_HIv3___RNAseq.g36323.t1,2623.251780923959,1.153440149965938,0.32431889323862023,3.5565000190022387,3.758284531947108e-4,0.048732422764247496
Montipora_capitata_HIv3___RNAseq.g36979.t1,1833.4674747695192,2.3890618322502304,0.504364455261725,4.736776763958312,2.1714412848574806e-6,0.002251862547865686
