gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g5198.t1,153.19189505731873,-2.9333297342065894,0.6233199254275363,-4.705977804567394,2.5265200780380594e-6,0.007936431195137055
Montipora_capitata_HIv3___RNAseq.g6841.t1a,74.56504122085937,-3.0160096082300885,0.6582013236362155,-4.582199245009451,4.6011117968725506e-6,0.00903352716547906
Montipora_capitata_HIv3___TS.g28731.t1,408.6376100591298,-1.1976965180451846,0.2959626835042797,-4.046782195188015,5.1926515597268375e-5,0.0383798040282163
Montipora_capitata_HIv3___TS.g42133.t1,605.8768563313969,-5.745089622828313,1.2689344076227682,-4.527491404060206,5.968802829831503e-6,0.009374750944604104
Montipora_capitata_HIv3___RNAseq.g11129.t1,31.186563458367633,-6.222815588737314,1.092387947622701,-5.696525307039187,1.222737491381635e-8,1.5363696579210242e-4
Montipora_capitata_HIv3___RNAseq.g25096.t1,35.58883005436004,-5.6643537442475775,1.1832322806517335,-4.787186621656069,1.6913554484532126e-6,0.007093964089610578
Montipora_capitata_HIv3___RNAseq.g41271.t2,118.66262418529409,2.5911830970369176,0.6398040900451599,4.049963320575243,5.1225661499918256e-5,0.0383798040282163
Montipora_capitata_HIv3___TS.g50653.t2,93.41067588129098,3.044889241312799,0.7202777842608593,4.227381862731514,2.3642623533506015e-5,0.02121925462132165
Montipora_capitata_HIv3___RNAseq.g44142.t1,115.77499638259006,-2.2276543331745957,0.5541368198101552,-4.0200438836346954,5.818730170364097e-5,0.04061796921701382
Montipora_capitata_HIv3___RNAseq.g20279.t1,151.32492779119568,5.729746362785028,1.1969630479114102,4.786903298963912,1.6937439131581166e-6,0.007093964089610578
Montipora_capitata_HIv3___RNAseq.g20522.t1,39.96513423693028,2.894252888656822,0.7000097417464715,4.134589443620999,3.555897457355003e-5,0.029786567701110406
Montipora_capitata_HIv3___RNAseq.g21373.t1,61.28498581614823,-4.176269508240198,0.9151614223444099,-4.563423901262864,5.032605663219532e-6,0.00903352716547906
Montipora_capitata_HIv3___RNAseq.g21376.t1,56.834952618821404,-3.745827508485532,0.8445039660149211,-4.435535721829102,9.184359968943187e-6,0.011540148300977113
Montipora_capitata_HIv3___RNAseq.g27818.t1,306.7432378146623,-1.0047917737014305,0.22420233793296365,-4.481629330742583,7.407532069796525e-6,0.010341737828554815
Montipora_capitata_HIv3___RNAseq.g49676.t1,64.93437266600804,-4.254377734534097,0.975885318958113,-4.359505827053746,1.3035648290430119e-5,0.014890265524477676
Montipora_capitata_HIv3___RNAseq.g18416.t1,135.20791267146865,1.3848475044863495,0.30286047215402323,4.572559418655562,4.818025323569908e-6,0.00903352716547906
Montipora_capitata_HIv3___RNAseq.g35029.t1,103.93354835102528,-2.413766516426841,0.5657655130576462,-4.266372659199008,1.9867681038701384e-5,0.0192028778654833
Montipora_capitata_HIv3___RNAseq.g35090.t1,34.450851831803405,-3.1470814417600192,0.7332558987170187,-4.291927889385524,1.7712847690194154e-5,0.018546827602274128
