module,Count,Percent,Term,GO.IDs,n_goids,n_genes,genes,DEdueto,pattern
leachate_up,6,0.41124057573680606,DNA replication,GO:0006275;GO:0008156;GO:0032875;GO:0032876;GO:0090329;GO:2000104,6,1,Montipora_capitata_HIv3___RNAseq.g39730.t1,leachate,up
leachate_up,6,0.41124057573680606,DNA repair,GO:0000710;GO:0000724;GO:0000725;GO:0006298;GO:0006302; GO:0006281,6,2,Montipora_capitata_HIv3___RNAseq.g39730.t1;Montipora_capitata_HIv3___RNAseq.g5198.t1,leachate,up
leachate_up,13,0.8910212474297464,DNA recombination,GO:0000018;GO:0000724;GO:0000725;GO:0002204;GO:0002562;GO:0016444;GO:0016447;GO:0045190;GO:0045191;GO:0045830;GO:0045910;GO:0045911; GO:0006310,13,2,Montipora_capitata_HIv3___RNAseq.g39730.t1;Montipora_capitata_HIv3___RNAseq.g5198.t1,leachate,up
leachate_up,3,0.20562028786840303,chromatin organization,GO:0040029;GO:0045814; GO:0006325,3,2,Montipora_capitata_HIv3___RNAseq.g8767.t1;Montipora_capitata_HIv3___RNAseq.g45000.t1,leachate,up
leachate_up,14,0.9595613433858807,DNA-templated transcription,GO:0000122;GO:0006352;GO:0006355;GO:0006357;GO:0006366;GO:0006367;GO:0009301;GO:0042795;GO:0045892;GO:0045893;GO:0045944;GO:0051123;GO:0070897; GO:0006351,14,13,Montipora_capitata_HIv3___RNAseq.g527.t1b;Montipora_capitata_HIv3___RNAseq.g24646.t1;Montipora_capitata_HIv3___RNAseq.g5394.t1;Montipora_capitata_HIv3___RNAseq.g8767.t1;Montipora_capitata_HIv3___RNAseq.g27612.t1;Montipora_capitata_HIv3___RNAseq.g11828.t1;Montipora_capitata_HIv3___RNAseq.g26803.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g28195.t1;Montipora_capitata_HIv3___RNAseq.g17086.t1;Montipora_capitata_HIv3___RNAseq.g35580.t1;Montipora_capitata_HIv3___RNAseq.g7741.t1;Montipora_capitata_HIv3___RNAseq.g45000.t1,leachate,up
leachate_up,6,0.41124057573680606,regulation of DNA-templated transcription,GO:0000122;GO:0006357;GO:0045892;GO:0045893;GO:0045944; GO:0006355,6,11,Montipora_capitata_HIv3___RNAseq.g527.t1b;Montipora_capitata_HIv3___RNAseq.g24646.t1;Montipora_capitata_HIv3___RNAseq.g11828.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g27612.t1;Montipora_capitata_HIv3___RNAseq.g28195.t1;Montipora_capitata_HIv3___RNAseq.g17086.t1;Montipora_capitata_HIv3___RNAseq.g35580.t1;Montipora_capitata_HIv3___RNAseq.g7741.t1;Montipora_capitata_HIv3___RNAseq.g8767.t1;Montipora_capitata_HIv3___RNAseq.g26803.t1,leachate,up
leachate_up,8,0.5483207676490747,tRNA metabolic process,GO:0006400;GO:0008033;GO:0034227;GO:0070525;GO:0070900;GO:0070903;GO:0090646; GO:0006399,8,1,Montipora_capitata_HIv3___RNAseq.g46103.t2,leachate,up
leachate_up,2,0.13708019191226867,protein folding,GO:0061077; GO:0006457,2,1,Montipora_capitata_HIv3___RNAseq.g37643.t1,leachate,up
leachate_up,4,0.27416038382453733,amino acid metabolic process,GO:0000820;GO:0006521;GO:2000211; GO:0006520,4,3,Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g46103.t2;Montipora_capitata_HIv3___RNAseq.g48280.t1,leachate,up
leachate_up,4,0.27416038382453733,modified amino acid metabolic process,GO:0006749;GO:0006750;GO:0042398; GO:0006575,4,1,Montipora_capitata_HIv3___RNAseq.g48280.t1,leachate,up
leachate_up,13,0.8910212474297464,lipid metabolic process,GO:0006644;GO:0006650;GO:0006661;GO:0008610;GO:0008654;GO:0030258;GO:0045017;GO:0046474;GO:0046486;GO:0046488;GO:0046834;GO:0046854; GO:0006629,13,1,Montipora_capitata_HIv3___RNAseq.g29575.t1,leachate,up
leachate_up,0,0,vitamin metabolic process,,0,0,,leachate,up
leachate_up,5,0.3427004797806717,sulfur compound metabolic process,GO:0000096;GO:0006749;GO:0006750;GO:0044272; GO:0006790,5,2,Montipora_capitata_HIv3___RNAseq.g46103.t2;Montipora_capitata_HIv3___RNAseq.g48280.t1,leachate,up
leachate_up,10,0.6854009595613434,intracellular protein transport,GO:0006611;GO:0033157;GO:0042306;GO:0042307;GO:0042308;GO:0065002;GO:0090316;GO:0090317;GO:1905126; GO:0006886,10,7,Montipora_capitata_HIv3___RNAseq.g26744.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.g28195.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g11410.t1;Montipora_capitata_HIv3___RNAseq.g7364.t1;Montipora_capitata_HIv3___TS.g38156.t1c,leachate,up
leachate_up,11,0.7539410555174777,nucleocytoplasmic transport,GO:0000054;GO:0006405;GO:0006611;GO:0042306;GO:0042307;GO:0042308;GO:0046822;GO:0046823;GO:0046824;GO:0051168; GO:0006913,11,3,Montipora_capitata_HIv3___RNAseq.g26744.t1;Montipora_capitata_HIv3___RNAseq.g28195.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1,leachate,up
leachate_up,4,0.27416038382453733,autophagy,GO:0016236;GO:0016240;GO:0097352; GO:0006914,4,2,Montipora_capitata_HIv3___RNAseq.g11410.t1;Montipora_capitata_HIv3___TS.g38156.t1c,leachate,up
leachate_up,0,0,inflammatory response,,0,0,,leachate,up
leachate_up,2,0.13708019191226867,mitochondrion organization,GO:0000002; GO:0007005,2,1,Montipora_capitata_HIv3___RNAseq.g9870.t1,leachate,up
leachate_up,39,2.6730637422892394,cytoskeleton organization,GO:0000226;GO:0007015;GO:0007026;GO:0007051;GO:0007052;GO:0008064;GO:0008103;GO:0016325;GO:0030036;GO:0030239;GO:0030832;GO:0030833;GO:0030865;GO:0030866;GO:0030951;GO:0030952;GO:0031032;GO:0031033;GO:0031034;GO:0031110;GO:0031111;GO:0031112;GO:0031113;GO:0031114;GO:0031116;GO:0031122;GO:0032956;GO:0034453;GO:0045214;GO:0051225;GO:0051493;GO:0051494;GO:0051495;GO:0070507;GO:0072393;GO:0090307;GO:0110053;GO:1902850; GO:0007010,39,8,Montipora_capitata_HIv3___RNAseq.g19903.t1;Montipora_capitata_HIv3___RNAseq.27502_t;Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g29575.t1;Montipora_capitata_HIv3___RNAseq.g41261.t1;Montipora_capitata_HIv3___RNAseq.g33365.t1;Montipora_capitata_HIv3___RNAseq.g37643.t1;Montipora_capitata_HIv3___RNAseq.g40764.t1,leachate,up
leachate_up,6,0.41124057573680606,microtubule-based movement,GO:0010970;GO:0060632;GO:0072384;GO:0072385;GO:1905126; GO:0007018,6,2,Montipora_capitata_HIv3___RNAseq.g15754.t1;Montipora_capitata_HIv3___RNAseq.g19903.t1,leachate,up
leachate_up,0,0,peroxisome organization,,0,0,,leachate,up
leachate_up,0,0,lysosome organization,,0,0,,leachate,up
