baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
633.1596536154202,-8.170914608670358,1.9253238143196152,-4.243917074052218,2.1965155010226118e-5,0.020244271452262083,Montipora_capitata_HIv3___RNAseq.g4745.t1
153.21652002987543,-3.1480613726888413,0.7802802761107731,-4.034526399129335,5.471253891681979e-5,0.03460264127939314,Montipora_capitata_HIv3___RNAseq.g5198.t1
1458.0782832776442,-7.920280712151422,1.8033905794029184,-4.391883157543019,1.1237308786769521e-5,0.013618059239627995,Montipora_capitata_HIv3___RNAseq.g8699.t1
3197.7729452214867,-4.610638718039896,1.166971718191016,-3.9509429801667246,7.784387083816595e-5,0.04430873128108406,Montipora_capitata_HIv3___RNAseq.g11828.t1
657.7570118937799,-7.680900520536739,1.8604965665427668,-4.128414240940863,3.6527362449805864e-5,0.024460440831093527,Montipora_capitata_HIv3___RNAseq.g913.t1
712.2654541203899,-9.799326211681413,1.7699265253018193,-5.536572321842777,3.0844850544521696e-8,3.51137778598835e-4,Montipora_capitata_HIv3___TS.g8038.t2
2430.3900893251302,-7.938876463763673,1.8507664002927877,-4.289507558872777,1.7906971910915807e-5,0.018532088021260506,Montipora_capitata_HIv3___RNAseq.g15050.t1
2970.459029278193,-8.139394431000413,1.6231308783727139,-5.014626078188251,5.313670054279245e-7,0.0020163606632638306,Montipora_capitata_HIv3___RNAseq.g15087.t1
957.4605624877605,-6.547748178201552,1.5531679246351442,-4.2157374449640965,2.4896328209036294e-5,0.020244271452262083,Montipora_capitata_HIv3___RNAseq.g45264.t1
1501.3895486880813,-7.840937309581473,1.7850689342788315,-4.392512333283764,1.1204827168898226e-5,0.013618059239627995,Montipora_capitata_HIv3___RNAseq.g45615.t1
306.8285536340492,-1.142770574751033,0.2742369963994493,-4.167091201241467,3.085110914223144e-5,0.02204820999858238,Montipora_capitata_HIv3___RNAseq.g27818.t1
63.79853446026397,-2.740045374088968,0.5313612374021852,-5.156652727408188,2.514034372523663e-7,0.0014309883648404688,Montipora_capitata_HIv3___RNAseq.g28195.t1
378.4316332960943,-5.9407642130416525,1.3568744905925016,-4.378270985437658,1.1962455410776523e-5,0.013618059239627995,Montipora_capitata_HIv3___RNAseq.g29551.t1
5770.885245335042,-7.6103553790592455,1.5640835242033362,-4.865696275993681,1.140545570518438e-6,0.0025967941549563797,Montipora_capitata_HIv3___RNAseq.g33315.t1
609.4864756844372,-1.2318146354035668,0.2913033906284353,-4.228631299986401,2.351172876181428e-5,0.020244271452262083,Montipora_capitata_HIv3___RNAseq.g47296.t1
8848.337813113363,-4.605421301009599,1.1627223459676883,-3.9608951500598257,7.466931679457729e-5,0.04430873128108406,Montipora_capitata_HIv3___RNAseq.g47569.t1
297.7395221563088,-7.575322655001277,1.81833393704916,-4.166078903688455,3.098834855738915e-5,0.02204820999858238,Montipora_capitata_HIv3___RNAseq.g39583.t1
1378.6429758138845,-8.598925760942777,1.8284438446035514,-4.702865656126957,2.5653522520162694e-6,0.0048673283394922015,Montipora_capitata_HIv3___RNAseq.g15831.t1
2583.4854558490056,-10.39768362361589,2.127192012699852,-4.887985457607588,1.0187305355545798e-6,0.0025967941549563797,Montipora_capitata_HIv3___TS.g11257.t2
1015.6755632024258,-7.911869999246025,1.7579000887124265,-4.500750668396105,6.771389758497949e-6,0.011012214430105806,Montipora_capitata_HIv3___RNAseq.g35046.t1
