gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g4581.t1,284.20381149787437,0.7968662303195272,0.2867991360122149,159.32685961799723,1.837962840010804e-28,7.772575358737644e-28
Montipora_capitata_HIv3___RNAseq.g4584.t1,1006.3326688565447,-0.0012062060823051302,0.24127283758749896,245.23716641668977,2.774424422696658e-46,3.061335890299759e-45
Montipora_capitata_HIv3___RNAseq.g4594.t1,651.7431408709481,0.17039007223648575,0.21191310614956302,77.1502592914834,5.234214360854838e-12,9.703104947616796e-12
Montipora_capitata_HIv3___TS.g26295.t1,4196.525463597197,-0.24024315290264628,0.20306349873974916,124.05468300179484,2.7655083383764635e-21,8.087642205310815e-21
Montipora_capitata_HIv3___TS.g26297.t1,1839.9734422825788,0.16205476521277395,0.21170608140066108,67.20400467540446,4.139283159273674e-10,7.006441075356958e-10
Montipora_capitata_HIv3___TS.g26298.t1,2167.110809298534,-0.11269280084063522,0.12368412281583126,102.07214715472458,6.93635520299643e-17,1.6261955309127962e-16
Montipora_capitata_HIv3___RNAseq.g4629.t1,545.8463420807267,-0.5169735718177304,0.4383763165221064,22.622490182641286,0.019970708058415363,0.02271426531323021
Montipora_capitata_HIv3___RNAseq.g4638.t1,480.4901092279238,-0.1298201899616227,0.15945384464275125,129.04524702310255,2.7158218553940756e-22,8.338321043199473e-22
Montipora_capitata_HIv3___RNAseq.g4639.t1,707.9040547398982,-0.09951856012137363,0.1613641152496973,132.89855579757193,4.5056402072951116e-23,1.4302145105729106e-22
Montipora_capitata_HIv3___RNAseq.g4640.t1,339.64805773479287,0.1138598088061709,0.1868157117515613,66.68457876344644,5.188472200643932e-10,8.729810369337409e-10
Montipora_capitata_HIv3___RNAseq.g4642.t1,665.1374257194993,-0.007054404360275999,0.2685030508759387,171.59269609749856,5.54602549352526e-31,2.674168593671464e-30
Montipora_capitata_HIv3___RNAseq.g4643.t1,482.4101423588654,-0.04555027559090863,0.14850602271219035,33.92750520244465,3.716962800358929e-4,4.621011626056688e-4
Montipora_capitata_HIv3___RNAseq.g4645.t1,1264.1560090433836,-0.1639041174835615,0.15794228981146474,112.63126078423761,5.456014070240852e-19,1.41851978199346e-18
Montipora_capitata_HIv3___RNAseq.g4653.t1,1313.6320496352341,0.4058628289042855,0.2903458031926469,306.7959537040849,3.2380278783219578e-59,7.812346366130515e-58
Montipora_capitata_HIv3___RNAseq.g4656.t1,865.4253386803409,-0.003621595379650196,0.23664075888179206,76.5453015531316,6.8431752782376286e-12,1.2602669139585449e-11
Montipora_capitata_HIv3___RNAseq.g4665.t1,859.6285947466112,-0.2508545853112678,0.25450382093133755,57.59520472307133,2.5845209357302636e-8,3.9798791070330754e-8
Montipora_capitata_HIv3___RNAseq.g4667.t1,3272.0062202744043,-0.07872433554119103,0.18839613235292083,128.01025109050704,4.397080923949843e-22,1.332311398981241e-21
Montipora_capitata_HIv3___TS.g26352.t1,1448.638647056995,-0.21108113006107207,0.21594717706821584,41.64773190032224,1.8635863063636966e-5,2.4753387545085587e-5
Montipora_capitata_HIv3___RNAseq.g4669.t1,1528.0908612521275,-0.1603520080858368,0.16791063962786743,153.94161044448083,2.3303213496728696e-27,9.22710217206661e-27
Montipora_capitata_HIv3___RNAseq.g4670.t1,950.5485844833597,-0.1567361412947049,0.14693405191888556,155.32809171162364,1.2123673159913336e-27,4.8660254905027705e-27
Montipora_capitata_HIv3___RNAseq.g4671.t1,4665.813075643915,0.12958900111169505,0.18790060960233387,29.721511097029975,0.0017521756371423223,0.002103521661671418
Montipora_capitata_HIv3___RNAseq.g4674.t1,717.4509108880796,0.14806229487295514,0.27477618261876346,31.44575755324479,9.355145459991297e-4,0.0011389638588646907
Montipora_capitata_HIv3___RNAseq.g4673.t1,3564.3298962905906,0.1455067365823366,0.25808713265867045,115.56729945059965,1.4082990841344448e-19,3.7847306226156776e-19
Montipora_capitata_HIv3___RNAseq.g4676.t1,3228.7656536248646,-0.03848919776535249,0.1604647332570485,49.827398990188044,6.722826453671722e-7,9.600219931413727e-7
Montipora_capitata_HIv3___RNAseq.g4682.t1,1443.25111746574,0.04977528455127948,0.18559631440793758,29.48111949921781,0.0019105097092498424,0.002289354295776405
Montipora_capitata_HIv3___TS.g26369.t1,1057.8197985847626,0.06388053037580783,0.2246468749361007,64.51980817146512,1.3265749785370365e-9,2.1853844105020326e-9
