gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g4581.t1,284.20381149787437,0.06748792924733825,0.2884295003744231,159.32685961799723,1.837962840010804e-28,7.772575358737644e-28
Montipora_capitata_HIv3___RNAseq.g4584.t1,1006.3326688565447,-0.015315060495362567,0.24124984699157567,245.23716641668977,2.774424422696658e-46,3.061335890299759e-45
Montipora_capitata_HIv3___RNAseq.g4594.t1,651.7431408709481,-0.018133738495778935,0.21198984950552577,77.1502592914834,5.234214360854838e-12,9.703104947616796e-12
Montipora_capitata_HIv3___TS.g26295.t1,4196.525463597197,-0.009363606151434998,0.20302649357600291,124.05468300179484,2.7655083383764635e-21,8.087642205310815e-21
Montipora_capitata_HIv3___TS.g26297.t1,1839.9734422825788,-0.021380368782567313,0.21174161555125803,67.20400467540446,4.139283159273674e-10,7.006441075356958e-10
Montipora_capitata_HIv3___TS.g26298.t1,2167.110809298534,0.014292947882280577,0.12357003150454622,102.07214715472458,6.93635520299643e-17,1.6261955309127962e-16
Montipora_capitata_HIv3___RNAseq.g4629.t1,545.8463420807267,-0.34091500525165463,0.43825741922486106,22.622490182641286,0.019970708058415363,0.02271426531323021
Montipora_capitata_HIv3___RNAseq.g4638.t1,480.4901092279238,-0.16650066095068075,0.15938112389023756,129.04524702310255,2.7158218553940756e-22,8.338321043199473e-22
Montipora_capitata_HIv3___RNAseq.g4639.t1,707.9040547398982,-0.2086553622515665,0.16137425362779734,132.89855579757193,4.5056402072951116e-23,1.4302145105729106e-22
Montipora_capitata_HIv3___RNAseq.g4640.t1,339.64805773479287,-0.11526194509817377,0.18708813209287575,66.68457876344644,5.188472200643932e-10,8.729810369337409e-10
Montipora_capitata_HIv3___RNAseq.g4642.t1,665.1374257194993,-0.15955497925658474,0.26852825669346414,171.59269609749856,5.54602549352526e-31,2.674168593671464e-30
Montipora_capitata_HIv3___RNAseq.g4643.t1,482.4101423588654,-0.15006603773417265,0.1485167870539088,33.92750520244465,3.716962800358929e-4,4.621011626056688e-4
Montipora_capitata_HIv3___RNAseq.g4645.t1,1264.1560090433836,0.006428197195768052,0.1578191029744116,112.63126078423761,5.456014070240852e-19,1.41851978199346e-18
Montipora_capitata_HIv3___RNAseq.g4653.t1,1313.6320496352341,-0.08259555559265154,0.2906798247958265,306.7959537040849,3.2380278783219578e-59,7.812346366130515e-58
Montipora_capitata_HIv3___RNAseq.g4656.t1,865.4253386803409,0.018060476094013195,0.23658789244884204,76.5453015531316,6.8431752782376286e-12,1.2602669139585449e-11
Montipora_capitata_HIv3___RNAseq.g4665.t1,859.6285947466112,-0.007920068750493696,0.25423462439645944,57.59520472307133,2.5845209357302636e-8,3.9798791070330754e-8
Montipora_capitata_HIv3___RNAseq.g4667.t1,3272.0062202744043,0.12335199009882379,0.18834509019035198,128.01025109050704,4.397080923949843e-22,1.332311398981241e-21
Montipora_capitata_HIv3___TS.g26352.t1,1448.638647056995,-0.11871713753712382,0.2158744139056877,41.64773190032224,1.8635863063636966e-5,2.4753387545085587e-5
Montipora_capitata_HIv3___RNAseq.g4669.t1,1528.0908612521275,0.15122809352080696,0.16776967517425628,153.94161044448083,2.3303213496728696e-27,9.22710217206661e-27
Montipora_capitata_HIv3___RNAseq.g4670.t1,950.5485844833597,0.1787473672189338,0.14665643560531574,155.32809171162364,1.2123673159913336e-27,4.8660254905027705e-27
Montipora_capitata_HIv3___RNAseq.g4671.t1,4665.813075643915,-0.06948966998664656,0.18791484901979946,29.721511097029975,0.0017521756371423223,0.002103521661671418
Montipora_capitata_HIv3___RNAseq.g4674.t1,717.4509108880796,0.010524795685345052,0.27479851345730755,31.44575755324479,9.355145459991297e-4,0.0011389638588646907
Montipora_capitata_HIv3___RNAseq.g4673.t1,3564.3298962905906,-0.0472045895575432,0.25809646370965267,115.56729945059965,1.4082990841344448e-19,3.7847306226156776e-19
Montipora_capitata_HIv3___RNAseq.g4676.t1,3228.7656536248646,0.0906981477601479,0.1604228981090901,49.827398990188044,6.722826453671722e-7,9.600219931413727e-7
Montipora_capitata_HIv3___RNAseq.g4682.t1,1443.25111746574,0.05490838605641721,0.18554656337758932,29.48111949921781,0.0019105097092498424,0.002289354295776405
Montipora_capitata_HIv3___TS.g26369.t1,1057.8197985847626,0.2203875232557597,0.22452269100252778,64.51980817146512,1.3265749785370365e-9,2.1853844105020326e-9
Montipora_capitata_HIv3___RNAseq.g4687.t1,514.7016414265845,-0.12976656976804496,0.20043372687707298,114.36474340712402,2.453324412371443e-19,6.506643006724261e-19
Montipora_capitata_HIv3___RNAseq.g4691.t1,1841.145258758388,-0.10642072462123527,0.10384392103404397,102.94399117745934,4.656876316572402e-17,1.1009638853000787e-16
Montipora_capitata_HIv3___TS.g26377.t2,2804.811937765549,-0.07549388632130359,0.1942247683464588,27.81963708472449,0.0034496961332667196,0.004083056049368956
Montipora_capitata_HIv3___RNAseq.g4693.t1,1397.38060612422,-0.027728608286010186,0.17348583560219394,163.31432564610043,2.7935780935941664e-29,1.2338303246707568e-28
Montipora_capitata_HIv3___RNAseq.g4703.t1,854.0984406150021,-0.07282563780276287,0.13666444242056563,68.16541988102347,2.722932730351169e-10,4.6565678483075e-10
Montipora_capitata_HIv3___RNAseq.g4704.t1,1242.080430848423,0.08802844175742883,0.1994571676825851,52.64518597970698,2.082505260895333e-7,3.046488465373127e-7
Montipora_capitata_HIv3___RNAseq.g4713.t3,1056.3162945298748,-0.3177607819269108,0.28764039849158596,164.45313348363993,1.6303524150207757e-29,7.270247390016783e-29
Montipora_capitata_HIv3___RNAseq.g4730.t1,535.1723730893142,0.1218133241547042,0.22797086377472817,115.54565293558767,1.4224463452355703e-19,3.8195756097563115e-19
Montipora_capitata_HIv3___RNAseq.g4722.t1,906.2048158985592,-0.0722952730497688,0.19660797156015186,79.79661998195718,1.615577368221448e-12,3.06523569921358e-12
Montipora_capitata_HIv3___RNAseq.164_t,400.5059459772299,-0.00506369473989721,0.20245336087116866,143.50510621571902,3.150527196217815e-25,1.120534040194961e-24
Montipora_capitata_HIv3___RNAseq.g4719.t1,2115.8468718112263,-0.028791783388374338,0.1343780848744887,27.694076174467114,0.0036053661778714103,0.00426028832348621
Montipora_capitata_HIv3___RNAseq.g4737.t1,3862.2922712940053,-0.08859211132699513,0.24800614744967778,93.27314902771752,3.7968862263780666e-15,8.14014135933706e-15
Montipora_capitata_HIv3___RNAseq.g4756.t1,426.2309661517761,0.038423800305090405,0.19308675235353984,175.88373801761566,7.242579910012803e-32,3.661495050675745e-31
Montipora_capitata_HIv3___RNAseq.g4752.t1,668.3067342095513,-0.1123542569472386,0.20703340953828853,128.4353365303101,3.6077161401136295e-22,1.0972480038558198e-21
Montipora_capitata_HIv3___RNAseq.g4753.t1,725.3653875050677,-0.17479101432236965,0.16575262079535527,62.53164698624346,3.1286794710491925e-9,5.0461565127972265e-9
Montipora_capitata_HIv3___RNAseq.g4766.t1,2539.1129058579854,-0.009161544621117637,0.11894714755087037,114.7394977828119,2.063740908168714e-19,5.491419223135352e-19
Montipora_capitata_HIv3___RNAseq.g4767.t1,846.793952682215,0.2426784566221147,0.23564200150960632,63.870982351814064,1.756031792086108e-9,2.873102623387848e-9
Montipora_capitata_HIv3___RNAseq.g4780.t1,1002.5660157562126,-0.033666115484516805,0.24522980471486233,91.49765935225469,8.477484853258908e-15,1.7901834441924268e-14
Montipora_capitata_HIv3___RNAseq.g4797.t1,1078.7311460062285,-0.09951682979777698,0.2118232431100077,66.77557033616802,4.987237450554829e-10,8.402156684545993e-10
Montipora_capitata_HIv3___RNAseq.g4795.t2,2931.888818949123,0.004619392508726486,0.21570910133706714,87.64982049114337,4.80649200409483e-14,9.7916752673211e-14
Montipora_capitata_HIv3___RNAseq.g4804.t1,3071.3221555351374,0.16609337312674982,0.25824869185194893,140.46523782752024,1.3099331053735667e-24,4.505333754971001e-24
Montipora_capitata_HIv3___TS.g26523.t2,5552.462836351907,-0.16406242313255093,0.17477212859703808,231.00575376866948,2.6160837441948343e-43,2.3892086850231353e-42
Montipora_capitata_HIv3___TS.g26525.t2,2466.5721551771267,-0.02007767274132585,0.22113606661031776,81.21381840084541,8.591803494804742e-13,1.6553814480753117e-12
Montipora_capitata_HIv3___RNAseq.g4836.t1,1506.0704528816607,-0.18339995824172686,0.1987192267058487,91.51815490155411,8.399319624202327e-15,1.7742568013751143e-14
