Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
456H4_R1_001	59.76985810490736	43.0	150.0	150	18.181818181818183	17696480.0
456H4_R2_001	57.38789703153921	43.0	150.0	150	18.181818181818183	17696480.0
456H9_R1_001	65.9258856416381	40.0	150.0	150	9.090909090909092	22586502.0
456H9_R2_001	63.45647672308698	40.0	150.0	150	9.090909090909092	22586502.0
456L14_R1_001	42.393419223930096	43.0	150.0	150	9.090909090909092	18824759.0
456L14_R2_001	40.71078989012923	44.0	150.0	150	0.0	18824759.0
456L4_R1_001	74.74298899900967	42.0	150.0	150	18.181818181818183	18001418.0
456L4_R2_001	73.45458502764137	42.0	150.0	150	18.181818181818183	18001418.0
456L9_R1_001	57.14557438941569	44.0	150.0	150	18.181818181818183	18181680.0
456L9_R2_001	55.21387533947366	44.0	150.0	150	9.090909090909092	18181680.0
456M14_R1_001	49.70771143966148	45.0	150.0	150	9.090909090909092	18519634.0
456M14_R2_001	47.65237243161291	45.0	150.0	150	9.090909090909092	18519634.0
456M4_R1_001	41.60203532037598	47.0	150.0	150	18.181818181818183	19132549.0
456M4_R2_001	38.668625363503196	47.0	150.0	150	9.090909090909092	19132549.0
456M9_R1_001	51.918054055497414	43.0	150.0	150	9.090909090909092	17435038.0
456M9_R2_001	49.35427006690959	43.0	150.0	150	0.0	17435038.0
45C14_R1_001	78.1261245435013	41.0	150.0	150	18.181818181818183	19033542.0
45C14_R2_001	76.05343859998408	41.0	150.0	150	18.181818181818183	19033542.0
45C9_R1_001	52.52994114887592	42.0	150.0	150	18.181818181818183	17854814.0
45C9_R2_001	49.77576812560369	42.0	150.0	150	0.0	17854814.0
45H14_R1_001	58.88931326319178	40.0	150.0	150	9.090909090909092	18748137.0
45H14_R2_001	57.14507472808731	40.0	150.0	150	9.090909090909092	18748137.0
67C9_R1_001	56.00827293675466	46.0	150.0	150	9.090909090909092	21538044.0
67C9_R2_001	54.10828745503858	46.0	150.0	150	9.090909090909092	21538044.0
6C14_R1_001	40.93062502019262	46.0	150.0	150	0.0	19237566.0
6C14_R2_001	39.011565795299795	46.0	150.0	150	0.0	19237566.0
789C4_R1_001	79.11961013065878	25.0	150.0	150	18.181818181818183	18705404.0
789C4_R2_001	77.33266598769175	25.0	150.0	150	27.27272727272727	18705404.0
789H14_R1_001	49.31939032583792	44.0	150.0	150	9.090909090909092	18139506.0
789H14_R2_001	47.47354975261634	44.0	150.0	150	9.090909090909092	18139506.0
789H4_R1_001	59.53650353185103	45.0	150.0	150	9.090909090909092	19426184.0
789H4_R2_001	57.03461757285659	45.0	150.0	150	9.090909090909092	19426184.0
789H9_R1_001	42.7738048261879	45.0	150.0	150	9.090909090909092	18753749.0
789H9_R2_001	39.44929574454298	45.0	150.0	150	9.090909090909092	18753749.0
789L14_R1_001	42.57040016408341	43.0	150.0	150	9.090909090909092	18574732.0
789L14_R2_001	39.87317046552694	43.0	150.0	150	9.090909090909092	18574732.0
789L4_R1_001	49.82961695176724	49.0	150.0	150	9.090909090909092	18878185.0
789L4_R2_001	47.74792149306361	49.0	150.0	150	9.090909090909092	18878185.0
789L9_R1_001	56.25315392789217	44.0	150.0	150	18.181818181818183	18496615.0
789L9_R2_001	53.89293278283867	44.0	150.0	150	9.090909090909092	18496615.0
789M14_R1_001	52.62779837351494	44.0	150.0	150	18.181818181818183	21043995.0
789M14_R2_001	50.52822090215228	44.0	150.0	150	18.181818181818183	21043995.0
789M4_R1_001	60.42649286980761	44.0	150.0	150	9.090909090909092	19650104.0
789M4_R2_001	58.32180903155322	44.0	150.0	150	9.090909090909092	19650104.0
7C14_R1_001	52.18384611845461	43.0	150.0	150	9.090909090909092	18677158.0
7C14_R2_001	49.50969363894975	43.0	150.0	150	0.0	18677158.0
89C14_R1_001	53.3694861725089	43.0	150.0	150	18.181818181818183	21876868.0
89C14_R2_001	51.02151417993548	43.0	150.0	150	18.181818181818183	21876868.0
89C9_R1_001	50.7207763126074	43.0	150.0	150	18.181818181818183	18848232.0
89C9_R2_001	48.57854360182645	43.0	150.0	150	0.0	18848232.0
89M9_R1_001	45.7737111956501	46.0	150.0	150	9.090909090909092	18701929.0
89M9_R2_001	43.13730496535872	46.0	150.0	150	0.0	18701929.0
