Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
101112C14_R1_001	1734.0	1444.5	1022.0	878.5	1029.0	1482.0	2408.0	3983.5	6308.0	9580.5	13864.5	19033.5	25217.5	31408.0	36722.5	41823.5	46347.0	50153.5	54354.0	59035.0	61599.5	62675.0	64165.0	66708.5	71710.0	79596.5	91424.0	107308.5	127166.5	152256.5	182540.0	220558.5	261871.5	307332.0	365145.5	424681.0	488532.5	562702.0	634719.0	699862.5	758591.0	808111.0	845324.5	863580.5	867526.0	857039.5	829456.0	779856.5	721676.0	658992.5	593043.5	537287.5	485128.5	442420.0	398162.0	358064.0	327471.5	290518.5	253892.5	219579.0	185591.0	158498.5	133992.0	109184.0	85486.5	67540.5	58270.0	47091.5	35287.0	30589.0	30083.5	25421.0	17817.0	13828.0	12251.5	10821.5	7546.0	4003.0	2159.0	1440.0	1038.5	719.0	461.0	332.0	258.0	180.5	140.0	107.5	74.5	53.5	45.5	38.0	30.0	26.5	25.5	24.5	23.0	21.5	21.5	15.5	4.0
101112C14_R2_001	2399.0	1952.0	1333.5	1174.5	1320.5	1882.5	2937.0	4558.0	7149.5	10695.0	15191.0	20460.0	26506.5	32740.5	38176.0	43283.5	48023.0	51857.5	56353.5	60706.0	63110.5	64348.0	66084.5	69317.5	73909.0	81656.0	93794.0	110255.5	130807.0	155617.5	185829.0	223517.0	265216.0	311460.0	368474.5	426336.5	488438.0	563297.5	634521.0	697442.5	754354.0	802936.0	840098.0	857855.0	860707.0	849501.5	821548.5	773055.5	716460.5	652925.0	586933.5	532570.0	482998.5	440813.5	395673.5	356024.5	326989.5	290858.5	253423.5	219514.5	185586.0	158342.5	134840.0	110290.5	87125.5	68899.0	57647.5	46544.5	36233.0	31222.5	30179.5	26251.5	18886.5	14662.5	13023.0	11186.0	7915.5	4717.5	2870.5	2025.0	1579.0	1193.5	916.5	788.5	702.0	584.5	481.5	452.5	407.0	362.0	323.0	276.5	265.5	250.0	247.0	239.5	211.5	209.5	229.5	261.5	660.0
101112C4_R1_001	8543.0	6276.0	3301.0	2251.0	1893.5	2146.5	3204.0	5127.5	7841.0	11970.5	17563.5	23559.5	30325.0	38281.0	45339.0	51026.5	55953.0	60387.0	65817.5	71008.0	73892.0	75105.5	75863.5	77289.5	79238.0	82761.0	90802.0	101442.5	112481.5	127774.0	144891.0	166041.5	188374.5	212392.0	247425.5	279436.0	312726.0	355898.0	389103.0	406832.0	427191.0	449031.5	465340.5	478868.5	497121.5	521965.0	544212.0	560651.0	584709.5	616295.0	643687.0	673381.5	711569.0	746597.5	754153.5	746164.5	724313.5	674458.5	615306.0	551954.5	479629.5	412970.5	351090.5	293164.5	238911.5	189972.0	155033.5	125218.0	98416.0	78633.5	64249.5	52214.5	40377.0	31044.0	25972.5	21492.5	15668.0	9830.5	6186.5	4294.5	3088.5	2178.0	1443.5	1022.0	738.5	534.0	385.5	292.0	235.0	187.5	150.0	120.0	111.0	102.0	80.5	82.5	91.0	84.0	90.0	61.0	16.5
101112C4_R2_001	13513.0	8491.5	2696.5	1815.0	1793.5	2341.5	3477.5	5461.5	8640.0	12604.5	17891.5	24679.0	31832.5	38950.0	45916.5	52409.0	57657.5	61635.0	66315.0	71091.0	73882.0	75479.5	76724.0	78341.0	80379.0	84162.5	92196.0	102606.0	113431.0	127884.5	145586.0	167081.5	189924.5	214282.5	248089.5	280063.0	313108.0	355452.0	388642.5	407520.5	427655.5	449368.5	465708.5	478007.5	495939.5	521996.0	544823.0	560663.5	584599.0	615441.5	641237.0	670868.5	709680.0	743568.0	749784.0	741112.5	718825.5	668909.5	609140.5	546747.5	477895.5	411697.0	349549.0	292437.5	238287.0	190188.0	154198.0	123489.5	98122.0	79296.5	65426.5	53456.0	41604.5	32584.0	27219.0	22336.0	16588.5	10915.0	7215.0	5159.0	3786.5	2806.5	2082.5	1644.0	1293.5	1009.5	802.0	651.0	566.0	528.5	478.0	420.0	395.0	371.5	354.5	321.5	288.5	274.0	286.5	338.0	1104.0
101112C9_R1_001	5588.0	4052.0	2030.0	1351.0	1089.5	1184.0	1649.5	2387.0	3549.5	5352.5	7536.5	10262.5	13553.5	16848.0	19737.0	22463.5	25141.0	27397.0	30276.5	33935.0	36425.5	38325.0	41331.0	45325.0	51131.5	59636.5	71690.0	87476.5	104708.0	126343.5	152444.5	183750.5	218949.0	258423.5	307734.0	358873.5	415723.5	482960.5	548220.0	605130.5	656086.5	703927.5	745496.5	764839.0	767191.5	769104.5	760531.5	725202.0	684167.0	650410.5	619867.5	596697.5	573965.0	555330.5	525945.5	496374.0	478815.5	446001.0	400414.5	356434.0	311357.5	272488.5	237262.5	194841.0	153092.5	124549.5	108384.0	87490.0	66780.5	57445.5	56128.5	47681.5	33177.5	25828.0	23058.5	19959.5	13516.5	7307.5	3899.0	2493.0	1888.5	1342.0	859.0	664.0	490.5	350.5	249.0	171.5	117.5	90.5	87.0	79.5	71.5	68.5	59.0	48.5	41.0	36.5	41.0	37.5	17.0
101112C9_R2_001	7568.0	4988.5	1834.5	1167.5	1138.5	1324.0	1776.0	2662.5	3992.0	5849.0	8288.0	11032.5	14261.0	17914.0	21164.5	23712.0	25923.5	28441.0	31443.5	34671.0	37177.5	39574.0	42905.0	47103.5	52722.0	61020.0	73506.0	88923.0	105937.0	127921.5	154180.5	185684.0	220253.5	259508.5	309743.5	361028.0	416449.0	482549.0	545411.5	600774.5	652627.5	699642.0	738424.0	758429.0	762865.5	761850.5	751916.5	720271.0	680424.0	646620.5	617884.0	595034.0	571215.0	551209.0	522742.5	494491.5	476236.0	442981.0	398125.5	355187.5	310995.0	271255.5	235436.0	193734.5	152670.5	123404.5	106136.0	86397.0	66986.5	57802.0	56104.0	48460.5	34449.5	26680.5	23618.0	20486.0	14455.5	8540.0	5192.5	3623.0	2888.5	2351.0	1838.0	1515.5	1293.5	1179.0	1068.5	936.5	867.0	844.0	816.0	761.5	761.5	782.0	776.5	845.5	1027.0	1422.5	2087.5	3703.5	14954.0
101112H14_R1_001	811.0	731.0	584.5	565.0	783.5	1289.0	2108.0	3534.5	5739.0	8854.0	12859.0	17577.5	23408.0	29668.0	35046.5	39781.0	44339.0	48055.0	52445.0	56829.5	59001.0	60271.0	62174.0	64845.5	69066.5	76720.5	88362.0	104205.5	124244.5	147860.5	176716.5	212705.0	251859.5	296337.5	351466.0	407037.5	466802.0	537147.0	604911.5	666652.5	720637.0	767023.0	802374.0	818779.0	824795.0	818382.0	793633.0	754130.5	709590.0	658997.0	606996.5	564000.0	525461.5	494845.0	460807.0	425599.5	394840.5	355057.5	312313.0	272705.5	234040.5	199803.5	168321.5	137793.0	110209.0	88257.0	73859.5	59668.0	46174.5	38538.0	34578.0	28740.0	20918.0	16191.0	13780.0	11427.0	8004.0	4712.5	2733.5	1846.5	1344.0	942.0	634.0	477.0	376.0	260.0	176.0	129.5	97.5	78.5	67.5	52.0	37.0	41.0	46.0	40.0	29.0	28.5	45.0	39.5	14.0
101112H14_R2_001	1226.0	1012.5	769.5	820.0	1018.5	1531.0	2448.0	4047.5	6351.5	9494.0	13809.5	18832.0	24662.5	30604.0	36087.5	41269.5	45689.0	49652.0	53329.5	57278.0	59837.0	61162.5	63227.0	65705.5	70126.5	77660.5	89286.0	105321.5	124958.5	148820.5	177739.0	213406.0	252470.5	296816.5	351854.5	407112.0	466494.0	534878.5	602434.0	663147.5	715351.5	760552.5	793948.5	810305.0	815412.5	810278.0	787429.0	747277.5	701572.5	651328.5	602562.0	561667.5	523091.5	491794.5	457791.5	422507.0	392597.5	354407.5	312473.5	273272.5	233899.5	199678.5	168576.5	138086.0	110329.5	89040.5	74169.0	59671.0	47340.0	39758.5	35771.0	30127.0	22137.0	17035.0	14679.5	12368.0	8947.0	5756.0	3919.5	3020.5	2441.0	2066.0	1721.5	1486.5	1309.0	1202.5	1106.5	1026.5	971.0	951.5	924.5	869.5	876.5	922.0	999.0	1116.5	1348.0	1869.0	2801.0	4904.0	19551.5
101112H4_R1_001	6193.0	4494.0	2257.0	1633.0	1636.5	2142.0	3206.5	5062.5	7919.0	11878.0	16888.0	22769.5	29772.0	37247.0	43887.0	49416.0	54356.5	58795.0	63218.0	68096.5	70925.0	71686.0	72147.0	72643.0	73701.0	76346.5	83177.0	92006.5	101274.0	114424.0	129856.0	148737.0	167786.5	186809.0	214848.0	241575.5	268961.5	304095.5	329788.5	342609.5	357039.5	374294.0	389575.5	403570.0	425190.5	456779.5	488443.0	518400.5	561450.0	611762.5	657250.0	711996.5	772634.5	822651.0	844190.5	843517.0	824746.0	773653.5	708808.5	639408.5	558335.5	480022.0	407312.0	339563.0	276518.0	222315.5	179548.5	140527.0	109399.0	87048.5	70965.0	56913.5	43071.5	33199.0	27218.5	22095.0	16309.5	10559.0	7055.5	5082.5	3594.5	2675.0	2017.5	1549.0	1165.5	877.0	652.5	416.0	265.0	215.0	177.5	140.5	109.0	89.5	88.5	95.5	92.5	84.5	92.5	71.5	24.5
