gene_id,prawnchip_high_log2FC,prawnchip_high_padj,prawnchip_mid_log2FC,prawnchip_mid_padj,prawnchip_low_log2FC,prawnchip_low_padj,earlygastrula_high_log2FC,earlygastrula_high_padj,earlygastrula_mid_log2FC,earlygastrula_mid_padj,earlygastrula_low_log2FC,earlygastrula_low_padj,any_sig
Montipora_capitata_HIv3___TS.g26493.t2a,-3.435287541525461,0.9996308712319643,-7.670297026430025,6.465915255057156e-6,-6.273049607383863,0.003078051398270197,-3.696726876207089,0.855047223589038,-7.6017088014845156,6.4895151867053465e-6,-5.992409766076528,0.004140860947114478,TRUE
Montipora_capitata_HIv3___RNAseq.g5198.t1,2.5792480297390545,0.7137751396372802,-0.2798393550327632,0.9999932330336805,1.9381410294575518,0.952758588942957,2.7231003431348193,0.34678568589289654,-0.4911435030058348,0.999658842212811,1.7340973353055258,0.7366879952412394,FALSE
Montipora_capitata_HIv3___TS.g28558.t3a,-0.1389198848949874,0.9996308712319643,0.21083742315620552,0.9999932330336805,-0.9268681658373841,0.0839518870398722,-0.21038036635134502,0.9997161668025016,0.10680709747731738,0.999658842212811,-0.9343460810995659,0.05856066865375808,FALSE
Montipora_capitata_HIv3___RNAseq.g6929.t1,-0.608259248141287,0.9996308712319643,-0.8161492674949303,0.12314297324078569,-0.13004498340423218,0.9997118730533281,-0.8417494192183319,0.13871743405589965,-0.7883536385243384,0.0720004026459475,-0.40804841663661934,0.8050032685999948,FALSE
Montipora_capitata_HIv3___RNAseq.g7017.t1,-0.5085328951006983,0.9996308712319643,-3.894167290854491,0.043613049831076556,2.6786771004509546,0.9997118730533281,-1.0299392353882824,0.9997161668025016,-3.612269823624578,NA,2.0295262620885195,0.8233621524148337,TRUE
Montipora_capitata_HIv3___TS.g42133.t1,5.224255298527614,0.41641272426038056,-2.7507733495305575,0.9999932330336805,-0.1094497862854233,0.9997118730533281,5.5857714364987485,0.20856143879986297,-2.7160060404337587,0.8725675055839194,0.6458588992941573,0.94705967304926,FALSE
Montipora_capitata_HIv3___RNAseq.g10964.t1,2.09615947760566,0.9996308712319643,-4.0873776639604875,0.5289524466782978,1.4867285093583336,0.9997118730533281,1.5686715796047874,0.9997161668025016,-4.459304641094863,0.1242916684308783,1.3587170215351032,0.8898110398118412,FALSE
Montipora_capitata_HIv3___RNAseq.g10966.t1,2.3083043306685855,0.9996308712319643,-4.000620462484325,0.5414486250308644,1.9070556890712238,0.9997118730533281,1.778840020222469,0.9997161668025016,-4.362985723895208,0.12510769932767232,1.7864650388729044,0.8464590651118229,FALSE
Montipora_capitata_HIv3___RNAseq.g10968.t1,2.063241541148851,0.9996308712319643,-4.125627893299931,0.5003432434824808,1.5095675075992252,0.9997118730533281,1.4910681156275787,0.9997161668025016,-4.492196423304027,0.11287623835819983,1.3879462687010211,0.8896135042412483,FALSE
Montipora_capitata_HIv3___RNAseq.g11051.t1,2.1340779890590045,0.9996308712319643,-3.847277331012241,0.5414486250308644,1.8184790215338944,0.9997118730533281,1.5666792475413123,0.9997161668025016,-4.220592915330581,0.13053702593470576,1.6098423900744951,0.865883059205062,FALSE
