"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Montipora_capitata_HIv3___TS.g26493.t2a",164.366804395959,-3.69672687620709,1.32539128101751,69.2006038016258,5.96347927188139e-13,7.49311170511896e-09
"2","Montipora_capitata_HIv3___RNAseq.g5198.t1",153.191895057319,2.72310034313482,0.767241542115218,27.5624261754517,0.000113571297642502,0.0377570346606617
"3","Montipora_capitata_HIv3___TS.g28558.t3a",589.690662899895,-0.210380366351345,0.228698196189994,32.9091615252261,1.09163733646575e-05,0.00508015671581189
"4","Montipora_capitata_HIv3___RNAseq.g6929.t1",836.173003762134,-0.841749419218332,0.206080682425558,29.2036959605265,5.5667354616578e-05,0.0218581347111657
"5","Montipora_capitata_HIv3___RNAseq.g7017.t1",44.6198883576997,-1.02993923538828,0.962492735992629,48.3995662278115,9.83138491426217e-09,2.47062702895408e-05
"6","Montipora_capitata_HIv3___TS.g42133.t1",605.876856331397,5.58577143649875,1.47300775291473,37.5737217878158,1.36082295191558e-06,0.00113991602605462
"7","Montipora_capitata_HIv3___RNAseq.g10964.t1",2392.56717705494,1.56867157960479,1.30944634155682,36.6120460105234,2.09562948940774e-06,0.00131657922672041
"8","Montipora_capitata_HIv3___RNAseq.g10966.t1",2533.90000574731,1.77884002022247,1.30060066868739,38.8393165415904,7.69585429754734e-07,0.000743833917297556
"9","Montipora_capitata_HIv3___RNAseq.g10968.t1",2294.01314899394,1.49106811562758,1.30857074201915,37.0274923547559,1.73929211761719e-06,0.00127768915115822
"10","Montipora_capitata_HIv3___RNAseq.g11051.t1",1996.94719187419,1.56667924754131,1.27165794562602,37.3914797111663,1.47698487676238e-06,0.00115989468603245
"11","Montipora_capitata_HIv3___RNAseq.g11053.t1",2109.96518296803,1.61207773094689,1.30090496926297,39.7420569090067,5.11888718000304e-07,0.00055114848424199
"12","Montipora_capitata_HIv3___RNAseq.g11129.t1",31.1865634583676,6.27326249338211,1.20959063600839,36.8270671559374,1.90297884722082e-06,0.00127768915115822
"13","Montipora_capitata_HIv3___RNAseq.g11828.t1",3196.32750248385,0.974538405056963,1.00382144633918,27.0707966824557,0.000140451306208541,0.0430431868904955
"14","Montipora_capitata_HIv3___TS.g8038.t2",711.895237206984,3.9023257607506,1.55084417951658,42.4281710232915,1.51337239133815e-07,0.000211283601079599
"15","Montipora_capitata_HIv3___RNAseq.g25096.t1",35.58883005436,5.42314306222575,1.34587699424509,27.8706960177987,9.93798981734672e-05,0.0356773834442747
"16","Montipora_capitata_HIv3___TS.g9507.t1",51.5402607664659,-2.955643995318,0.762652774314966,31.53273966746,2.00513144885174e-05,0.00899802737672219
"17","Montipora_capitata_HIv3___TS.g9699.t2",96.5599753072669,-0.0500161183547176,0.610067109044129,34.8654761382612,4.57597981090328e-06,0.00244323301282731
"18","Montipora_capitata_HIv3___RNAseq.g40764.t1",117.99151564869,0.579854940936585,0.627004197215405,53.7136028590372,8.42618782020445e-10,2.64687624902172e-06
"19","Montipora_capitata_HIv3___TS.g48661.t1",176.18284652168,-1.05694866500762,0.455649709123204,40.6687588030163,3.36491722819531e-07,0.000422801849722741
"20","Montipora_capitata_HIv3___TS.g50653.t2",93.410675881291,-3.20249604322364,0.821267944650079,27.5499169887207,0.000114187609797465,0.0377570346606617
"21","Montipora_capitata_HIv3___TS.g50862.t1",803.908417926983,-0.0656937847861559,1.30773012079773,28.0021360611439,9.38757514712272e-05,0.0346926122716462
"22","Montipora_capitata_HIv3___RNAseq.g15050.t1",2429.50842052207,1.44702677979774,1.51074741414022,34.821428027044,4.66674033488703e-06,0.00244323301282731
"23","Montipora_capitata_HIv3___RNAseq.g15087.t1",2969.17170911463,2.41809593051768,1.44823357921884,56.9433660378802,1.87579239697116e-10,1.083971281828e-06
"24","Montipora_capitata_HIv3___TS.g45793.t1b",95.2026191577959,-0.218709942161979,0.564899851777024,56.2524954226317,2.58807309628652e-10,1.083971281828e-06
"25","Montipora_capitata_HIv3___RNAseq.g45264.t1",957.082820453719,2.79455063946887,1.52143721269805,27.3038513859865,0.000127005264061372,0.0409184908443883
"26","Montipora_capitata_HIv3___RNAseq.g20279.t1",151.324927791196,-5.80452098549501,1.30065816277139,46.9007214529911,1.95841235538978e-08,4.10124187424543e-05
"27","Montipora_capitata_HIv3___RNAseq.g20824.t1a",133.631089292912,1.31802044089008,0.698456749722741,37.7532162824393,1.25529463522296e-06,0.00112662693511261
"28","Montipora_capitata_HIv3___RNAseq.g21373.t1",61.2849858161482,4.29046224980586,0.963674516298182,44.0751296673939,7.14278981714918e-08,0.000112186442565599
"29","Montipora_capitata_HIv3___RNAseq.g21376.t1",56.8349526188214,3.29029428292913,0.992335478294016,26.9538498182,0.000147718809455452,0.044192543828756
"30","Montipora_capitata_HIv3___RNAseq.g28195.t1",63.7622947914806,1.86062742032636,0.591574997972142,26.6721482065246,0.000166784266625578,0.0476282797761453
"31","Montipora_capitata_HIv3___RNAseq.g30158.t1",3095.83874908619,0.189521632298732,0.870190601068843,29.5570558269856,4.77101490045491e-05,0.019338000717489
"32","Montipora_capitata_HIv3___TS.g15697.t1",60.9572088149124,-0.235610385262874,0.680593044956153,39.6803787364643,5.26365444560596e-07,0.00055114848424199
"33","Montipora_capitata_HIv3___RNAseq.g33315.t1",5769.8964411513,1.58838844656704,1.36541826600343,44.197649432854,6.75406663337256e-08,0.000112186442565599
"34","Montipora_capitata_HIv3___RNAseq.g47569.t1",8848.92873364285,0.596299530076505,1.02767213579244,34.4476072328969,5.51252940740212e-06,0.00277059728016031
