gene_id,prawnchip_high_log2FC,prawnchip_high_padj,prawnchip_mid_log2FC,prawnchip_mid_padj,prawnchip_low_log2FC,prawnchip_low_padj,earlygastrula_high_log2FC,earlygastrula_high_padj,earlygastrula_mid_log2FC,earlygastrula_mid_padj,earlygastrula_low_log2FC,earlygastrula_low_padj,any_sig
Montipora_capitata_HIv3___TS.g26493.t2a,-3.43528754152556,0.999630871232434,-7.67029702642999,6.46591525551605e-6,-6.27304960738356,0.00307805139841607,-3.69672687620727,0.855047223636978,-7.60170880148448,6.48951518715579e-6,-5.99240976607622,0.00414086094729335,TRUE
Montipora_capitata_HIv3___RNAseq.g5198.t1,2.57924802974029,0.713775139672799,-0.279839355032959,0.999993233033595,1.93814102945699,0.952758588976962,2.723100343136,0.346785685912651,-0.491143503006052,0.999658842213003,1.73409733530494,0.736687995265539,FALSE
Montipora_capitata_HIv3___TS.g28558.t3a,-0.138919884895065,0.999630871232434,0.210837423156197,0.999993233033595,-0.926868165837511,0.0839518870453258,-0.210380366351501,0.999716166802354,0.106807097477265,0.999658842213003,-0.934346081099747,0.0585606686589408,FALSE
Montipora_capitata_HIv3___RNAseq.g6929.t1,-0.608259248141404,0.999630871232434,-0.816149267494963,0.123142973256169,-0.130044983404413,0.999711873053144,-0.841749419218425,0.13871743407377,-0.78835363852441,0.0720004026545097,-0.408048416636812,0.805003268616131,FALSE
Montipora_capitata_HIv3___RNAseq.g7017.t1,-0.508532895100103,0.999630871232434,-3.89416729085504,0.043613049835146,2.67867710045054,0.999711873053144,-1.02993923538781,0.999716166802354,-3.6122698236253,NA,2.0295262620879,0.823362152426274,TRUE
Montipora_capitata_HIv3___TS.g42133.t1,5.22425529852762,0.416412724296976,-2.75077334953056,0.999993233033595,-0.109449786285425,0.999711873053144,5.58577143649875,0.208561438799861,-2.71600604043376,0.872567505583906,0.645858899294153,0.947059673049263,FALSE
Montipora_capitata_HIv3___RNAseq.g10964.t1,2.09615953113259,0.999630871232434,-4.0873777325549,0.528952343651137,1.48672852320134,0.999711873053144,1.56867164360131,0.999716166802354,-4.45930470029734,0.124291645217733,1.35871704521817,0.889811039819545,FALSE
Montipora_capitata_HIv3___RNAseq.g10966.t1,2.30830433374792,0.999630871232434,-4.00062046110035,0.541448570892339,1.9070556903035,0.999711873053144,1.77884002240356,0.999716166802354,-4.36298572330235,0.125107699332591,1.78646503917303,0.846459065123135,FALSE
Montipora_capitata_HIv3___RNAseq.g10968.t1,2.06324154071976,0.999630871232434,-4.1256278935098,0.500343243516679,1.50956750614432,0.999711873053144,1.49106811521868,0.999716166802354,-4.49219642355457,0.11287623827948,1.38794626708085,0.889613504247242,FALSE
Montipora_capitata_HIv3___RNAseq.g11051.t1,2.13407765845353,0.999630871232434,-3.84727737242443,0.541448570892339,1.81847897555087,0.999711873053144,1.56667894270416,0.999716166802354,-4.22059293460277,0.130537020923248,1.60984236994476,0.865883059210762,FALSE
Montipora_capitata_HIv3___RNAseq.g11053.t1,2.13966343070994,0.999630871232434,-4.19959789568054,0.411211043043571,1.5412810253217,0.999711873053144,1.61207773123694,0.999716166802354,-4.54134166220232,0.0949587407440125,1.35382668949499,0.889811039819545,FALSE
