category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0051254,6.143507248936992e-13,1,5,5,positive regulation of RNA metabolic process,BP,6.483487119352966e-12
GO:1902680,6.143507248936992e-13,1,5,5,positive regulation of RNA biosynthetic process,BP,6.483487119352966e-12
GO:1903508,6.143507248936992e-13,1,5,5,positive regulation of nucleic acid-templated transcription,BP,6.483487119352966e-12
GO:0006139,6.145259650231688e-13,1,5,5,nucleobase-containing compound metabolic process,BP,6.483487119352966e-12
GO:0006725,6.145259650231688e-13,1,5,5,cellular aromatic compound metabolic process,BP,6.483487119352966e-12
GO:0046483,6.145259650231688e-13,1,5,5,heterocycle metabolic process,BP,6.483487119352966e-12
GO:0090304,6.145259650231688e-13,1,5,5,nucleic acid metabolic process,BP,6.483487119352966e-12
GO:1901360,6.145259650231688e-13,1,5,5,organic cyclic compound metabolic process,BP,6.483487119352966e-12
GO:0010941,6.241265596574951e-13,1,5,5,regulation of cell death,BP,6.484246165601916e-12
GO:0060548,6.241265596574951e-13,1,5,5,negative regulation of cell death,BP,6.484246165601916e-12
GO:0009059,6.853095141358227e-13,1,5,5,macromolecule biosynthetic process,BP,7.012828937886126e-12
GO:0034645,6.853095141358227e-13,1,5,5,cellular macromolecule biosynthetic process,BP,7.012828937886126e-12
GO:0009653,8.034633922300534e-13,1,5,5,anatomical structure morphogenesis,BP,8.100101309815576e-12
GO:0044271,1.11312642383423e-12,1,5,5,cellular nitrogen compound biosynthetic process,BP,1.0899029229053145e-11
GO:0031399,1.1519970983904397e-12,1,5,5,regulation of protein modification process,BP,1.0964112244121596e-11
GO:0031401,1.1519970983904397e-12,1,5,5,positive regulation of protein modification process,BP,1.0964112244121596e-11
GO:0051247,1.1519970983904397e-12,1,5,5,positive regulation of protein metabolic process,BP,1.0964112244121596e-11
GO:0007154,1.3530160929898317e-12,1,5,5,cell communication,BP,1.2787881267771951e-11
GO:0009892,1.893963173686117e-12,1,5,5,negative regulation of metabolic process,BP,1.7655369036895925e-11
GO:0031324,1.893963173686117e-12,1,5,5,negative regulation of cellular metabolic process,BP,1.7655369036895925e-11
GO:0006508,3.819772878185402e-11,1,4,4,proteolysis,BP,3.53653801851043e-10
GO:0009057,6.134458880051224e-11,1,4,4,macromolecule catabolic process,BP,5.603354721979675e-10
GO:0044265,6.134458880051224e-11,1,4,4,cellular macromolecule catabolic process,BP,5.603354721979675e-10
GO:0036211,8.271246401657427e-11,1,4,4,protein modification process,BP,7.357625067095268e-10
GO:0043412,8.271246401657427e-11,1,4,4,macromolecule modification,BP,7.357625067095268e-10
GO:1901565,9.982922842205998e-11,1,4,4,organonitrogen compound catabolic process,BP,8.8225701222353e-10
GO:0051239,1.318496503032948e-10,1,4,4,regulation of multicellular organismal process,BP,1.1577249939534466e-9
GO:0009888,1.7231368333775944e-10,1,4,4,tissue development,BP,1.4842969811562698e-9
