Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
131415C9_R1_001	131415C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17698926.0	2.4 Gbp	0.0	15-140	45.0	57.09609456953518	138.16377163224482	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415C9_R2_001	131415C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17698926.0	2.4 Gbp	0.0	15-140	45.0	58.40789190466631	138.17721193930072	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415H14_R1_001	131415H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18412554.0	2.5 Gbp	0.0	15-140	44.0	57.798404751136935	137.56039216504132	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415H14_R2_001	131415H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18412554.0	2.5 Gbp	0.0	15-140	44.0	59.21539540929902	137.57215886508737	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415H4_R1_001	131415H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19549216.0	2.6 Gbp	0.0	15-140	49.0	44.74552420613445	137.7164399840894	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
131415H4_R2_001	131415H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19549216.0	2.6 Gbp	0.0	15-140	49.0	45.6967494263459	137.71642402437007	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
131415H9_R1_001	131415H9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17858031.0	2.4 Gbp	0.0	15-140	45.0	54.264708537002605	138.08617450602478	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415H9_R2_001	131415H9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17858031.0	2.4 Gbp	0.0	15-140	45.0	55.72455508738122	138.09791163426695	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415L14_R1_001	131415L14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18322934.0	2.5 Gbp	0.0	15-140	44.0	58.423519437207425	138.38900336594565	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415L14_R2_001	131415L14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18322934.0	2.5 Gbp	0.0	15-140	44.0	59.907236590284306	138.40230904068093	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415L4_R1_001	131415L4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18064154.0	2.4 Gbp	0.0	15-140	38.0	9.510642416469802	138.10379910401562	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
131415L4_R2_001	131415L4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18064154.0	2.4 Gbp	0.0	15-140	38.0	9.900561082943977	138.1040331033493	140	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
131415L9_R1_001	131415L9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18222391.0	2.5 Gbp	0.0	15-140	45.0	56.54716484231851	138.18818342774009	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415L9_R2_001	131415L9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18222391.0	2.5 Gbp	0.0	15-140	45.0	58.18241317047177	138.20098152871375	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M14_R1_001	131415M14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18439544.0	2.5 Gbp	0.0	15-140	43.0	54.443534344017216	138.39875205156918	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M14_R2_001	131415M14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18439544.0	2.5 Gbp	0.0	15-140	43.0	56.22739541051085	138.41114888741282	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M4_R1_001	131415M4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18078311.0	2.5 Gbp	0.0	15-140	46.0	53.80924571279839	138.39500609321303	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M4_R2_001	131415M4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18078311.0	2.5 Gbp	0.0	15-140	46.0	55.23689244540269	138.40780336171892	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M9_R1_001	131415M9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18054984.0	2.4 Gbp	0.0	15-140	46.0	56.01112098977084	138.17902486094698	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
131415M9_R2_001	131415M9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18054984.0	2.4 Gbp	0.0	15-140	46.0	57.26594512472045	138.19258953649586	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
13M14_R1_001	13M14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17714669.0	2.4 Gbp	0.0	15-140	42.0	43.57090206956803	137.76594871741605	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
13M14_R2_001	13M14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17714669.0	2.4 Gbp	0.0	15-140	42.0	44.230298601980614	137.7678368701103	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
456C4_R1_001	456C4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18320609.0	2.5 Gbp	0.0	15-140	49.0	60.67777739912727	137.34297658991576	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
456C4_R2_001	456C4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18320609.0	2.5 Gbp	0.0	15-140	49.0	61.74901941432944	137.35788641087203	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
456H4_R1_001	456H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16813689.0	2.3 Gbp	0.0	15-140	43.0	38.444937877273034	137.63878979800327	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
456H4_R2_001	456H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16813689.0	2.3 Gbp	0.0	15-140	43.0	39.659034734786886	137.6515209125136	140	pass	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
