column_label,X.Df,LogLik,Df,Chisq,Pr..Chisq.,geneid,FDR
20783,7,-92.93167425666073,2,22.794815330469703,1.122454493763428e-5,Montipora_capitata_HIv3___TS.g38135.t2a,0.08467796700951301
2330,7,-84.97350163629424,2,24.125945854042698,5.769224278089142e-6,Montipora_capitata_HIv3___RNAseq.g15167.t1,0.06528454193085673
6283,7,-99.12451523740026,2,24.198323781998596,5.56417467285836e-6,Montipora_capitata_HIv3___RNAseq.g26593.t1,0.06528454193085673
