leachate,hpf,geneid,leachate_sig,leachate_2_sig,logFC_dir,N,value,sd,se,ci,leachate_binom,leachate_2_binom
0,4,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,4,-3.1358011927906415,1.538370149106851e-15,7.691850745534255e-16,2.4478901985919223e-15,Positive,Convex
0,4,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,4,-3.1358011927906415,1.538370149106851e-15,7.691850745534255e-16,2.4478901985919223e-15,Positive,Convex
0,4,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,4,-2.8143673433569267,0.6428676988674304,0.3214338494337152,1.0229459665234466,Positive,Convex
0,9,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,6,-0.4514618063684745,1.2074530391289866,0.49294063903980473,1.2671442527626788,Positive,Convex
0,9,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,6,-2.265284389599513,1.3774243899864478,0.5623311524551967,1.4455182461137634,Positive,Convex
0,9,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,6,-0.3493108997092289,0.8376603972373796,0.34197342516144064,0.8790706749903336,Positive,Convex
0,14,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,7,2.8072683357684403,0.426839015063172,0.1613299833881294,0.3947602482974348,Positive,Convex
0,14,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,7,-0.503369867528446,1.9814106432714353,0.7489028295989619,1.832499209101701,Positive,Convex
0,14,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,7,2.7199543749954644,0.5719203612764786,0.21616557795311106,0.528938114503069,Positive,Convex
0.01,4,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,4,-3.135801192790641,1.3567149463006938e-15,6.783574731503469e-16,2.1588362340889135e-15,Positive,Convex
0.01,4,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,4,-3.135801192790641,1.3567149463006938e-15,6.783574731503469e-16,2.1588362340889135e-15,Positive,Convex
0.01,4,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,4,-3.135801192790641,1.3567149463006938e-15,6.783574731503469e-16,2.1588362340889135e-15,Positive,Convex
0.01,9,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,-0.07005720241052811,1.549592309923967,0.6929987484801824,1.9240729831259993,Positive,Convex
0.01,9,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,5,-1.7869977441136355,1.242569027874627,0.5556937626126994,1.542853227194974,Positive,Convex
0.01,9,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,5,-0.12041879227763985,0.6800959648817576,0.30414816173978393,0.8444506749173298,Positive,Convex
0.01,14,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,2.958594897586413,0.46592144113183276,0.20836640290908892,0.5785178794446112,Positive,Convex
0.01,14,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,5,0.7743095639082236,0.26040032209042147,0.1164545643114045,0.32332970506034064,Positive,Convex
0.01,14,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,5,3.0708911955697715,0.4175084817861588,0.18671546929131677,0.5184052507785853,Positive,Convex
0.1,4,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,-0.4761773133517454,1.85471769589678,0.8294549694193964,2.3029361898264686,Positive,Convex
0.1,4,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,5,0.6990281657140373,0.602904016623202,0.2696268730154286,0.7486042118134737,Positive,Convex
0.1,4,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,5,0.0839370643864969,1.7945850908447993,0.8025628509073213,2.2282716990152185,Positive,Convex
0.1,9,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,0.6614009054673433,0.8761599382713491,0.3918306362273512,1.0878962520199664,Positive,Convex
0.1,9,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,5,-1.5441838936102534,1.5702143789080913,0.7022212180972208,1.949678663752061,Positive,Convex
0.1,9,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,5,0.9051004465417406,0.5480818782423422,0.24510966739712803,0.6805335362814153,Positive,Convex
0.1,14,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,3.2476719571408537,0.5447677302465467,0.2436275353559093,0.6764184780303167,Positive,Convex
0.1,14,Montipora_capitata_HIv3___RNAseq.g26593.t1,No,No,Down,5,0.6358279256935165,0.5889270691585345,0.2633761920856406,0.7312495393418107,Positive,Convex
0.1,14,Montipora_capitata_HIv3___TS.g38135.t2a,No,No,Down,5,2.8544710757342133,0.2634055498259724,0.11779854301231645,0.32706118814597773,Positive,Convex
1,4,Montipora_capitata_HIv3___RNAseq.g15167.t1,No,No,Down,5,-3.135801192790642,1.472877282518059e-15,6.586907452451085e-16,1.828818695474868e-15,Positive,Convex
